date,store,category,sales,cost
2024-01-01,新宿店,食品,382000,245000
2024-01-01,渋谷店,食品,415000,278000
2024-01-01,池袋店,食品,298000,192000
2024-01-02,新宿店,食品,356000,228000
2024-01-02,渋谷店,食品,389000,261000
2024-01-02,池袋店,食品,312000,201000
2024-01-03,新宿店,日用品,445000,290000
2024-01-03,渋谷店,日用品,398000,258000
2024-01-03,池袋店,日用品,278000,182000
2024-01-04,新宿店,食品,521000,338000
2024-01-04,渋谷店,食品,467000,312000
2024-01-04,池袋店,食品,334000,215000
2024-01-05,新宿店,日用品,612000,392000
2024-01-05,渋谷店,日用品,589000,378000
2024-01-05,池袋店,日用品,445000,285000
2024-01-06,新宿店,食品,498000,318000
2024-01-06,渋谷店,食品,512000,338000
2024-01-06,池袋店,食品,389000,250000
2024-01-07,新宿店,食品,445000,289000
2024-01-07,渋谷店,食品,478000,315000
2024-01-07,池袋店,食品,356000,228000
2024-01-08,新宿店,日用品,356000,232000
2024-01-08,渋谷店,日用品,389000,253000
2024-01-08,池袋店,日用品,289000,188000
2024-01-09,新宿店,食品,412000,268000
2024-01-09,渋谷店,食品,445000,292000
2024-01-09,池袋店,食品,312000,200000
2024-01-10,新宿店,日用品,398000,258000
2024-01-10,渋谷店,日用品,421000,278000
2024-01-10,池袋店,日用品,298000,193000
2024-01-11,新宿店,食品,478000,312000
2024-01-11,渋谷店,食品,501000,335000
2024-01-11,池袋店,食品,367000,238000
2024-01-12,新宿店,日用品,589000,378000
2024-01-12,渋谷店,日用品,612000,395000
2024-01-12,池袋店,日用品,478000,309000
2024-01-13,新宿店,食品,534000,345000
2024-01-13,渋谷店,食品,556000,362000
2024-01-13,池袋店,食品,412000,268000
2024-01-14,新宿店,食品,489000,318000
2024-01-14,渋谷店,食品,512000,338000
2024-01-14,池袋店,食品,378000,245000
