日付,商品ID,商品名,カテゴリ,販売数量,在庫数量,発注点,入荷数量,リードタイム(日)
2023/10/01,P-F001,コーヒー豆 200g,食品,38,244,112,0,3
2023/10/02,P-F001,コーヒー豆 200g,食品,27,217,112,0,3
2023/10/03,P-F001,コーヒー豆 200g,食品,11,206,112,0,3
2023/10/04,P-F001,コーヒー豆 200g,食品,17,189,112,0,3
2023/10/05,P-F001,コーヒー豆 200g,食品,25,164,112,0,3
2023/10/06,P-F001,コーヒー豆 200g,食品,28,136,112,0,3
2023/10/07,P-F001,コーヒー豆 200g,食品,37,449,112,350,3
2023/10/08,P-F001,コーヒー豆 200g,食品,30,419,112,0,3
2023/10/09,P-F001,コーヒー豆 200g,食品,27,392,112,0,3
2023/10/10,P-F001,コーヒー豆 200g,食品,25,367,112,0,3
2023/10/11,P-F001,コーヒー豆 200g,食品,24,343,112,0,3
2023/10/12,P-F001,コーヒー豆 200g,食品,30,313,112,0,3
2023/10/13,P-F001,コーヒー豆 200g,食品,32,281,112,0,3
2023/10/14,P-F001,コーヒー豆 200g,食品,33,248,112,0,3
2023/10/15,P-F001,コーヒー豆 200g,食品,37,211,112,0,3
2023/10/16,P-F001,コーヒー豆 200g,食品,17,194,112,0,3
2023/10/17,P-F001,コーヒー豆 200g,食品,25,169,112,0,3
2023/10/18,P-F001,コーヒー豆 200g,食品,23,146,112,0,3
2023/10/19,P-F001,コーヒー豆 200g,食品,24,122,112,0,3
2023/10/20,P-F001,コーヒー豆 200g,食品,27,445,112,350,3
2023/10/21,P-F001,コーヒー豆 200g,食品,44,401,112,0,3
2023/10/22,P-F001,コーヒー豆 200g,食品,34,367,112,0,3
2023/10/23,P-F001,コーヒー豆 200g,食品,20,347,112,0,3
2023/10/24,P-F001,コーヒー豆 200g,食品,19,328,112,0,3
2023/10/25,P-F001,コーヒー豆 200g,食品,26,302,112,0,3
2023/10/26,P-F001,コーヒー豆 200g,食品,27,275,112,0,3
