Date,ProductID,ProductName,Category,SalesQty,StockQty,ReorderPoint,OrderQty,LeadTimeDays
2023/10/01,P-D001,ミネラルウォーター 2L,飲料,55,392,180,0,3
2023/10/02,P-D001,ミネラルウォーター 2L,飲料,43,349,180,0,3
2023/10/03,P-D001,ミネラルウォーター 2L,飲料,40,309,180,0,3
2023/10/04,P-D001,ミネラルウォーター 2L,飲料,39,270,180,0,3
2023/10/05,P-D001,ミネラルウォーター 2L,飲料,47,223,180,0,3
2023/10/06,P-D001,ミネラルウォーター 2L,飲料,52,731,180,560,3
2023/10/07,P-D001,ミネラルウォーター 2L,飲料,69,662,180,0,3
2023/10/08,P-D001,ミネラルウォーター 2L,飲料,58,604,180,0,3
2023/10/09,P-D001,ミネラルウォーター 2L,飲料,33,571,180,0,3
2023/10/10,P-D001,ミネラルウォーター 2L,飲料,36,535,180,0,3
2023/10/11,P-D001,ミネラルウォーター 2L,飲料,14,521,180,0,3
2023/10/12,P-D001,ミネラルウォーター 2L,飲料,43,478,180,0,3
2023/10/13,P-D001,ミネラルウォーター 2L,飲料,19,459,180,0,3
2023/10/14,P-D001,ミネラルウォーター 2L,飲料,46,413,180,0,3
2023/10/15,P-D001,ミネラルウォーター 2L,飲料,59,354,180,0,3
2023/10/16,P-D001,ミネラルウォーター 2L,飲料,40,314,180,0,3
2023/10/17,P-D001,ミネラルウォーター 2L,飲料,24,290,180,0,3
2023/10/18,P-D001,ミネラルウォーター 2L,飲料,32,258,180,0,3
2023/10/19,P-D001,ミネラルウォーター 2L,飲料,51,207,180,0,3
2023/10/20,P-D001,ミネラルウォーター 2L,飲料,44,723,180,560,3
2023/10/21,P-D001,ミネラルウォーター 2L,飲料,78,645,180,0,3
2023/10/22,P-D001,ミネラルウォーター 2L,飲料,56,589,180,0,3
2023/10/23,P-D001,ミネラルウォーター 2L,飲料,39,550,180,0,3
2023/10/24,P-D001,ミネラルウォーター 2L,飲料,47,503,180,0,3
2023/10/25,P-D001,ミネラルウォーター 2L,飲料,39,464,180,0,3
2023/10/26,P-D001,ミネラルウォーター 2L,飲料,32,432,180,0,3
2023/10/27,P-D001,ミネラルウォーター 2L,飲料,47,385,180,0,3
2023/10/28,P-D001,ミネラルウォーター 2L,飲料,60,325,180,0,3
2023/10/29,P-D001,ミネラルウォーター 2L,飲料,45,280,180,0,3
2023/10/30,P-D001,ミネラルウォーター 2L,飲料,34,246,180,0,3
2023/10/31,P-D001,ミネラルウォーター 2L,飲料,28,218,180,0,3
2023/11/01,P-D001,ミネラルウォーター 2L,飲料,45,733,180,560,3
2023/11/02,P-D001,ミネラルウォーター 2L,飲料,40,693,180,0,3
2023/11/03,P-D001,ミネラルウォーター 2L,飲料,46,647,180,0,3
2023/11/04,P-D001,ミネラルウォーター 2L,飲料,59,588,180,0,3
2023/11/05,P-D001,ミネラルウォーター 2L,飲料,58,530,180,0,3
2023/11/06,P-D001,ミネラルウォーター 2L,飲料,41,489,180,0,3
2023/11/07,P-D001,ミネラルウォーター 2L,飲料,26,463,180,0,3
2023/11/08,P-D001,ミネラルウォーター 2L,飲料,30,433,180,0,3
2023/11/09,P-D001,ミネラルウォーター 2L,飲料,49,384,180,0,3
2023/11/10,P-D001,ミネラルウォーター 2L,飲料,45,339,180,0,3
2023/11/11,P-D001,ミネラルウォーター 2L,飲料,49,290,180,0,3
2023/11/12,P-D001,ミネラルウォーター 2L,飲料,60,230,180,0,3
2023/11/13,P-D001,ミネラルウォーター 2L,飲料,40,190,180,0,3
2023/11/14,P-D001,ミネラルウォーター 2L,飲料,22,728,180,560,3
2023/11/15,P-D001,ミネラルウォーター 2L,飲料,40,688,180,0,3
2023/11/16,P-D001,ミネラルウォーター 2L,飲料,46,642,180,0,3
2023/11/17,P-D001,ミネラルウォーター 2L,飲料,51,591,180,0,3
2023/11/18,P-D001,ミネラルウォーター 2L,飲料,66,525,180,0,3
2023/11/19,P-D001,ミネラルウォーター 2L,飲料,45,480,180,0,3
2023/11/20,P-D001,ミネラルウォーター 2L,飲料,39,441,180,0,3
2023/11/21,P-D001,ミネラルウォーター 2L,飲料,32,409,180,0,3
2023/11/22,P-D001,ミネラルウォーター 2L,飲料,34,375,180,0,3
2023/11/23,P-D001,ミネラルウォーター 2L,飲料,47,328,180,0,3
2023/11/24,P-D001,ミネラルウォーター 2L,飲料,60,268,180,0,3
2023/11/25,P-D001,ミネラルウォーター 2L,飲料,75,193,180,0,3
2023/11/26,P-D001,ミネラルウォーター 2L,飲料,67,686,180,560,3
2023/11/27,P-D001,ミネラルウォーター 2L,飲料,35,651,180,0,3
2023/11/28,P-D001,ミネラルウォーター 2L,飲料,37,614,180,0,3
2023/11/29,P-D001,ミネラルウォーター 2L,飲料,44,570,180,0,3
2023/11/30,P-D001,ミネラルウォーター 2L,飲料,41,529,180,0,3
2023/12/01,P-D001,ミネラルウォーター 2L,飲料,50,479,180,0,3
2023/12/02,P-D001,ミネラルウォーター 2L,飲料,67,412,180,0,3
2023/12/03,P-D001,ミネラルウォーター 2L,飲料,56,356,180,0,3
2023/12/04,P-D001,ミネラルウォーター 2L,飲料,30,326,180,0,3
2023/12/05,P-D001,ミネラルウォーター 2L,飲料,31,295,180,0,3
2023/12/06,P-D001,ミネラルウォーター 2L,飲料,43,252,180,0,3
2023/12/07,P-D001,ミネラルウォーター 2L,飲料,40,212,180,0,3
2023/12/08,P-D001,ミネラルウォーター 2L,飲料,51,721,180,560,3
2023/12/09,P-D001,ミネラルウォーター 2L,飲料,66,655,180,0,3
2023/12/10,P-D001,ミネラルウォーター 2L,飲料,54,601,180,0,3
2023/12/11,P-D001,ミネラルウォーター 2L,飲料,42,559,180,0,3
2023/12/12,P-D001,ミネラルウォーター 2L,飲料,37,522,180,0,3
2023/12/13,P-D001,ミネラルウォーター 2L,飲料,29,493,180,0,3
2023/12/14,P-D001,ミネラルウォーター 2L,飲料,52,441,180,0,3
2023/12/15,P-D001,ミネラルウォーター 2L,飲料,45,396,180,0,3
2023/12/16,P-D001,ミネラルウォーター 2L,飲料,48,348,180,0,3
2023/12/17,P-D001,ミネラルウォーター 2L,飲料,49,299,180,0,3
2023/12/18,P-D001,ミネラルウォーター 2L,飲料,28,271,180,0,3
2023/12/19,P-D001,ミネラルウォーター 2L,飲料,35,236,180,0,3
2023/12/20,P-D001,ミネラルウォーター 2L,飲料,36,200,180,0,3
2023/12/21,P-D001,ミネラルウォーター 2L,飲料,38,722,180,560,3
2023/12/22,P-D001,ミネラルウォーター 2L,飲料,54,668,180,0,3
2023/12/23,P-D001,ミネラルウォーター 2L,飲料,64,604,180,0,3
2023/12/24,P-D001,ミネラルウォーター 2L,飲料,60,544,180,0,3
2023/12/25,P-D001,ミネラルウォーター 2L,飲料,40,504,180,0,3
2023/12/26,P-D001,ミネラルウォーター 2L,飲料,39,465,180,0,3
2023/12/27,P-D001,ミネラルウォーター 2L,飲料,22,443,180,0,3
2023/12/28,P-D001,ミネラルウォーター 2L,飲料,38,405,180,0,3
2023/12/29,P-D001,ミネラルウォーター 2L,飲料,32,373,180,0,3
2023/12/30,P-D001,ミネラルウォーター 2L,飲料,62,311,180,0,3
2023/12/31,P-D001,ミネラルウォーター 2L,飲料,57,254,180,0,3
2023/10/01,P-D002,コーラ 1.5L,飲料,65,345,180,0,3
2023/10/02,P-D002,コーラ 1.5L,飲料,37,308,180,0,3
2023/10/03,P-D002,コーラ 1.5L,飲料,29,279,180,0,3
2023/10/04,P-D002,コーラ 1.5L,飲料,41,238,180,0,3
2023/10/05,P-D002,コーラ 1.5L,飲料,35,203,180,0,3
2023/10/06,P-D002,コーラ 1.5L,飲料,47,716,180,560,3
2023/10/07,P-D002,コーラ 1.5L,飲料,67,649,180,0,3
2023/10/08,P-D002,コーラ 1.5L,飲料,51,598,180,0,3
2023/10/09,P-D002,コーラ 1.5L,飲料,42,556,180,0,3
2023/10/10,P-D002,コーラ 1.5L,飲料,39,517,180,0,3
2023/10/11,P-D002,コーラ 1.5L,飲料,30,487,180,0,3
2023/10/12,P-D002,コーラ 1.5L,飲料,47,440,180,0,3
2023/10/13,P-D002,コーラ 1.5L,飲料,53,387,180,0,3
2023/10/14,P-D002,コーラ 1.5L,飲料,60,327,180,0,3
2023/10/15,P-D002,コーラ 1.5L,飲料,49,278,180,0,3
2023/10/16,P-D002,コーラ 1.5L,飲料,29,249,180,0,3
2023/10/17,P-D002,コーラ 1.5L,飲料,29,220,180,0,3
2023/10/18,P-D002,コーラ 1.5L,飲料,42,738,180,560,3
2023/10/19,P-D002,コーラ 1.5L,飲料,32,706,180,0,3
2023/10/20,P-D002,コーラ 1.5L,飲料,51,655,180,0,3
2023/10/21,P-D002,コーラ 1.5L,飲料,50,605,180,0,3
2023/10/22,P-D002,コーラ 1.5L,飲料,54,551,180,0,3
2023/10/23,P-D002,コーラ 1.5L,飲料,36,515,180,0,3
2023/10/24,P-D002,コーラ 1.5L,飲料,53,462,180,0,3
2023/10/25,P-D002,コーラ 1.5L,飲料,26,436,180,0,3
2023/10/26,P-D002,コーラ 1.5L,飲料,51,385,180,0,3
2023/10/27,P-D002,コーラ 1.5L,飲料,49,336,180,0,3
2023/10/28,P-D002,コーラ 1.5L,飲料,63,273,180,0,3
2023/10/29,P-D002,コーラ 1.5L,飲料,56,217,180,0,3
2023/10/30,P-D002,コーラ 1.5L,飲料,39,738,180,560,3
2023/10/31,P-D002,コーラ 1.5L,飲料,32,706,180,0,3
2023/11/01,P-D002,コーラ 1.5L,飲料,49,657,180,0,3
2023/11/02,P-D002,コーラ 1.5L,飲料,36,621,180,0,3
2023/11/03,P-D002,コーラ 1.5L,飲料,57,564,180,0,3
2023/11/04,P-D002,コーラ 1.5L,飲料,54,510,180,0,3
2023/11/05,P-D002,コーラ 1.5L,飲料,55,455,180,0,3
2023/11/06,P-D002,コーラ 1.5L,飲料,27,428,180,0,3
2023/11/07,P-D002,コーラ 1.5L,飲料,37,391,180,0,3
2023/11/08,P-D002,コーラ 1.5L,飲料,49,342,180,0,3
2023/11/09,P-D002,コーラ 1.5L,飲料,39,303,180,0,3
2023/11/10,P-D002,コーラ 1.5L,飲料,46,257,180,0,3
2023/11/11,P-D002,コーラ 1.5L,飲料,51,206,180,0,3
2023/11/12,P-D002,コーラ 1.5L,飲料,54,712,180,560,3
2023/11/13,P-D002,コーラ 1.5L,飲料,23,689,180,0,3
2023/11/14,P-D002,コーラ 1.5L,飲料,26,663,180,0,3
2023/11/15,P-D002,コーラ 1.5L,飲料,39,624,180,0,3
2023/11/16,P-D002,コーラ 1.5L,飲料,50,574,180,0,3
2023/11/17,P-D002,コーラ 1.5L,飲料,70,504,180,0,3
2023/11/18,P-D002,コーラ 1.5L,飲料,55,449,180,0,3
2023/11/19,P-D002,コーラ 1.5L,飲料,67,382,180,0,3
2023/11/20,P-D002,コーラ 1.5L,飲料,37,345,180,0,3
2023/11/21,P-D002,コーラ 1.5L,飲料,32,313,180,0,3
2023/11/22,P-D002,コーラ 1.5L,飲料,41,272,180,0,3
2023/11/23,P-D002,コーラ 1.5L,飲料,40,232,180,0,3
2023/11/24,P-D002,コーラ 1.5L,飲料,48,184,180,0,3
2023/11/25,P-D002,コーラ 1.5L,飲料,56,688,180,560,3
2023/11/26,P-D002,コーラ 1.5L,飲料,44,644,180,0,3
2023/11/27,P-D002,コーラ 1.5L,飲料,23,621,180,0,3
2023/11/28,P-D002,コーラ 1.5L,飲料,39,582,180,0,3
2023/11/29,P-D002,コーラ 1.5L,飲料,35,547,180,0,3
2023/11/30,P-D002,コーラ 1.5L,飲料,35,512,180,0,3
2023/12/01,P-D002,コーラ 1.5L,飲料,48,464,180,0,3
2023/12/02,P-D002,コーラ 1.5L,飲料,66,398,180,0,3
2023/12/03,P-D002,コーラ 1.5L,飲料,57,341,180,0,3
2023/12/04,P-D002,コーラ 1.5L,飲料,30,311,180,0,3
