日付,商品ID,商品名,カテゴリ,販売数量,在庫数量,発注点,入荷数量,リードタイム(日)
2023/10/01,P-H001,シャンプー,日用品,19,171,67,0,3
2023/10/02,P-H001,シャンプー,日用品,9,162,67,0,3
2023/10/03,P-H001,シャンプー,日用品,9,153,67,0,3
2023/10/04,P-H001,シャンプー,日用品,8,145,67,0,3
2023/10/05,P-H001,シャンプー,日用品,17,128,67,0,3
2023/10/06,P-H001,シャンプー,日用品,23,105,67,0,3
2023/10/07,P-H001,シャンプー,日用品,26,79,67,0,3
2023/10/08,P-H001,シャンプー,日用品,16,273,67,210,3
2023/10/09,P-H001,シャンプー,日用品,15,258,67,0,3
2023/10/10,P-H001,シャンプー,日用品,16,242,67,0,3
2023/10/11,P-H001,シャンプー,日用品,12,230,67,0,3
2023/10/12,P-H001,シャンプー,日用品,15,215,67,0,3
2023/10/13,P-H001,シャンプー,日用品,11,204,67,0,3
2023/10/14,P-H001,シャンプー,日用品,23,181,67,0,3
2023/10/15,P-H001,シャンプー,日用品,17,164,67,0,3
2023/10/16,P-H001,シャンプー,日用品,14,150,67,0,3
2023/10/17,P-H001,シャンプー,日用品,8,142,67,0,3
2023/10/18,P-H001,シャンプー,日用品,15,127,67,0,3
2023/10/19,P-H001,シャンプー,日用品,18,109,67,0,3
2023/10/20,P-H001,シャンプー,日用品,15,94,67,0,3
2023/10/21,P-H001,シャンプー,日用品,18,76,67,0,3
2023/10/22,P-H001,シャンプー,日用品,14,272,67,210,3
2023/10/23,P-H001,シャンプー,日用品,12,260,67,0,3
2023/10/24,P-H001,シャンプー,日用品,10,250,67,0,3
2023/10/25,P-H001,シャンプー,日用品,9,241,67,0,3
2023/10/26,P-H001,シャンプー,日用品,16,225,67,0,3
2023/10/27,P-H001,シャンプー,日用品,16,209,67,0,3
2023/10/28,P-H001,シャンプー,日用品,19,190,67,0,3
2023/10/29,P-H001,シャンプー,日用品,19,171,67,0,3
2023/10/30,P-H001,シャンプー,日用品,16,155,67,0,3
2023/10/31,P-H001,シャンプー,日用品,14,141,67,0,3
2023/11/01,P-H001,シャンプー,日用品,13,128,67,0,3
2023/11/02,P-H001,シャンプー,日用品,16,112,67,0,3
2023/11/03,P-H001,シャンプー,日用品,14,98,67,0,3
2023/11/04,P-H001,シャンプー,日用品,22,76,67,0,3
2023/11/05,P-H001,シャンプー,日用品,21,265,67,210,3
2023/11/06,P-H001,シャンプー,日用品,11,254,67,0,3
2023/11/07,P-H001,シャンプー,日用品,13,241,67,0,3
2023/11/08,P-H001,シャンプー,日用品,11,230,67,0,3
2023/11/09,P-H001,シャンプー,日用品,16,214,67,0,3
2023/11/10,P-H001,シャンプー,日用品,19,195,67,0,3
2023/11/11,P-H001,シャンプー,日用品,13,182,67,0,3
2023/11/12,P-H001,シャンプー,日用品,24,158,67,0,3
2023/11/13,P-H001,シャンプー,日用品,4,154,67,0,3
2023/11/14,P-H001,シャンプー,日用品,10,144,67,0,3
2023/11/15,P-H001,シャンプー,日用品,17,127,67,0,3
2023/11/16,P-H001,シャンプー,日用品,13,114,67,0,3
2023/11/17,P-H001,シャンプー,日用品,13,101,67,0,3
2023/11/18,P-H001,シャンプー,日用品,18,83,67,0,3
2023/11/19,P-H001,シャンプー,日用品,23,270,67,210,3
2023/11/20,P-H001,シャンプー,日用品,7,263,67,0,3
2023/11/21,P-H001,シャンプー,日用品,15,248,67,0,3
2023/11/22,P-H001,シャンプー,日用品,13,235,67,0,3
2023/11/23,P-H001,シャンプー,日用品,11,224,67,0,3
2023/11/24,P-H001,シャンプー,日用品,16,208,67,0,3
2023/11/25,P-H001,シャンプー,日用品,19,189,67,0,3
2023/11/26,P-H001,シャンプー,日用品,23,166,67,0,3
2023/11/27,P-H001,シャンプー,日用品,15,151,67,0,3
2023/11/28,P-H001,シャンプー,日用品,7,144,67,0,3
2023/11/29,P-H001,シャンプー,日用品,12,132,67,0,3
2023/11/30,P-H001,シャンプー,日用品,12,120,67,0,3
2023/12/01,P-H001,シャンプー,日用品,21,99,67,0,3
2023/12/02,P-H001,シャンプー,日用品,18,81,67,0,3
2023/12/03,P-H001,シャンプー,日用品,25,266,67,210,3
2023/12/04,P-H001,シャンプー,日用品,13,253,67,0,3
2023/12/05,P-H001,シャンプー,日用品,9,244,67,0,3
2023/12/06,P-H001,シャンプー,日用品,12,232,67,0,3
2023/12/07,P-H001,シャンプー,日用品,12,220,67,0,3
2023/12/08,P-H001,シャンプー,日用品,13,207,67,0,3
2023/12/09,P-H001,シャンプー,日用品,22,185,67,0,3
2023/12/10,P-H001,シャンプー,日用品,17,168,67,0,3
2023/12/11,P-H001,シャンプー,日用品,6,162,67,0,3
2023/12/12,P-H001,シャンプー,日用品,11,151,67,0,3
2023/12/13,P-H001,シャンプー,日用品,8,143,67,0,3
2023/12/14,P-H001,シャンプー,日用品,12,131,67,0,3
2023/12/15,P-H001,シャンプー,日用品,14,117,67,0,3
2023/12/16,P-H001,シャンプー,日用品,19,98,67,0,3
2023/12/17,P-H001,シャンプー,日用品,26,72,67,0,3
2023/12/18,P-H001,シャンプー,日用品,13,269,67,210,3
2023/12/19,P-H001,シャンプー,日用品,13,256,67,0,3
2023/12/20,P-H001,シャンプー,日用品,8,248,67,0,3
2023/12/21,P-H001,シャンプー,日用品,12,236,67,0,3
2023/12/22,P-H001,シャンプー,日用品,18,218,67,0,3
2023/12/23,P-H001,シャンプー,日用品,19,199,67,0,3
2023/12/24,P-H001,シャンプー,日用品,23,176,67,0,3
2023/12/25,P-H001,シャンプー,日用品,9,167,67,0,3
2023/12/26,P-H001,シャンプー,日用品,11,156,67,0,3
2023/12/27,P-H001,シャンプー,日用品,12,144,67,0,3
2023/12/28,P-H001,シャンプー,日用品,15,129,67,0,3
2023/12/29,P-H001,シャンプー,日用品,15,114,67,0,3
2023/12/30,P-H001,シャンプー,日用品,21,93,67,0,3
2023/12/31,P-H001,シャンプー,日用品,19,74,67,0,3
2023/10/01,P-H002,ボディソープ,日用品,22,160,67,0,3
2023/10/02,P-H002,ボディソープ,日用品,14,146,67,0,3
2023/10/03,P-H002,ボディソープ,日用品,12,134,67,0,3
2023/10/04,P-H002,ボディソープ,日用品,12,122,67,0,3
2023/10/05,P-H002,ボディソープ,日用品,17,105,67,0,3
2023/10/06,P-H002,ボディソープ,日用品,17,88,67,0,3
2023/10/07,P-H002,ボディソープ,日用品,21,67,67,0,3
2023/10/08,P-H002,ボディソープ,日用品,21,256,67,210,3
2023/10/09,P-H002,ボディソープ,日用品,18,238,67,0,3
2023/10/10,P-H002,ボディソープ,日用品,8,230,67,0,3
2023/10/11,P-H002,ボディソープ,日用品,16,214,67,0,3
2023/10/12,P-H002,ボディソープ,日用品,9,205,67,0,3
2023/10/13,P-H002,ボディソープ,日用品,18,187,67,0,3
2023/10/14,P-H002,ボディソープ,日用品,27,160,67,0,3
2023/10/15,P-H002,ボディソープ,日用品,22,138,67,0,3
2023/10/16,P-H002,ボディソープ,日用品,14,124,67,0,3
2023/10/17,P-H002,ボディソープ,日用品,11,113,67,0,3
2023/10/18,P-H002,ボディソープ,日用品,14,99,67,0,3
2023/10/19,P-H002,ボディソープ,日用品,14,85,67,0,3
2023/10/20,P-H002,ボディソープ,日用品,15,70,67,0,3
2023/10/21,P-H002,ボディソープ,日用品,21,259,67,210,3
2023/10/22,P-H002,ボディソープ,日用品,21,238,67,0,3
2023/10/23,P-H002,ボディソープ,日用品,11,227,67,0,3
2023/10/24,P-H002,ボディソープ,日用品,10,217,67,0,3
2023/10/25,P-H002,ボディソープ,日用品,10,207,67,0,3
2023/10/26,P-H002,ボディソープ,日用品,16,191,67,0,3
2023/10/27,P-H002,ボディソープ,日用品,19,172,67,0,3
2023/10/28,P-H002,ボディソープ,日用品,23,149,67,0,3
2023/10/29,P-H002,ボディソープ,日用品,24,125,67,0,3
2023/10/30,P-H002,ボディソープ,日用品,13,112,67,0,3
2023/10/31,P-H002,ボディソープ,日用品,14,98,67,0,3
2023/11/01,P-H002,ボディソープ,日用品,15,83,67,0,3
2023/11/02,P-H002,ボディソープ,日用品,15,68,67,0,3
2023/11/03,P-H002,ボディソープ,日用品,16,262,67,210,3
2023/11/04,P-H002,ボディソープ,日用品,29,233,67,0,3
2023/11/05,P-H002,ボディソープ,日用品,20,213,67,0,3
2023/11/06,P-H002,ボディソープ,日用品,11,202,67,0,3
2023/11/07,P-H002,ボディソープ,日用品,14,188,67,0,3
2023/11/08,P-H002,ボディソープ,日用品,15,173,67,0,3
2023/11/09,P-H002,ボディソープ,日用品,11,162,67,0,3
2023/11/10,P-H002,ボディソープ,日用品,21,141,67,0,3
2023/11/11,P-H002,ボディソープ,日用品,22,119,67,0,3
2023/11/12,P-H002,ボディソープ,日用品,18,101,67,0,3
2023/11/13,P-H002,ボディソープ,日用品,17,84,67,0,3
2023/11/14,P-H002,ボディソープ,日用品,14,70,67,0,3
2023/11/15,P-H002,ボディソープ,日用品,10,270,67,210,3
2023/11/16,P-H002,ボディソープ,日用品,20,250,67,0,3
2023/11/17,P-H002,ボディソープ,日用品,20,230,67,0,3
2023/11/18,P-H002,ボディソープ,日用品,23,207,67,0,3
2023/11/19,P-H002,ボディソープ,日用品,26,181,67,0,3
2023/11/20,P-H002,ボディソープ,日用品,14,167,67,0,3
2023/11/21,P-H002,ボディソープ,日用品,13,154,67,0,3
2023/11/22,P-H002,ボディソープ,日用品,12,142,67,0,3
2023/11/23,P-H002,ボディソープ,日用品,17,125,67,0,3
2023/11/24,P-H002,ボディソープ,日用品,19,106,67,0,3
2023/11/25,P-H002,ボディソープ,日用品,23,83,67,0,3
2023/11/26,P-H002,ボディソープ,日用品,19,274,67,210,3
2023/11/27,P-H002,ボディソープ,日用品,14,260,67,0,3
2023/11/28,P-H002,ボディソープ,日用品,12,248,67,0,3
2023/11/29,P-H002,ボディソープ,日用品,10,238,67,0,3
2023/11/30,P-H002,ボディソープ,日用品,11,227,67,0,3
2023/12/01,P-H002,ボディソープ,日用品,20,207,67,0,3
2023/12/02,P-H002,ボディソープ,日用品,15,192,67,0,3
2023/12/03,P-H002,ボディソープ,日用品,22,170,67,0,3
2023/12/04,P-H002,ボディソープ,日用品,12,158,67,0,3
2023/12/05,P-H002,ボディソープ,日用品,17,141,67,0,3
2023/12/06,P-H002,ボディソープ,日用品,13,128,67,0,3
2023/12/07,P-H002,ボディソープ,日用品,17,111,67,0,3
2023/12/08,P-H002,ボディソープ,日用品,17,94,67,0,3
2023/12/09,P-H002,ボディソープ,日用品,23,71,67,0,3
2023/12/10,P-H002,ボディソープ,日用品,24,257,67,210,3
2023/12/11,P-H002,ボディソープ,日用品,12,245,67,0,3
2023/12/12,P-H002,ボディソープ,日用品,16,229,67,0,3
