日付,品番,品名,分類,売数,在庫,発注点,入荷量,リード日数
2023/10/01,P-C001,Tシャツ L,衣料,8,109,36,0,3
2023/10/02,P-C001,Tシャツ L,衣料,7,102,36,0,3
2023/10/03,P-C001,Tシャツ L,衣料,4,98,36,0,3
2023/10/04,P-C001,Tシャツ L,衣料,6,92,36,0,3
2023/10/05,P-C001,Tシャツ L,衣料,7,85,36,0,3
2023/10/06,P-C001,Tシャツ L,衣料,8,77,36,0,3
2023/10/07,P-C001,Tシャツ L,衣料,11,66,36,0,3
2023/10/08,P-C001,Tシャツ L,衣料,11,55,36,0,3
2023/10/09,P-C001,Tシャツ L,衣料,6,49,36,0,3
2023/10/10,P-C001,Tシャツ L,衣料,4,45,36,0,3
2023/10/11,P-C001,Tシャツ L,衣料,8,37,36,0,3
2023/10/12,P-C001,Tシャツ L,衣料,9,140,36,112,3
2023/10/13,P-C001,Tシャツ L,衣料,10,130,36,0,3
2023/10/14,P-C001,Tシャツ L,衣料,9,121,36,0,3
2023/10/15,P-C001,Tシャツ L,衣料,11,110,36,0,3
2023/10/16,P-C001,Tシャツ L,衣料,8,102,36,0,3
2023/10/17,P-C001,Tシャツ L,衣料,5,97,36,0,3
2023/10/18,P-C001,Tシャツ L,衣料,7,90,36,0,3
2023/10/19,P-C001,Tシャツ L,衣料,7,83,36,0,3
2023/10/20,P-C001,Tシャツ L,衣料,12,71,36,0,3
2023/10/21,P-C001,Tシャツ L,衣料,14,57,36,0,3
2023/10/22,P-C001,Tシャツ L,衣料,8,49,36,0,3
2023/10/23,P-C001,Tシャツ L,衣料,11,38,36,0,3
2023/10/24,P-C001,Tシャツ L,衣料,5,145,36,112,3
2023/10/25,P-C001,Tシャツ L,衣料,9,136,36,0,3
2023/10/26,P-C001,Tシャツ L,衣料,9,127,36,0,3
2023/10/27,P-C001,Tシャツ L,衣料,7,120,36,0,3
2023/10/28,P-C001,Tシャツ L,衣料,12,108,36,0,3
2023/10/29,P-C001,Tシャツ L,衣料,10,98,36,0,3
2023/10/30,P-C001,Tシャツ L,衣料,7,91,36,0,3
2023/10/31,P-C001,Tシャツ L,衣料,7,84,36,0,3
2023/11/01,P-C001,Tシャツ L,衣料,9,75,36,0,3
2023/11/02,P-C001,Tシャツ L,衣料,7,68,36,0,3
2023/11/03,P-C001,Tシャツ L,衣料,9,59,36,0,3
2023/11/04,P-C001,Tシャツ L,衣料,13,46,36,0,3
2023/11/05,P-C001,Tシャツ L,衣料,11,147,36,112,3
2023/11/06,P-C001,Tシャツ L,衣料,8,139,36,0,3
