日付,品番,品名,分類,売数,在庫,発注点,入荷量,リード日数
2023/10/01,P-E001,USB充電ケーブル,電化製品,5,85,22,0,3
2023/10/02,P-E001,USB充電ケーブル,電化製品,5,80,22,0,3
2023/10/03,P-E001,USB充電ケーブル,電化製品,7,73,22,0,3
2023/10/04,P-E001,USB充電ケーブル,電化製品,4,69,22,0,3
2023/10/05,P-E001,USB充電ケーブル,電化製品,3,66,22,0,3
2023/10/06,P-E001,USB充電ケーブル,電化製品,6,60,22,0,3
2023/10/07,P-E001,USB充電ケーブル,電化製品,6,54,22,0,3
2023/10/08,P-E001,USB充電ケーブル,電化製品,8,46,22,0,3
2023/10/09,P-E001,USB充電ケーブル,電化製品,4,42,22,0,3
2023/10/10,P-E001,USB充電ケーブル,電化製品,3,39,22,0,3
2023/10/11,P-E001,USB充電ケーブル,電化製品,4,35,22,0,3
2023/10/12,P-E001,USB充電ケーブル,電化製品,5,30,22,0,3
2023/10/13,P-E001,USB充電ケーブル,電化製品,5,25,22,0,3
2023/10/14,P-E001,USB充電ケーブル,電化製品,7,88,22,70,3
2023/10/15,P-E001,USB充電ケーブル,電化製品,6,82,22,0,3
2023/10/16,P-E001,USB充電ケーブル,電化製品,3,79,22,0,3
2023/10/17,P-E001,USB充電ケーブル,電化製品,4,75,22,0,3
2023/10/18,P-E001,USB充電ケーブル,電化製品,2,73,22,0,3
2023/10/19,P-E001,USB充電ケーブル,電化製品,4,69,22,0,3
2023/10/20,P-E001,USB充電ケーブル,電化製品,6,63,22,0,3
2023/10/21,P-E001,USB充電ケーブル,電化製品,7,56,22,0,3
2023/10/22,P-E001,USB充電ケーブル,電化製品,7,49,22,0,3
2023/10/23,P-E001,USB充電ケーブル,電化製品,4,45,22,0,3
2023/10/24,P-E001,USB充電ケーブル,電化製品,5,40,22,0,3
2023/10/25,P-E001,USB充電ケーブル,電化製品,5,35,22,0,3
2023/10/26,P-E001,USB充電ケーブル,電化製品,5,30,22,0,3
2023/10/27,P-E001,USB充電ケーブル,電化製品,6,24,22,0,3
2023/10/28,P-E001,USB充電ケーブル,電化製品,8,86,22,70,3
2023/10/29,P-E001,USB充電ケーブル,電化製品,6,80,22,0,3
2023/10/30,P-E001,USB充電ケーブル,電化製品,3,77,22,0,3
2023/10/31,P-E001,USB充電ケーブル,電化製品,4,73,22,0,3
2023/11/01,P-E001,USB充電ケーブル,電化製品,5,68,22,0,3
2023/11/02,P-E001,USB充電ケーブル,電化製品,6,62,22,0,3
2023/11/03,P-E001,USB充電ケーブル,電化製品,5,57,22,0,3
2023/11/04,P-E001,USB充電ケーブル,電化製品,6,51,22,0,3
2023/11/05,P-E001,USB充電ケーブル,電化製品,7,44,22,0,3
2023/11/06,P-E001,USB充電ケーブル,電化製品,4,40,22,0,3
2023/11/07,P-E001,USB充電ケーブル,電化製品,2,38,22,0,3
2023/11/08,P-E001,USB充電ケーブル,電化製品,5,33,22,0,3
2023/11/09,P-E001,USB充電ケーブル,電化製品,3,30,22,0,3
2023/11/10,P-E001,USB充電ケーブル,電化製品,5,25,22,0,3
2023/11/11,P-E001,USB充電ケーブル,電化製品,8,87,22,70,3
2023/11/12,P-E001,USB充電ケーブル,電化製品,8,79,22,0,3
2023/11/13,P-E001,USB充電ケーブル,電化製品,3,76,22,0,3
2023/11/14,P-E001,USB充電ケーブル,電化製品,3,73,22,0,3
2023/11/15,P-E001,USB充電ケーブル,電化製品,4,69,22,0,3
2023/11/16,P-E001,USB充電ケーブル,電化製品,6,63,22,0,3
2023/11/17,P-E001,USB充電ケーブル,電化製品,5,58,22,0,3
2023/11/18,P-E001,USB充電ケーブル,電化製品,7,51,22,0,3
2023/11/19,P-E001,USB充電ケーブル,電化製品,8,43,22,0,3
