product_id,product_name,category,avg_daily_sales,trend_factor,current_stock,safety_stock,forecast_31days,recommended_order,days_of_stock,stockout_risk,overstock
P-C001,Tシャツ L,衣料,7.43,0.946,37,7.4,238.3,208.6,5.0,False,False
P-C002,ソックス 3足,衣料,9.71,1.052,105,7.4,346.4,248.8,10.8,False,False
P-C003,インナー M,衣料,9.0,1.054,67,7.5,321.5,262.0,7.4,False,False
P-C004,ハンカチ,衣料,9.57,1.022,36,7.4,331.7,303.1,3.8,True,False
P-C005,ベルト,衣料,7.14,0.999,125,7.0,241.9,124.0,17.5,False,False
P-C006,帽子,衣料,7.14,0.943,44,7.3,228.3,191.6,6.2,False,False
P-C007,手袋,衣料,9.29,1.076,59,7.8,338.8,287.6,6.4,False,False
P-C008,スカーフ,衣料,9.57,1.038,56,7.1,336.9,288.0,5.9,False,False
P-C009,エプロン,衣料,8.0,0.984,85,6.9,266.7,188.7,10.6,False,False
P-C010,作業着 L,衣料,8.0,1.054,133,7.5,285.9,160.3,16.6,False,False
P-D001,ミネラルウォーター 2L,飲料,41.43,1.003,254,36.3,1408.4,1190.7,6.1,False,False
P-D002,コーラ 1.5L,飲料,44.86,1.043,728,32.2,1586.6,890.7,16.2,False,False
P-D003,オレンジジュース,飲料,39.86,1.043,354,34.2,1409.1,1089.3,8.9,False,False
P-D004,麦茶パック,飲料,37.86,0.934,396,35.1,1199.0,838.0,10.5,False,False
P-D005,スポーツドリンク,飲料,45.14,1.0,184,35.7,1529.6,1381.3,4.1,False,False
P-D006,アイスコーヒー,飲料,38.14,0.944,294,34.9,1220.8,961.7,7.7,False,False
P-D007,緑茶 500ml,飲料,41.0,1.012,334,39.3,1406.6,1112.0,8.1,False,False
P-D008,牛乳 1L,飲料,41.86,0.999,267,34.7,1418.2,1185.9,6.4,False,False
P-D009,豆乳,飲料,45.29,1.049,329,36.4,1610.4,1317.7,7.3,False,False
P-D010,炭酸水,飲料,47.43,1.026,260,34.0,1649.6,1423.6,5.5,False,False
P-E001,USB充電ケーブル,電化製品,5.14,1.038,43,4.5,180.9,142.4,8.4,False,False
P-E002,電池 AA 4本,電化製品,5.43,1.051,61,5.2,193.5,137.7,11.2,False,False
P-E003,電球 LED,電化製品,5.71,1.076,91,4.0,208.5,121.4,15.9,False,False
P-E004,延長コード,電化製品,5.43,1.042,25,4.4,191.8,171.3,4.6,False,False
P-E005,ライター,電化製品,5.86,1.052,64,5.0,208.8,149.8,10.9,False,False
P-E006,単三電池 6本,電化製品,5.14,0.997,80,4.6,173.7,98.3,15.6,False,False
P-E007,スマホスタンド,電化製品,4.86,1.007,46,4.5,165.8,124.3,9.5,False,False
P-E008,マウスパッド,電化製品,5.43,1.096,82,4.2,201.6,123.8,15.1,False,False
P-E009,キーボードカバー,電化製品,4.71,1.053,30,4.4,168.3,142.7,6.4,False,False
P-E010,画面クリーナー,電化製品,5.0,1.003,79,4.7,170.0,95.6,15.8,False,False
P-F001,コーヒー豆 200g,食品,29.57,1.026,114,21.4,1028.7,936.1,3.9,False,False
P-F002,緑茶パック,食品,30.71,1.049,221,22.2,1092.0,893.2,7.2,False,False
P-F003,即席ラーメン,食品,31.14,1.076,454,24.2,1135.6,705.8,14.6,False,False
P-F004,チョコレート,食品,28.71,1.019,178,24.0,991.9,837.9,6.2,False,False
P-F005,スナック菓子,食品,23.14,1.049,284,21.8,823.1,561.0,12.3,False,False
P-F006,ヨーグルト,食品,23.86,0.971,253,20.9,785.2,553.1,10.6,False,False
P-F007,バター,食品,31.57,1.065,128,23.0,1139.9,1034.8,4.1,False,False
P-F008,食パン,食品,27.29,1.015,351,22.6,939.2,610.8,12.9,False,False
P-F009,ジャム,食品,31.71,1.005,459,24.4,1080.3,645.7,14.5,False,False
P-F010,缶詰セット,食品,31.29,1.087,168,22.7,1152.4,1007.1,5.4,False,False
P-H001,シャンプー,日用品,14.57,0.992,74,13.8,489.9,429.7,5.1,False,False
P-H002,ボディソープ,日用品,18.86,1.044,98,14.1,667.3,583.4,5.2,False,False
P-H003,歯ブラシ,日用品,16.0,1.068,82,12.3,579.2,509.5,5.1,False,False
P-H004,歯磨き粉,日用品,16.43,1.013,141,13.9,564.0,436.9,8.6,False,False
P-H005,トイレットペーパー,日用品,17.0,1.059,137,15.3,610.5,488.7,8.1,False,False
P-H006,洗剤,日用品,18.57,1.02,102,15.8,641.9,555.7,5.5,False,False
P-H007,柔軟剤,日用品,16.43,1.07,102,13.6,595.9,507.5,6.2,False,False
P-H008,ティッシュ,日用品,15.14,0.978,149,13.2,502.2,366.4,9.8,False,False
P-H009,除菌シート,日用品,16.29,1.019,113,14.3,562.5,463.8,6.9,False,False
P-H010,マスク,日用品,17.0,1.063,96,13.8,612.5,530.3,5.6,False,False
