店舗ID,店舗名,年月,売上予算,売上実績,原価予算,原価実績,人件費予算,人件費実績,その他費用予算,その他費用実績
S001,渋谷店,2024-W01,3500000,3646398,1583754,1476865,579687,620811,293422,327944
S002,新宿店,2024-W01,4000000,3504327,1968769,1691053,661219,662281,205307,186758
S003,池袋店,2024-W01,3000000,3134896,1513482,1386550,573746,627006,150975,164826
S004,横浜店,2024-W01,2800000,2966437,1355270,1215195,607614,577828,152984,134475
S005,大宮店,2024-W01,2200000,2429346,1122820,1226275,442379,447187,217043,209134
S001,渋谷店,2024-W02,3500000,3554643,1865292,1931614,736118,753200,298300,257656
S002,新宿店,2024-W02,4000000,3673478,1915755,1674250,665181,585559,255595,265999
S003,池袋店,2024-W02,3000000,2878349,1461054,1333726,506065,572358,247205,255298
S004,横浜店,2024-W02,2800000,2523756,1464156,1316307,494373,566975,229600,233523
S005,大宮店,2024-W02,2200000,2321845,1175427,1272752,365273,314000,144700,134618
S001,渋谷店,2024-W03,3500000,3196532,1905018,2120114,602096,630173,244236,274610
S002,新宿店,2024-W03,4000000,3950622,1905952,1761077,757183,703289,316917,354740
S003,池袋店,2024-W03,3000000,2909460,1415796,1627120,557001,488642,157067,138674
S004,横浜店,2024-W03,2800000,2907055,1481782,1447179,432451,417093,279457,281898
S005,大宮店,2024-W03,2200000,2510912,1179372,1006528,440991,465031,169067,157240
S001,渋谷店,2024-W04,3500000,3648010,1614043,1582455,636162,722772,328274,304972
S002,新宿店,2024-W04,4000000,4000703,1871461,2103126,843745,792727,327790,338506
S003,池袋店,2024-W04,3000000,2687555,1578753,1597404,613512,619099,150086,142168
S004,横浜店,2024-W04,2800000,2396360,1520148,1692862,583006,549340,148110,164906
S005,大宮店,2024-W04,2200000,2494987,1008844,1004604,340659,367292,194242,172587
S001,渋谷店,2024-W05,3500000,3474046,1767431,1642857,738746,721712,212065,214565
S002,新宿店,2024-W05,4000000,4275917,1880460,1774242,878642,918149,287620,289137
S003,池袋店,2024-W05,3000000,2658904,1417409,2029037,573545,580480,183033,357158
S004,横浜店,2024-W05,2800000,3102094,1279840,1179246,551120,503873,158524,179236
S005,大宮店,2024-W05,2200000,2246888,1093988,1187399,454355,412156,120662,118166
S001,渋谷店,2024-W06,3500000,3419758,1738459,1857931,689974,790192,192223,186607
S002,新宿店,2024-W06,4000000,3807163,2144669,1982954,653258,643187,284376,265483
S003,池袋店,2024-W06,3000000,2774826,1626980,1599222,630883,640408,157588,181192
S004,横浜店,2024-W06,2800000,3082263,1531319,1727190,586344,527647,207990,190129
S005,大宮店,2024-W06,2200000,2134687,1002900,966487,481738,447805,196248,193599
S001,渋谷店,2024-W07,3500000,3419158,1910061,2193947,661163,704484,202089,189764
S002,新宿店,2024-W07,4000000,4562451,2031672,2057390,809433,701899,316836,317107
S003,池袋店,2024-W07,3000000,3317448,1397230,1590374,466823,422824,239255,251831
S004,横浜店,2024-W07,2800000,2577571,1293568,1445027,468258,481536,226713,221219
S005,大宮店,2024-W07,2200000,2255224,1105012,1249119,361456,384899,136255,131995
S001,渋谷店,2024-W08,3500000,3680275,1679999,1587352,709207,618260,255200,293362
S002,新宿店,2024-W08,4000000,4595316,1829304,1671886,674256,761894,376173,418974
S003,池袋店,2024-W08,3000000,2882574,1397324,1537229,597743,617769,298085,311854
S004,横浜店,2024-W08,2800000,2386571,1488789,1399184,550024,622451,158801,140480
S005,大宮店,2024-W08,2200000,1940644,1111709,1035784,423144,450768,132396,137728
S001,渋谷店,2024-W09,3500000,3252183,1745986,1958300,732295,642728,249126,232436
S002,新宿店,2024-W09,4000000,3404255,2108448,2195177,673347,722077,310336,303604
S003,池袋店,2024-W09,3000000,2558703,1372573,1530325,639825,648576,275189,282001
S004,横浜店,2024-W09,2800000,2504399,1295685,1221154,596200,649164,260498,291674
S005,大宮店,2024-W09,2200000,2008651,1044897,1437100,450138,551155,154702,264894
S001,渋谷店,2024-W10,3500000,4000016,1858770,2071459,531073,568763,233132,263263
S002,新宿店,2024-W10,4000000,4362682,2145626,2345652,674706,732874,221619,246363
S003,池袋店,2024-W10,3000000,3322734,1416730,1551285,546664,514715,269302,247294
S004,横浜店,2024-W10,2800000,2399878,1314076,1246373,589413,671970,179077,186678
S005,大宮店,2024-W10,2200000,2133788,1205853,1699036,474643,472074,216744,184582
S001,渋谷店,2024-W11,3500000,3431292,1829991,1727700,673521,675829,242409,247979
S002,新宿店,2024-W11,4000000,3705667,2083514,1772044,859161,869072,343886,368847
S003,池袋店,2024-W11,3000000,3153566,1459266,1271009,589490,559461,197087,217664
