store_id,store_name,year_month,planned_revenue,actual_revenue,planned_cogs,actual_cogs,planned_labor,actual_labor,planned_other,actual_other,source_file,planned_gross_profit,actual_gross_profit,planned_operating_profit,actual_operating_profit,revenue_variance,revenue_variance_ratio,profit_variance,profit_variance_ratio,profit_flag
S001,渋谷店,2024-W01,3500000,3646398,1583754,1476865,579687,620811,293422,327944,pnl_style_a.csv,1916246,2169533,1043137,1220778,146398,0.041828,177641,0.17029498522245878,達成
S002,新宿店,2024-W01,4000000,3504327,1968769,1691053,661219,662281,205307,186758,pnl_style_a.csv,2031231,1813274,1164705,964235,-495673,-0.12391825,-200470,-0.1721208374652809,未達
S003,池袋店,2024-W01,3000000,3134896,1513482,1386550,573746,627006,150975,164826,pnl_style_a.csv,1486518,1748346,761797,956514,134896,0.044965333333333336,194717,0.2556022142381763,達成
S004,横浜店,2024-W01,2800000,2966437,1355270,1215195,607614,577828,152984,134475,pnl_style_a.csv,1444730,1751242,684132,1038939,166437,0.05944178571428571,354807,0.5186235989545878,達成
S005,大宮店,2024-W01,2200000,2429346,1122820,1226275,442379,447187,217043,209134,pnl_style_a.csv,1077180,1203071,417758,546750,229346,0.10424818181818182,128992,0.30877206420942266,達成
S001,渋谷店,2024-W02,3500000,3554643,1865292,1931614,736118,753200,298300,257656,pnl_style_a.csv,1634708,1623029,600290,612173,54643,0.015612285714285714,11883,0.019795432207766247,達成
S002,新宿店,2024-W02,4000000,3673478,1915755,1674250,665181,585559,255595,265999,pnl_style_a.csv,2084245,1999228,1163469,1147670,-326522,-0.0816305,-15799,-0.013579218698564379,達成
S003,池袋店,2024-W02,3000000,2878349,1461054,1333726,506065,572358,247205,255298,pnl_style_a.csv,1538946,1544623,785676,716967,-121651,-0.040550333333333334,-68709,-0.08745207948314572,達成
S004,横浜店,2024-W02,2800000,2523756,1464156,1316307,494373,566975,229600,233523,pnl_style_a.csv,1335844,1207449,611871,406951,-276244,-0.09865857142857143,-204920,-0.3349071944903419,未達
S005,大宮店,2024-W02,2200000,2321845,1175427,1272752,365273,314000,144700,134618,pnl_style_a.csv,1024573,1049093,514600,600475,121845,0.05538409090909091,85875,0.16687718616401087,達成
