注文日,顧客コード,商品カテゴリ,購入金額,店舗名
2024/02/10,CUST-015,食料品,49098,新宿店
2024/01/16,CUST-029,日用品,48765,渋谷店
2024/02/13,CUST-095,雑貨,6197,池袋店
2024/01/28,CUST-005,食料品,6640,渋谷店
2024/01/15,CUST-065,雑貨,2239,池袋店
2024/01/13,CUST-092,雑貨,27993,渋谷店
2024/01/29,CUST-076,衣料品,925,渋谷店
2024/02/14,CUST-055,衣料品,18710,渋谷店
2024/01/14,CUST-098,衣料品,7198,渋谷店
2024/01/25,CUST-013,衣料品,23041,池袋店
2024/01/17,CUST-006,家電,35642,渋谷店
2024/01/25,CUST-011,雑貨,19713,池袋店
2024/02/09,CUST-047,雑貨,13101,池袋店
2024/01/05,CUST-006,日用品,19465,渋谷店
2024/02/24,CUST-030,食料品,25411,新宿店
2024/01/30,CUST-082,衣料品,11159,新宿店
2024/01/23,CUST-027,衣料品,46494,池袋店
2024/02/11,CUST-010,雑貨,42113,渋谷店
2024/02/04,CUST-094,日用品,11208,新宿店
2024/01/25,CUST-035,雑貨,14892,池袋店
2024/01/21,CUST-099,食料品,15510,渋谷店
2024/02/21,CUST-041,家電,18046,渋谷店
2024/01/14,CUST-073,衣料品,14434,池袋店
2024/02/01,CUST-051,家電,9863,新宿店
2024/01/09,CUST-032,雑貨,35822,新宿店
2024/02/17,CUST-075,家電,38742,新宿店
2024/01/24,CUST-029,日用品,33892,新宿店
2024/01/06,CUST-097,食料品,7685,渋谷店
2024/02/10,CUST-021,家電,39586,渋谷店
2024/01/25,CUST-049,雑貨,31174,池袋店
2024/01/17,CUST-071,食料品,45083,池袋店
2024/01/08,CUST-088,雑貨,49709,新宿店
2024/02/19,CUST-083,衣料品,7810,新宿店
2024/01/28,CUST-021,家電,712,池袋店
2024/02/26,CUST-093,衣料品,33306,渋谷店
2024/02/02,CUST-014,衣料品,42374,池袋店
2024/02/08,CUST-026,日用品,25004,渋谷店
2024/02/04,CUST-100,雑貨,537,池袋店
2024/01/21,CUST-063,食料品,7831,新宿店
2024/02/26,CUST-040,日用品,4296,渋谷店
2024/02/26,CUST-073,食料品,6113,池袋店
2024/02/01,CUST-009,雑貨,8741,渋谷店
2024/02/12,CUST-061,雑貨,11321,新宿店
2024/02/03,CUST-078,家電,14380,池袋店
2024/02/18,CUST-094,日用品,47223,新宿店
2024/01/26,CUST-086,衣料品,29211,池袋店
2024/01/29,CUST-016,日用品,15225,渋谷店
2024/01/22,CUST-003,雑貨,36801,渋谷店
2024/02/07,CUST-029,食料品,5152,池袋店
2024/02/10,CUST-008,日用品,4917,渋谷店
2024/02/25,CUST-043,食料品,34195,渋谷店
2024/01/18,CUST-086,家電,14540,池袋店
2024/01/09,CUST-093,雑貨,38262,新宿店
2024/01/16,CUST-061,家電,12978,渋谷店
2024/01/07,CUST-085,家電,23719,新宿店
2024/01/27,CUST-060,食料品,44629,池袋店
2024/02/11,CUST-013,食料品,26886,池袋店
2024/01/22,CUST-014,日用品,13056,渋谷店
2024/02/04,CUST-058,日用品,28148,渋谷店
2024/01/18,CUST-060,日用品,5440,新宿店
2024/02/21,CUST-071,食料品,3815,池袋店
2024/02/04,CUST-002,食料品,49885,渋谷店
2024/01/11,CUST-053,家電,32046,渋谷店
2024/02/25,CUST-052,食料品,11289,新宿店
2024/01/01,CUST-050,衣料品,30319,新宿店
2024/01/28,CUST-090,雑貨,43876,池袋店
2024/02/01,CUST-020,日用品,19945,渋谷店
2024/01/04,CUST-075,雑貨,4494,池袋店
2024/01/21,CUST-008,食料品,38784,新宿店
2024/02/02,CUST-068,日用品,4227,池袋店
2024/01/06,CUST-024,食料品,39496,渋谷店
2024/02/13,CUST-031,家電,8356,池袋店
2024/01/16,CUST-075,雑貨,3104,池袋店
2024/01/06,CUST-054,雑貨,37542,池袋店
2024/01/21,CUST-034,日用品,44391,池袋店
2024/01/21,CUST-031,衣料品,26438,渋谷店
2024/02/12,CUST-083,衣料品,30464,新宿店
2024/02/18,CUST-010,食料品,30534,池袋店
2024/02/06,CUST-013,食料品,35734,渋谷店
2024/02/02,CUST-034,日用品,23372,渋谷店
2024/02/26,CUST-032,衣料品,19176,渋谷店
2024/01/29,CUST-070,衣料品,40586,池袋店
2024/02/03,CUST-002,雑貨,20120,池袋店
2024/01/07,CUST-018,衣料品,8064,渋谷店
2024/02/17,CUST-071,日用品,18348,新宿店
2024/02/08,CUST-027,衣料品,13842,池袋店
2024/02/10,CUST-034,雑貨,32516,新宿店
2024/02/27,CUST-007,食料品,42068,新宿店
2024/02/23,CUST-036,食料品,732,新宿店
