OrderDate,CustomerCode,Category,Amount,StoreName
2024-02-23,CUST-060,日用品,41280,池袋店
2024-01-02,CUST-051,雑貨,37487,池袋店
2024-01-02,CUST-011,家電,9393,新宿店
2024-01-12,CUST-007,衣料品,25344,新宿店
2024-01-14,CUST-059,衣料品,22618,新宿店
2024-01-18,CUST-097,家電,17032,渋谷店
2024-01-31,CUST-003,雑貨,3913,新宿店
2024-01-15,CUST-084,食料品,43213,渋谷店
2024-02-18,CUST-004,日用品,13565,渋谷店
2024-02-09,CUST-020,日用品,8772,新宿店
2024-02-12,CUST-015,雑貨,14784,新宿店
2024-02-14,CUST-033,衣料品,11496,池袋店
2024-02-08,CUST-096,食料品,11232,新宿店
2024-01-07,CUST-075,食料品,20944,池袋店
2024-02-13,CUST-049,家電,47359,渋谷店
2024-01-05,CUST-076,日用品,7178,池袋店
2024-02-19,CUST-039,雑貨,8433,池袋店
2024-02-20,CUST-006,衣料品,35413,新宿店
2024-02-12,CUST-048,食料品,33658,池袋店
2024-01-22,CUST-002,家電,32625,渋谷店
2024-01-28,CUST-047,家電,46854,渋谷店
2024-01-28,CUST-023,雑貨,43128,新宿店
2024-02-09,CUST-069,家電,30965,新宿店
2024-02-22,CUST-094,雑貨,18089,新宿店
2024-02-24,CUST-032,食料品,18779,新宿店
2024-01-16,CUST-097,家電,37845,池袋店
2024-02-12,CUST-049,衣料品,2380,新宿店
2024-02-24,CUST-042,日用品,32452,渋谷店
2024-01-23,CUST-034,衣料品,18827,池袋店
2024-02-14,CUST-036,雑貨,1165,池袋店
2024-01-13,CUST-011,日用品,47690,新宿店
2024-02-01,CUST-072,日用品,45759,新宿店
2024-02-11,CUST-092,家電,29871,渋谷店
2024-01-06,CUST-038,日用品,27002,池袋店
2024-01-16,CUST-040,雑貨,24684,新宿店
2024-02-05,CUST-068,衣料品,28385,池袋店
2024-02-05,CUST-043,衣料品,46562,新宿店
2024-01-18,CUST-040,衣料品,15608,渋谷店
2024-02-16,CUST-025,衣料品,8335,池袋店
2024-02-04,CUST-098,日用品,13052,渋谷店
2024-02-17,CUST-062,衣料品,47986,池袋店
2024-02-18,CUST-068,雑貨,19046,渋谷店
2024-02-23,CUST-025,衣料品,15408,新宿店
2024-01-12,CUST-039,食料品,46900,池袋店
2024-01-09,CUST-036,食料品,4073,池袋店
2024-01-19,CUST-090,日用品,42303,新宿店
2024-01-07,CUST-002,雑貨,19134,新宿店
2024-01-31,CUST-057,衣料品,12582,渋谷店
2024-01-17,CUST-062,食料品,4782,新宿店
2024-02-01,CUST-010,雑貨,41751,池袋店
2024-01-04,CUST-020,日用品,37386,新宿店
2024-01-06,CUST-032,食料品,37073,新宿店
2024-02-08,CUST-077,雑貨,15290,池袋店
2024-01-25,CUST-058,家電,19987,池袋店
2024-01-28,CUST-040,雑貨,41199,渋谷店
2024-02-09,CUST-095,食料品,14117,池袋店
2024-01-14,CUST-034,食料品,10792,渋谷店
2024-01-12,CUST-071,食料品,10758,渋谷店
2024-01-27,CUST-058,雑貨,31296,新宿店
2024-01-03,CUST-030,衣料品,46831,新宿店
2024-02-14,CUST-059,食料品,45548,渋谷店
2024-01-17,CUST-081,雑貨,43831,渋谷店
2024-01-28,CUST-015,雑貨,15233,池袋店
2024-01-10,CUST-035,日用品,5179,渋谷店
2024-01-11,CUST-040,雑貨,49583,池袋店
2024-02-28,CUST-037,家電,8649,新宿店
2024-02-14,CUST-039,家電,18341,池袋店
2024-02-04,CUST-064,家電,5771,池袋店
2024-01-03,CUST-056,衣料品,40064,新宿店
2024-01-02,CUST-012,日用品,44690,池袋店
2024-02-07,CUST-003,衣料品,38264,渋谷店
2024-02-18,CUST-097,日用品,31334,池袋店
2024-02-11,CUST-057,衣料品,12394,池袋店
2024-01-28,CUST-082,家電,6479,新宿店
2024-01-23,CUST-053,衣料品,21540,池袋店
2024-01-07,CUST-021,衣料品,27477,池袋店
2024-02-01,CUST-037,家電,36551,渋谷店
2024-01-30,CUST-012,衣料品,17041,新宿店
2024-01-08,CUST-099,家電,34224,渋谷店
2024-02-12,CUST-070,家電,27582,渋谷店
2024-01-13,CUST-067,衣料品,41304,新宿店
2024-02-10,CUST-057,食料品,13840,新宿店
2024-02-05,CUST-017,衣料品,29212,池袋店
2024-02-01,CUST-016,食料品,41789,池袋店
2024-02-21,CUST-031,日用品,20865,池袋店
2024-01-01,CUST-071,家電,6608,渋谷店
2024-02-23,CUST-015,家電,8198,池袋店
2024-02-23,CUST-020,家電,47463,新宿店
2024-02-02,CUST-091,衣料品,27729,新宿店
2024-01-31,CUST-032,家電,36627,渋谷店
2024-01-25,CUST-025,雑貨,33808,池袋店
2024-02-26,CUST-018,食料品,18604,新宿店
2024-01-22,CUST-065,衣料品,668,新宿店
2024-02-16,CUST-039,雑貨,38505,池袋店
2024-02-01,CUST-020,家電,35796,新宿店
2024-01-23,CUST-043,雑貨,36114,新宿店
2024-01-30,CUST-042,日用品,46211,渋谷店
2024-02-06,CUST-050,日用品,27420,渋谷店
2024-01-21,CUST-096,家電,46717,新宿店
2024-01-25,CUST-085,日用品,32961,渋谷店
2024-01-09,CUST-065,雑貨,22257,渋谷店
2024-02-25,CUST-057,食料品,34968,新宿店
2024-01-01,CUST-093,日用品,27368,池袋店
2024-01-10,CUST-010,家電,17868,新宿店
2024-02-09,CUST-089,家電,43087,渋谷店
2024-02-24,CUST-043,雑貨,25404,新宿店
2024-02-10,CUST-092,家電,35956,渋谷店
2024-02-09,CUST-009,日用品,41863,池袋店
2024-02-28,CUST-037,日用品,49440,渋谷店
2024-01-28,CUST-013,食料品,29576,渋谷店
2024-02-14,CUST-039,食料品,3514,新宿店
2024-02-20,CUST-008,衣料品,23992,新宿店
2024-01-28,CUST-019,日用品,35310,新宿店
2024-02-06,CUST-088,日用品,11640,渋谷店
