購買日,会員番号,品目区分,売上金額,店名
2024/01/24,CUST-070,衣料品,4468,新宿店
2024/01/18,CUST-025,食料品,30300,渋谷店
2024/02/12,CUST-028,雑貨,1899,渋谷店
2024/02/20,CUST-043,日用品,8752,池袋店
2024/01/14,CUST-009,雑貨,14076,池袋店
2024/01/14,CUST-030,衣料品,10170,池袋店
2024/01/01,CUST-036,日用品,9019,池袋店
2024/01/17,CUST-023,食料品,43823,渋谷店
2024/01/09,CUST-002,衣料品,16093,池袋店
2024/01/21,CUST-003,日用品,17891,渋谷店
2024/01/09,CUST-095,家電,34977,渋谷店
2024/02/17,CUST-009,家電,29878,新宿店
2024/02/02,CUST-076,食料品,30122,池袋店
2024/01/15,CUST-079,食料品,48160,池袋店
2024/02/03,CUST-039,家電,42661,渋谷店
2024/01/04,CUST-062,家電,28436,池袋店
2024/01/07,CUST-063,家電,5316,渋谷店
2024/01/21,CUST-078,日用品,4804,渋谷店
2024/01/18,CUST-080,雑貨,36437,池袋店
2024/01/21,CUST-049,雑貨,35270,新宿店
2024/01/30,CUST-065,雑貨,28693,渋谷店
2024/02/20,CUST-090,食料品,43407,池袋店
2024/02/26,CUST-099,雑貨,47740,渋谷店
2024/01/28,CUST-058,日用品,27619,新宿店
2024/02/22,CUST-059,家電,27762,池袋店
2024/01/07,CUST-041,家電,20981,池袋店
2024/01/17,CUST-048,日用品,45511,新宿店
2024/01/05,CUST-012,食料品,6609,新宿店
2024/01/07,CUST-096,衣料品,9027,池袋店
2024/01/04,CUST-076,雑貨,37310,新宿店
2024/02/12,CUST-016,家電,23673,池袋店
2024/02/18,CUST-055,食料品,19350,池袋店
2024/01/20,CUST-046,食料品,38374,池袋店
2024/01/14,CUST-020,家電,15196,渋谷店
2024/01/23,CUST-072,衣料品,8029,新宿店
2024/02/06,CUST-029,家電,37263,池袋店
2024/02/09,CUST-087,雑貨,2220,池袋店
2024/02/12,CUST-089,衣料品,2397,渋谷店
2024/01/18,CUST-090,衣料品,22770,新宿店
2024/01/01,CUST-024,日用品,37614,池袋店
2024/01/26,CUST-009,日用品,49060,池袋店
2024/01/02,CUST-012,雑貨,14598,新宿店
2024/01/27,CUST-059,衣料品,10815,新宿店
2024/01/20,CUST-093,衣料品,37697,池袋店
2024/01/06,CUST-007,日用品,10816,池袋店
2024/01/04,CUST-087,食料品,18332,新宿店
2024/02/12,CUST-055,家電,40285,新宿店
2024/01/27,CUST-035,日用品,49975,池袋店
2024/01/08,CUST-045,家電,7767,新宿店
2024/02/13,CUST-087,雑貨,32391,池袋店
2024/02/12,CUST-040,食料品,14951,新宿店
2024/02/08,CUST-008,食料品,13897,新宿店
2024/01/14,CUST-099,日用品,17245,新宿店
2024/01/21,CUST-016,食料品,33096,池袋店
2024/01/28,CUST-023,日用品,25417,池袋店
2024/02/15,CUST-030,雑貨,37116,池袋店
2024/02/21,CUST-046,食料品,26522,池袋店
2024/01/03,CUST-056,食料品,30630,渋谷店
2024/02/25,CUST-041,雑貨,28633,池袋店
2024/01/26,CUST-091,家電,19473,渋谷店
2024/01/26,CUST-003,衣料品,11763,池袋店
2024/01/30,CUST-089,衣料品,6275,新宿店
2024/02/24,CUST-014,日用品,29052,池袋店
2024/01/26,CUST-068,食料品,26436,新宿店
2024/02/17,CUST-044,日用品,22327,渋谷店
2024/01/05,CUST-066,食料品,35273,池袋店
2024/01/13,CUST-100,衣料品,23509,池袋店
2024/02/22,CUST-083,日用品,15984,渋谷店
2024/01/10,CUST-033,日用品,11870,池袋店
2024/01/10,CUST-098,食料品,12109,池袋店
2024/02/01,CUST-060,雑貨,38476,新宿店
2024/02/13,CUST-073,雑貨,21681,池袋店
2024/01/21,CUST-020,家電,4975,新宿店
2024/01/29,CUST-081,衣料品,18501,池袋店
2024/01/04,CUST-046,雑貨,5362,新宿店
2024/01/30,CUST-058,食料品,4228,新宿店
2024/02/23,CUST-037,食料品,42748,渋谷店
2024/02/09,CUST-077,雑貨,25697,新宿店
2024/02/07,CUST-071,食料品,29973,池袋店
2024/02/11,CUST-025,衣料品,40149,新宿店
2024/02/02,CUST-020,食料品,30025,渋谷店
2024/02/21,CUST-044,食料品,33566,池袋店
2024/01/12,CUST-006,日用品,46874,新宿店
2024/01/29,CUST-068,雑貨,40464,渋谷店
2024/01/24,CUST-048,衣料品,25889,新宿店
2024/02/19,CUST-044,雑貨,3931,池袋店
2024/02/11,CUST-043,食料品,22106,渋谷店
2024/02/05,CUST-087,家電,19121,新宿店
2024/02/16,CUST-085,雑貨,10354,新宿店
2024/01/06,CUST-075,日用品,23425,新宿店
2024/02/11,CUST-090,家電,8950,池袋店
2024/02/15,CUST-011,衣料品,37129,新宿店
2024/02/11,CUST-043,日用品,44416,池袋店
2024/02/23,CUST-095,雑貨,6624,池袋店
2024/02/12,CUST-055,雑貨,24212,渋谷店
2024/01/24,CUST-040,日用品,14537,新宿店
2024/02/19,CUST-063,日用品,15346,渋谷店
2024/01/10,CUST-010,衣料品,7128,池袋店
2024/02/19,CUST-070,雑貨,2973,池袋店
2024/01/22,CUST-099,雑貨,9088,池袋店
2024/01/25,CUST-020,日用品,12351,池袋店
2024/02/19,CUST-080,日用品,47763,新宿店
2024/01/03,CUST-053,衣料品,44826,池袋店
2024/01/16,CUST-057,雑貨,19173,池袋店
2024/02/20,CUST-058,日用品,35496,渋谷店
2024/01/20,CUST-061,日用品,24606,池袋店
2024/02/06,CUST-057,家電,18966,新宿店
