customer_code,last_order_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_total,segment
CUST-002,2024-02-12,6,157207,-11,2,4,4,10,成長顧客
CUST-003,2024-02-07,6,139942,-6,1,4,4,9,成長顧客
CUST-004,2024-02-18,1,13565,-17,3,1,1,5,休眠顧客
CUST-005,2024-01-28,2,25890,4,1,1,1,3,休眠顧客
CUST-006,2024-02-27,6,154907,-26,5,4,4,13,優良顧客
CUST-007,2024-02-27,3,78228,-26,5,1,2,8,離反リスク
CUST-008,2024-02-20,4,81590,-19,3,2,2,7,離反リスク
CUST-009,2024-02-25,7,213575,-24,5,5,5,15,優良顧客
CUST-010,2024-02-18,6,175649,-17,3,4,5,12,優良顧客
CUST-011,2024-02-15,7,180683,-14,2,5,5,12,優良顧客
CUST-012,2024-01-30,4,82938,2,1,2,2,5,休眠顧客
CUST-013,2024-02-11,4,115237,-10,2,2,3,7,離反リスク
CUST-014,2024-02-24,5,144859,-23,4,3,4,11,成長顧客
CUST-015,2024-02-23,5,92747,-22,4,3,3,10,成長顧客
CUST-016,2024-02-28,8,202017,-27,5,5,5,15,優良顧客
CUST-017,2024-02-19,3,61003,-18,3,1,1,5,休眠顧客
CUST-018,2024-02-26,2,26668,-25,5,1,1,7,離反リスク
CUST-019,2024-01-28,1,35310,4,1,1,1,3,休眠顧客
CUST-020,2024-02-23,10,260069,-22,4,5,5,14,優良顧客
CUST-021,2024-02-18,6,154690,-17,3,4,4,11,成長顧客
CUST-023,2024-01-28,3,112368,4,1,1,3,5,休眠顧客
CUST-024,2024-02-08,3,96862,-7,1,1,3,5,休眠顧客
CUST-025,2024-02-23,6,150012,-22,4,4,4,12,優良顧客
CUST-026,2024-02-08,3,62954,-7,1,1,1,3,休眠顧客
CUST-027,2024-02-08,3,98845,-7,1,1,3,5,休眠顧客
CUST-028,2024-02-13,2,33409,-12,2,1,1,4,休眠顧客
CUST-029,2024-02-18,5,162096,-17,3,3,4,10,成長顧客
CUST-030,2024-02-24,4,119528,-23,4,2,3,9,成長顧客
CUST-031,2024-02-21,7,157778,-20,3,5,4,12,優良顧客
CUST-032,2024-02-26,5,147477,-25,5,3,4,12,優良顧客
CUST-033,2024-02-14,2,23366,-13,2,1,1,4,休眠顧客
CUST-034,2024-02-13,7,193917,-12,2,5,5,12,優良顧客
CUST-035,2024-01-27,3,70046,5,1,1,2,4,休眠顧客
CUST-036,2024-02-23,5,52577,-22,4,3,1,8,離反リスク
CUST-037,2024-02-28,7,242096,-27,5,5,5,15,優良顧客
CUST-038,2024-02-06,4,79027,-5,1,2,2,5,休眠顧客
CUST-039,2024-02-19,9,237915,-18,3,5,5,13,優良顧客
CUST-040,2024-02-26,8,179967,-25,5,5,5,15,優良顧客
CUST-041,2024-02-25,4,107888,-24,5,2,3,10,成長顧客
CUST-042,2024-02-24,3,108115,-23,4,2,3,9,成長顧客
CUST-043,2024-02-25,8,220954,-24,5,5,5,15,優良顧客
CUST-044,2024-02-21,4,105195,-20,3,2,3,8,離反リスク
CUST-045,2024-02-26,2,35457,-25,5,1,1,7,離反リスク
CUST-046,2024-02-21,5,143233,-20,3,3,4,10,成長顧客
CUST-047,2024-02-09,2,59955,-8,1,1,1,3,休眠顧客
CUST-048,2024-02-23,5,144115,-22,4,3,4,11,成長顧客
CUST-049,2024-02-13,5,157021,-12,2,4,4,10,成長顧客
CUST-050,2024-02-14,6,161305,-13,2,4,4,10,成長顧客
CUST-051,2024-02-01,3,65181,0,1,2,2,5,休眠顧客
CUST-052,2024-02-25,3,34017,-24,5,2,1,8,離反リスク
CUST-053,2024-02-26,6,184560,-25,5,4,5,14,優良顧客
CUST-054,2024-02-24,4,123270,-23,4,2,3,9,成長顧客
CUST-055,2024-02-19,6,133964,-18,3,4,4,11,成長顧客
CUST-056,2024-01-18,4,88147,14,1,2,2,5,休眠顧客
CUST-057,2024-02-25,8,182280,-24,5,5,5,15,優良顧客
CUST-058,2024-02-20,7,194306,-19,3,5,5,13,優良顧客
CUST-059,2024-02-22,5,151337,-21,4,4,4,12,優良顧客
CUST-060,2024-02-23,5,166855,-22,4,4,4,12,優良顧客
CUST-061,2024-02-25,6,85242,-24,5,4,2,11,成長顧客
CUST-062,2024-02-28,6,176809,-27,5,4,5,14,優良顧客
CUST-063,2024-02-19,4,55739,-18,3,3,1,7,離反リスク
CUST-064,2024-02-23,3,51280,-22,4,2,1,7,離反リスク
CUST-065,2024-02-03,6,81091,-2,1,4,2,7,離反リスク
CUST-066,2024-02-10,3,87716,-9,2,2,2,6,離反リスク
CUST-067,2024-02-15,2,60485,-14,2,1,1,4,休眠顧客
CUST-068,2024-02-18,8,202949,-17,3,5,5,13,優良顧客
CUST-069,2024-02-21,3,81304,-20,3,2,2,7,離反リスク
CUST-070,2024-02-19,5,85177,-18,3,4,2,9,成長顧客
CUST-071,2024-02-21,9,175846,-20,3,5,5,13,優良顧客
CUST-072,2024-02-09,3,94270,-8,1,2,3,6,離反リスク
CUST-073,2024-02-26,3,42228,-25,5,2,1,8,離反リスク
CUST-075,2024-02-17,6,139204,-16,2,4,4,10,成長顧客
CUST-076,2024-02-02,4,75535,-1,1,3,2,6,離反リスク
CUST-077,2024-02-09,2,40987,-8,1,1,1,3,休眠顧客
CUST-078,2024-02-21,4,68564,-20,3,3,2,8,離反リスク
CUST-079,2024-01-15,2,89273,17,1,1,2,4,休眠顧客
CUST-080,2024-02-19,3,88816,-18,3,2,2,7,離反リスク
CUST-081,2024-02-27,4,96320,-26,5,3,3,11,成長顧客
CUST-082,2024-02-23,6,146575,-22,4,4,4,12,優良顧客
CUST-083,2024-02-22,3,54258,-21,4,2,1,7,離反リスク
CUST-084,2024-01-15,2,92928,17,1,1,3,5,休眠顧客
CUST-085,2024-02-16,5,124767,-15,2,4,3,9,成長顧客
CUST-086,2024-02-12,7,219501,-11,2,5,5,12,優良顧客
CUST-087,2024-02-13,4,72064,-12,2,3,2,7,離反リスク
CUST-088,2024-02-06,2,61349,-5,1,1,1,3,休眠顧客
CUST-089,2024-02-12,6,114609,-11,2,5,3,10,成長顧客
CUST-090,2024-02-20,6,186876,-19,3,5,5,13,優良顧客
CUST-091,2024-02-18,4,77711,-17,3,3,2,8,離反リスク
CUST-092,2024-02-11,4,103891,-10,2,3,3,8,離反リスク
