ReceiptDate,CaseNo,StoreName,Category,ClaimType,ReturnAmount,ResponseDays,ResolvedFlag
2024-01-08,B-0001,銀座店,雑貨,サイズ不一致,19364,16,1
2024-01-24,B-0002,新宿店,食料品,破損,38702,47,0
2024-01-30,B-0003,上野店,衣料品,品質不良,14357,36,0
2024-01-19,B-0004,銀座店,日用品,その他,27067,19,1
2024-01-25,B-0005,上野店,家電,その他,46663,18,1
2024-01-08,B-0006,上野店,家電,サイズ不一致,42844,59,0
2024-01-24,B-0007,銀座店,家電,その他,49424,11,1
2024-01-05,B-0008,銀座店,食料品,サイズ不一致,25264,21,1
2024-01-04,B-0009,銀座店,食料品,その他,1063,28,1
2024-01-21,B-0010,新宿店,食料品,その他,39142,28,1
2024-01-23,B-0011,銀座店,食料品,破損,42661,20,1
2024-01-31,B-0012,池袋店,家電,品質不良,30988,39,0
2024-01-30,B-0013,池袋店,日用品,品質不良,21868,22,1
2024-01-23,B-0014,渋谷店,家電,サイズ不一致,34792,21,1
2024-01-11,B-0015,渋谷店,衣料品,破損,18930,17,0
2024-01-14,B-0016,上野店,日用品,サイズ不一致,9001,17,1
2024-01-20,B-0017,新宿店,家電,サイズ不一致,11840,13,1
2024-01-09,B-0018,渋谷店,家電,破損,33977,15,1
2024-01-31,B-0019,池袋店,雑貨,破損,32055,15,1
2024-01-15,B-0020,池袋店,日用品,その他,42711,9,1
2024-01-19,B-0021,池袋店,雑貨,破損,49637,13,1
2024-01-22,B-0022,銀座店,衣料品,品質不良,28427,27,1
2024-01-02,B-0023,上野店,家電,破損,38854,24,1
2024-01-12,B-0024,新宿店,日用品,破損,33985,26,1
2024-01-22,B-0025,新宿店,食料品,品質不良,15654,22,1
2024-01-12,B-0026,新宿店,食料品,破損,16538,19,1
2024-01-05,B-0027,上野店,衣料品,破損,41574,7,1
2024-01-31,B-0028,銀座店,衣料品,破損,40270,27,1
2024-01-05,B-0029,新宿店,家電,破損,4788,3,1
2024-01-18,B-0030,渋谷店,家電,破損,33740,9,1
2024-01-13,B-0031,池袋店,食料品,サイズ不一致,23732,19,1
2024-01-11,B-0032,上野店,日用品,品質不良,31880,18,1
2024-01-10,B-0033,銀座店,食料品,サイズ不一致,2554,23,1
2024-01-04,B-0034,渋谷店,日用品,サイズ不一致,19616,16,1
2024-01-23,B-0035,上野店,家電,サイズ不一致,44305,24,1
2024-01-16,B-0036,上野店,家電,破損,1926,27,1
2024-01-15,B-0037,新宿店,衣料品,品質不良,49052,15,1
2024-01-21,B-0038,池袋店,食料品,その他,14011,29,1
2024-01-03,B-0039,新宿店,雑貨,品質不良,2814,44,0
2024-01-26,B-0040,上野店,日用品,品質不良,41542,5,1
2024-01-07,B-0041,新宿店,衣料品,サイズ不一致,39496,19,1
2024-01-28,B-0042,新宿店,日用品,破損,39986,9,1
2024-01-01,B-0043,新宿店,食料品,破損,39562,28,1
2024-01-01,B-0044,新宿店,衣料品,品質不良,6600,11,1
2024-01-24,B-0045,渋谷店,家電,その他,38967,4,1
2024-01-15,B-0046,上野店,日用品,品質不良,36444,4,1
2024-01-17,B-0047,池袋店,家電,品質不良,3323,57,0
2024-01-14,B-0048,渋谷店,家電,その他,3952,13,1
2024-01-05,B-0049,渋谷店,日用品,破損,31329,20,1
2024-01-11,B-0050,銀座店,雑貨,破損,22850,23,1
2024-01-26,B-0051,渋谷店,雑貨,サイズ不一致,21674,4,1
2024-01-11,B-0052,銀座店,家電,その他,36562,41,0
2024-01-22,B-0053,池袋店,衣料品,サイズ不一致,34435,11,1
2024-01-27,B-0054,渋谷店,食料品,その他,5099,3,1
2024-01-05,B-0055,上野店,食料品,破損,33600,26,1
2024-01-22,B-0056,銀座店,食料品,破損,30140,28,1
2024-01-17,B-0057,新宿店,日用品,その他,11445,19,1
2024-01-18,B-0058,池袋店,食料品,破損,28833,28,1
2024-01-18,B-0059,上野店,雑貨,品質不良,30567,28,1
2024-01-09,B-0060,渋谷店,日用品,破損,35224,23,1
2024-01-12,B-0061,渋谷店,日用品,サイズ不一致,28446,11,1
2024-01-24,B-0062,渋谷店,食料品,サイズ不一致,18997,5,1
2024-01-12,B-0063,池袋店,衣料品,品質不良,44202,6,1
2024-01-20,B-0064,渋谷店,食料品,破損,22323,25,1
2024-01-15,B-0065,銀座店,衣料品,サイズ不一致,37821,20,1
2024-01-04,B-0066,池袋店,雑貨,その他,26489,14,1
2024-01-13,B-0067,上野店,食料品,品質不良,10460,8,1
2024-01-25,B-0068,池袋店,衣料品,破損,6263,23,0
2024-01-06,B-0069,新宿店,家電,サイズ不一致,25163,14,1
2024-01-12,B-0070,渋谷店,家電,品質不良,21980,26,1
2024-01-28,B-0071,池袋店,雑貨,その他,28798,3,1
2024-01-10,B-0072,渋谷店,家電,品質不良,48320,14,1
2024-01-15,B-0073,池袋店,食料品,その他,42271,20,1
2024-01-13,B-0074,上野店,食料品,その他,43565,19,1
2024-01-11,B-0075,新宿店,食料品,品質不良,26671,8,1
2024-01-12,B-0076,池袋店,日用品,サイズ不一致,5409,25,1
2024-01-20,B-0077,新宿店,食料品,サイズ不一致,47579,6,1
2024-01-25,B-0078,上野店,雑貨,その他,34152,15,1
2024-01-21,B-0079,上野店,衣料品,破損,7803,56,0
2024-01-21,B-0080,池袋店,衣料品,品質不良,17792,15,1
2024-01-15,B-0081,渋谷店,食料品,破損,41635,15,1
2024-01-28,B-0082,渋谷店,雑貨,その他,23297,28,1
2024-01-24,B-0083,渋谷店,家電,サイズ不一致,16280,26,1
2024-01-31,B-0084,渋谷店,家電,品質不良,40605,5,1
2024-01-03,B-0085,上野店,日用品,品質不良,12613,23,1
2024-01-17,B-0086,上野店,雑貨,サイズ不一致,18386,15,1
2024-01-14,B-0087,池袋店,雑貨,品質不良,39525,39,0
2024-01-11,B-0088,渋谷店,雑貨,その他,14422,3,1
2024-01-31,B-0089,上野店,日用品,破損,4351,22,1
2024-01-12,B-0090,池袋店,家電,サイズ不一致,29874,30,1
2024-01-18,B-0091,銀座店,衣料品,サイズ不一致,33605,34,0
2024-01-22,B-0092,上野店,食料品,その他,25572,24,1
2024-01-06,B-0093,新宿店,衣料品,その他,9843,10,1
2024-01-03,B-0094,池袋店,食料品,品質不良,33198,24,0
2024-01-05,B-0095,上野店,家電,サイズ不一致,8364,54,0
2024-01-20,B-0096,新宿店,家電,品質不良,20720,25,1
2024-01-15,B-0097,上野店,衣料品,その他,11930,8,1
2024-01-26,B-0098,銀座店,日用品,破損,34012,26,1
2024-01-15,B-0099,池袋店,家電,その他,48324,15,1
2024-01-20,B-0100,新宿店,衣料品,品質不良,32167,26,1
2024-01-30,B-0101,渋谷店,雑貨,品質不良,14468,50,0
2024-01-15,B-0102,上野店,日用品,その他,4858,9,1
2024-01-29,B-0103,池袋店,食料品,その他,2947,43,0
2024-01-13,B-0104,渋谷店,衣料品,サイズ不一致,1701,8,1
2024-01-21,B-0105,池袋店,日用品,サイズ不一致,2204,60,0
2024-01-23,B-0106,新宿店,家電,その他,30883,45,0
2024-01-09,B-0107,新宿店,日用品,その他,5826,16,0
2024-01-04,B-0108,渋谷店,日用品,その他,32056,10,1
2024-01-04,B-0109,銀座店,雑貨,品質不良,31708,3,1
2024-01-05,B-0110,池袋店,家電,品質不良,30856,23,1
2024-01-06,B-0111,渋谷店,雑貨,破損,3664,14,1
2024-01-26,B-0112,上野店,雑貨,品質不良,19706,17,1
2024-01-13,B-0113,池袋店,衣料品,品質不良,18048,21,1
2024-01-24,B-0114,渋谷店,雑貨,破損,6930,8,1
2024-01-27,B-0115,新宿店,家電,その他,31697,11,1
2024-01-23,B-0116,銀座店,食料品,破損,10319,3,1
2024-01-02,B-0117,池袋店,衣料品,その他,49459,29,1
2024-01-02,B-0118,新宿店,衣料品,破損,43148,9,1
2024-01-11,B-0119,池袋店,食料品,破損,22016,21,1
2024-01-29,B-0120,銀座店,衣料品,サイズ不一致,24961,15,1
2024-01-26,B-0121,上野店,衣料品,品質不良,36436,30,1
2024-01-27,B-0122,新宿店,雑貨,破損,16264,20,1
2024-01-10,B-0123,池袋店,家電,その他,8582,22,1
2024-01-02,B-0124,池袋店,雑貨,その他,13945,15,1
2024-01-03,B-0125,銀座店,衣料品,サイズ不一致,47654,18,0
