日付,受付番号,店舗,品目区分,理由区分,返金額,処理日数,完了フラグ
2024/01/23,C-0001,新宿店,衣料品,破損,42343,30,1
2024/01/31,C-0002,上野店,衣料品,サイズ不一致,31364,21,1
2024/01/17,C-0003,新宿店,雑貨,サイズ不一致,8809,3,1
2024/01/20,C-0004,池袋店,雑貨,品質不良,41314,29,1
2024/01/31,C-0005,上野店,衣料品,サイズ不一致,38418,2,1
2024/01/01,C-0006,銀座店,雑貨,破損,32203,21,1
2024/01/26,C-0007,銀座店,衣料品,その他,3927,8,1
2024/01/14,C-0008,銀座店,家電,サイズ不一致,17208,15,1
2024/01/23,C-0009,池袋店,衣料品,その他,6799,28,1
2024/01/04,C-0010,池袋店,日用品,その他,6389,18,1
2024/01/04,C-0011,渋谷店,衣料品,その他,43249,5,1
2024/01/29,C-0012,新宿店,衣料品,破損,9735,28,1
2024/01/15,C-0013,銀座店,衣料品,その他,1452,17,1
2024/01/15,C-0014,新宿店,日用品,破損,2718,47,0
2024/01/29,C-0015,銀座店,衣料品,品質不良,42404,20,1
2024/01/09,C-0016,池袋店,家電,破損,2549,29,1
2024/01/07,C-0017,池袋店,雑貨,破損,3955,18,1
2024/01/18,C-0018,池袋店,雑貨,品質不良,6695,25,1
2024/01/26,C-0019,池袋店,雑貨,破損,37822,12,1
2024/01/13,C-0020,上野店,食料品,品質不良,2234,17,1
2024/01/16,C-0021,上野店,家電,サイズ不一致,30431,26,1
2024/01/30,C-0022,上野店,衣料品,サイズ不一致,19830,11,1
2024/01/10,C-0023,上野店,衣料品,その他,35524,27,1
2024/01/01,C-0024,池袋店,衣料品,品質不良,49001,27,1
2024/01/29,C-0025,渋谷店,雑貨,その他,13497,26,1
2024/01/19,C-0026,上野店,日用品,品質不良,29301,25,1
2024/01/24,C-0027,上野店,家電,サイズ不一致,41137,21,1
2024/01/31,C-0028,渋谷店,日用品,品質不良,22220,19,1
2024/01/23,C-0029,新宿店,家電,その他,43679,14,1
2024/01/23,C-0030,新宿店,雑貨,サイズ不一致,28176,2,1
2024/01/17,C-0031,銀座店,衣料品,サイズ不一致,23145,45,0
2024/01/12,C-0032,池袋店,雑貨,その他,9856,18,1
2024/01/10,C-0033,新宿店,衣料品,破損,35334,18,1
2024/01/11,C-0034,銀座店,衣料品,破損,14603,16,1
2024/01/13,C-0035,銀座店,衣料品,サイズ不一致,14735,18,1
2024/01/03,C-0036,池袋店,家電,破損,37443,23,1
2024/01/18,C-0037,池袋店,雑貨,破損,7122,27,1
2024/01/08,C-0038,新宿店,食料品,サイズ不一致,32006,19,1
2024/01/11,C-0039,銀座店,食料品,サイズ不一致,558,14,1
2024/01/06,C-0040,銀座店,家電,その他,32632,30,1
