receipt_date,case_no,store_name,category,claim_type,return_amount,response_days,resolved_flag,source_file,is_resolved,response_level
2024-01-24,A-0001,池袋店,日用品,サイズ不一致,7235,1,1,claims_styleA_202401.csv,1,迅速
2024-01-29,A-0002,上野店,食料品,その他,1880,24,1,claims_styleA_202401.csv,1,遅延
2024-01-17,A-0003,上野店,食料品,サイズ不一致,35886,8,1,claims_styleA_202401.csv,1,標準
2024-01-08,A-0004,銀座店,雑貨,破損,40529,14,1,claims_styleA_202401.csv,1,遅延
2024-01-06,A-0005,銀座店,衣料品,破損,8027,26,1,claims_styleA_202401.csv,1,遅延
2024-01-04,A-0006,渋谷店,家電,品質不良,18141,36,0,claims_styleA_202401.csv,0,遅延
2024-01-26,A-0007,渋谷店,家電,品質不良,48664,9,1,claims_styleA_202401.csv,1,標準
2024-01-10,A-0008,上野店,衣料品,サイズ不一致,35317,18,1,claims_styleA_202401.csv,1,遅延
2024-01-25,A-0009,池袋店,食料品,サイズ不一致,43364,8,1,claims_styleA_202401.csv,1,標準
2024-01-21,A-0010,池袋店,日用品,破損,17957,15,1,claims_styleA_202401.csv,1,遅延
2024-01-30,A-0011,渋谷店,雑貨,サイズ不一致,26847,23,1,claims_styleA_202401.csv,1,遅延
2024-01-13,A-0012,池袋店,雑貨,サイズ不一致,34325,15,1,claims_styleA_202401.csv,1,遅延
2024-01-02,A-0013,新宿店,食料品,破損,20238,25,1,claims_styleA_202401.csv,1,遅延
2024-01-31,A-0014,上野店,衣料品,サイズ不一致,32875,30,1,claims_styleA_202401.csv,1,遅延
2024-01-21,A-0015,銀座店,日用品,破損,7240,30,1,claims_styleA_202401.csv,1,遅延
2024-01-09,A-0016,上野店,家電,その他,18291,18,1,claims_styleA_202401.csv,1,遅延
2024-01-17,A-0017,銀座店,食料品,品質不良,43097,23,0,claims_styleA_202401.csv,0,遅延
2024-01-26,A-0018,銀座店,雑貨,品質不良,19423,6,1,claims_styleA_202401.csv,1,標準
2024-01-17,A-0019,池袋店,雑貨,品質不良,34110,15,1,claims_styleA_202401.csv,1,遅延
2024-01-18,A-0020,池袋店,衣料品,品質不良,14887,29,1,claims_styleA_202401.csv,1,遅延
2024-01-31,A-0021,池袋店,雑貨,サイズ不一致,25532,1,1,claims_styleA_202401.csv,1,迅速
2024-01-10,A-0022,上野店,雑貨,サイズ不一致,7896,21,1,claims_styleA_202401.csv,1,遅延
2024-01-31,A-0023,上野店,食料品,破損,24584,18,1,claims_styleA_202401.csv,1,遅延
2024-01-29,A-0024,池袋店,日用品,品質不良,12271,12,1,claims_styleA_202401.csv,1,遅延
2024-01-03,A-0025,銀座店,食料品,サイズ不一致,6681,3,1,claims_styleA_202401.csv,1,迅速
2024-01-06,A-0026,池袋店,雑貨,その他,48229,18,1,claims_styleA_202401.csv,1,遅延
2024-01-07,A-0027,池袋店,家電,破損,22074,59,0,claims_styleA_202401.csv,0,遅延
2024-01-08,A-0028,新宿店,食料品,破損,1345,4,1,claims_styleA_202401.csv,1,標準
2024-01-08,A-0029,渋谷店,食料品,品質不良,11678,19,1,claims_styleA_202401.csv,1,遅延
2024-01-03,A-0030,上野店,日用品,破損,33548,36,0,claims_styleA_202401.csv,0,遅延
2024-01-24,A-0031,上野店,雑貨,その他,12377,5,1,claims_styleA_202401.csv,1,標準
2024-01-07,A-0032,渋谷店,食料品,その他,17909,14,1,claims_styleA_202401.csv,1,遅延
2024-01-24,A-0033,渋谷店,食料品,品質不良,20310,28,1,claims_styleA_202401.csv,1,遅延
2024-01-04,A-0034,新宿店,日用品,サイズ不一致,26953,28,1,claims_styleA_202401.csv,1,遅延
2024-01-09,A-0035,銀座店,日用品,品質不良,22324,6,1,claims_styleA_202401.csv,1,標準
2024-01-04,A-0036,渋谷店,雑貨,品質不良,48459,50,0,claims_styleA_202401.csv,0,遅延
2024-01-06,A-0037,銀座店,家電,その他,10923,30,0,claims_styleA_202401.csv,0,遅延
2024-01-06,A-0038,銀座店,食料品,その他,13481,2,1,claims_styleA_202401.csv,1,迅速
2024-01-10,A-0039,銀座店,雑貨,その他,7993,15,1,claims_styleA_202401.csv,1,遅延
2024-01-19,A-0040,上野店,食料品,破損,3141,2,1,claims_styleA_202401.csv,1,迅速
2024-01-30,A-0041,上野店,日用品,品質不良,48051,17,1,claims_styleA_202401.csv,1,遅延
2024-01-03,A-0042,上野店,食料品,サイズ不一致,20368,6,1,claims_styleA_202401.csv,1,標準
2024-01-08,A-0043,上野店,雑貨,品質不良,31083,51,0,claims_styleA_202401.csv,0,遅延
2024-01-19,A-0044,上野店,衣料品,破損,10452,19,1,claims_styleA_202401.csv,1,遅延
2024-01-09,A-0045,銀座店,日用品,破損,23024,8,1,claims_styleA_202401.csv,1,標準
2024-01-01,A-0046,銀座店,雑貨,品質不良,3941,19,0,claims_styleA_202401.csv,0,遅延
2024-01-05,A-0047,池袋店,食料品,サイズ不一致,18665,9,1,claims_styleA_202401.csv,1,標準
