勤務日,店舗ID,店舗,ポジション,必要スタッフ数,出勤スタッフ数,作業時間,賃金
2024/01/01,S001,新宿店,レジ,1,0,8,1125
2024/01/01,S001,新宿店,品出し,2,1,6,1279
2024/01/01,S001,新宿店,フロア,1,4,9,1016
2024/01/01,S002,渋谷店,レジ,1,0,7,1119
2024/01/01,S002,渋谷店,品出し,5,4,6,1287
2024/01/01,S002,渋谷店,フロア,2,5,10,1214
2024/01/01,S003,池袋店,レジ,2,3,10,1142
2024/01/01,S003,池袋店,品出し,1,6,7,1216
2024/01/01,S003,池袋店,フロア,3,2,7,1110
2024/01/01,S004,銀座店,レジ,3,0,6,1194
2024/01/01,S004,銀座店,品出し,1,2,8,1135
2024/01/01,S004,銀座店,フロア,1,5,9,1274
2024/01/01,S005,品川店,レジ,1,3,6,1282
2024/01/01,S005,品川店,品出し,3,6,10,1185
2024/01/01,S005,品川店,フロア,5,1,6,1023
2024/01/02,S001,新宿店,レジ,2,6,8,1040
2024/01/02,S001,新宿店,品出し,2,6,6,1194
2024/01/02,S001,新宿店,フロア,3,3,8,1083
2024/01/02,S002,渋谷店,レジ,3,2,7,1136
2024/01/02,S002,渋谷店,品出し,1,4,7,1273
2024/01/02,S002,渋谷店,フロア,2,1,9,1194
2024/01/02,S003,池袋店,レジ,3,5,10,1112
2024/01/02,S003,池袋店,品出し,3,6,6,1117
2024/01/02,S003,池袋店,フロア,1,6,8,1205
2024/01/02,S004,銀座店,レジ,3,0,7,1290
2024/01/02,S004,銀座店,品出し,3,1,9,1202
2024/01/02,S004,銀座店,フロア,4,1,8,1071
2024/01/02,S005,品川店,レジ,2,5,10,1275
2024/01/02,S005,品川店,品出し,3,5,10,1219
2024/01/02,S005,品川店,フロア,5,3,8,1112
2024/01/03,S001,新宿店,レジ,2,4,9,1046
2024/01/03,S001,新宿店,品出し,1,6,6,1078
2024/01/03,S001,新宿店,フロア,2,6,9,1032
2024/01/03,S002,渋谷店,レジ,4,3,10,1239
2024/01/03,S002,渋谷店,品出し,5,2,10,1005
2024/01/03,S002,渋谷店,フロア,1,5,10,1136
2024/01/03,S003,池袋店,レジ,3,0,8,1222
2024/01/03,S003,池袋店,品出し,2,3,6,1134
