shift_date,store_id,store_name,role,required_staff,actual_staff,work_hours,hourly_rate,daily_wage,staffing_gap,is_understaffed,labor_cost_flag,source_file
2024-01-01,S001,新宿店,レジ,1,0,8,1125,0,-1,1,通常,shift_styleA.csv
2024-01-01,S001,新宿店,品出し,2,1,6,1279,7674,-1,1,通常,shift_styleA.csv
2024-01-01,S001,新宿店,フロア,1,4,9,1016,36576,3,0,通常,shift_styleA.csv
2024-01-01,S002,渋谷店,レジ,1,0,7,1119,0,-1,1,通常,shift_styleA.csv
2024-01-01,S002,渋谷店,品出し,5,4,6,1287,30888,-1,1,通常,shift_styleA.csv
2024-01-01,S002,渋谷店,フロア,2,5,10,1214,60700,3,0,高コスト,shift_styleA.csv
2024-01-01,S003,池袋店,レジ,2,3,10,1142,34260,1,0,通常,shift_styleA.csv
2024-01-01,S003,池袋店,品出し,1,6,7,1216,51072,5,0,高コスト,shift_styleA.csv
2024-01-01,S003,池袋店,フロア,3,2,7,1110,15540,-1,1,通常,shift_styleA.csv
2024-01-01,S004,銀座店,レジ,3,0,6,1194,0,-3,1,通常,shift_styleA.csv
2024-01-01,S004,銀座店,品出し,1,2,8,1135,18160,1,0,通常,shift_styleA.csv
2024-01-01,S004,銀座店,フロア,1,5,9,1274,57330,4,0,高コスト,shift_styleA.csv
2024-01-01,S005,品川店,レジ,1,3,6,1282,23076,2,0,通常,shift_styleA.csv
2024-01-01,S005,品川店,品出し,3,6,10,1185,71100,3,0,高コスト,shift_styleA.csv
2024-01-01,S005,品川店,フロア,5,1,6,1023,6138,-4,1,通常,shift_styleA.csv
2024-01-02,S001,新宿店,レジ,2,6,8,1040,49920,4,0,高コスト,shift_styleA.csv
2024-01-02,S001,新宿店,品出し,2,6,6,1194,42984,4,0,通常,shift_styleA.csv
2024-01-02,S001,新宿店,フロア,3,3,8,1083,25992,0,0,通常,shift_styleA.csv
2024-01-02,S002,渋谷店,レジ,3,2,7,1136,15904,-1,1,通常,shift_styleA.csv
2024-01-02,S002,渋谷店,品出し,1,4,7,1273,35644,3,0,通常,shift_styleA.csv
2024-01-02,S002,渋谷店,フロア,2,1,9,1194,10746,-1,1,通常,shift_styleA.csv
2024-01-02,S003,池袋店,レジ,3,5,10,1112,55600,2,0,高コスト,shift_styleA.csv
2024-01-02,S003,池袋店,品出し,3,6,6,1117,40212,3,0,通常,shift_styleA.csv
2024-01-02,S003,池袋店,フロア,1,6,8,1205,57840,5,0,高コスト,shift_styleA.csv
2024-01-02,S004,銀座店,レジ,3,0,7,1290,0,-3,1,通常,shift_styleA.csv
2024-01-02,S004,銀座店,品出し,3,1,9,1202,10818,-2,1,通常,shift_styleA.csv
2024-01-02,S004,銀座店,フロア,4,1,8,1071,8568,-3,1,通常,shift_styleA.csv
2024-01-02,S005,品川店,レジ,2,5,10,1275,63750,3,0,高コスト,shift_styleA.csv
2024-01-02,S005,品川店,品出し,3,5,10,1219,60950,2,0,高コスト,shift_styleA.csv
2024-01-02,S005,品川店,フロア,5,3,8,1112,26688,-2,1,通常,shift_styleA.csv
2024-01-03,S001,新宿店,レジ,2,4,9,1046,37656,2,0,通常,shift_styleA.csv
