日付,製品コード,製品名,工程,ロットNo,検査値,下限値,上限値,単位,検査員,判定
2024/01/01,P-003,ギアC型,切削工程,LOT-20240101-214,49.48,49.0,51.0,mm,田中,OK
2024/01/01,P-003,ギアC型,切削工程,LOT-20240101-381,50.47,49.0,51.0,mm,鈴木,OK
2024/01/01,P-001,シャフトA型,切削工程,LOT-20240101-242,49.349,49.0,51.0,mm,田中,OK
2024/01/01,P-003,ギアC型,切削工程,LOT-20240101-858,49.842,49.0,51.0,mm,中村,OK
2024/01/01,P-001,シャフトA型,切削工程,LOT-20240101-704,49.573,49.0,51.0,mm,山田,OK
2024/01/02,P-001,シャフトA型,切削工程,LOT-20240102-130,50.389,49.0,51.0,mm,田中,OK
2024/01/02,P-001,シャフトA型,切削工程,LOT-20240102-338,50.564,49.0,51.0,mm,中村,OK
2024/01/02,P-003,ギアC型,切削工程,LOT-20240102-127,49.57,49.0,51.0,mm,中村,OK
2024/01/02,P-001,シャフトA型,切削工程,LOT-20240102-833,49.521,49.0,51.0,mm,中村,OK
2024/01/02,P-002,シャフトB型,切削工程,LOT-20240102-325,49.975,49.0,51.0,mm,山田,OK
2024/01/03,P-003,ギアC型,切削工程,LOT-20240103-384,49.66,49.0,51.0,mm,田中,OK
2024/01/03,P-001,シャフトA型,切削工程,LOT-20240103-814,49.923,49.0,51.0,mm,山田,OK
2024/01/03,P-002,シャフトB型,切削工程,LOT-20240103-384,49.824,49.0,51.0,mm,鈴木,OK
2024/01/03,P-001,シャフトA型,切削工程,LOT-20240103-881,50.183,49.0,51.0,mm,佐藤,OK
2024/01/03,P-001,シャフトA型,切削工程,LOT-20240103-194,50.215,49.0,51.0,mm,山田,OK
2024/01/04,P-001,シャフトA型,切削工程,LOT-20240104-467,49.797,49.0,51.0,mm,佐藤,OK
2024/01/04,P-003,ギアC型,切削工程,LOT-20240104-370,49.593,49.0,51.0,mm,田中,OK
2024/01/04,P-003,ギアC型,切削工程,LOT-20240104-570,50.564,49.0,51.0,mm,中村,OK
2024/01/04,P-001,シャフトA型,切削工程,LOT-20240104-487,49.58,49.0,51.0,mm,田中,OK
2024/01/04,P-003,ギアC型,切削工程,LOT-20240104-400,50.325,49.0,51.0,mm,中村,OK
2024/01/05,P-002,シャフトB型,切削工程,LOT-20240105-691,50.272,49.0,51.0,mm,鈴木,OK
2024/01/05,P-003,ギアC型,切削工程,LOT-20240105-171,50.116,49.0,51.0,mm,田中,OK
2024/01/05,P-003,ギアC型,切削工程,LOT-20240105-333,50.109,49.0,51.0,mm,佐藤,OK
2024/01/05,P-001,シャフトA型,切削工程,LOT-20240105-975,50.112,49.0,51.0,mm,鈴木,OK
2024/01/05,P-001,シャフトA型,切削工程,LOT-20240105-489,50.034,49.0,51.0,mm,佐藤,OK
2024/01/08,P-002,シャフトB型,切削工程,LOT-20240108-750,50.316,49.0,51.0,mm,佐藤,OK
2024/01/08,P-001,シャフトA型,切削工程,LOT-20240108-479,49.84,49.0,51.0,mm,佐藤,OK
2024/01/08,P-001,シャフトA型,切削工程,LOT-20240108-786,49.681,49.0,51.0,mm,佐藤,OK
2024/01/08,P-003,ギアC型,切削工程,LOT-20240108-799,50.747,49.0,51.0,mm,田中,OK
