Date,ProductCode,ProductName,Process,LotNo,InspectionValue,LowerLimit,UpperLimit,Unit,Inspector,Result
2024/01/01,P-004,フレームX,溶接工程,LOT-20240101-971,195.61,192.0,208.0,N,鈴木,OK
2024/01/01,P-004,フレームX,溶接工程,LOT-20240101-709,200.947,192.0,208.0,N,田中,OK
2024/01/01,P-006,ブラケット,溶接工程,LOT-20240101-982,197.813,192.0,208.0,N,鈴木,OK
2024/01/01,P-005,フレームY,溶接工程,LOT-20240101-222,193.558,192.0,208.0,N,中村,OK
2024/01/01,P-004,フレームX,溶接工程,LOT-20240101-692,196.813,192.0,208.0,N,中村,OK
2024/01/02,P-004,フレームX,溶接工程,LOT-20240102-734,206.633,192.0,208.0,N,田中,OK
2024/01/02,P-005,フレームY,溶接工程,LOT-20240102-773,197.369,192.0,208.0,N,中村,OK
2024/01/02,P-006,ブラケット,溶接工程,LOT-20240102-635,194.727,192.0,208.0,N,佐藤,OK
2024/01/02,P-005,フレームY,溶接工程,LOT-20240102-309,206.388,192.0,208.0,N,佐藤,OK
2024/01/02,P-004,フレームX,溶接工程,LOT-20240102-371,196.71,192.0,208.0,N,山田,OK
2024/01/03,P-004,フレームX,溶接工程,LOT-20240103-787,208.715,192.0,208.0,N,佐藤,NG
2024/01/03,P-005,フレームY,溶接工程,LOT-20240103-423,198.895,192.0,208.0,N,田中,OK
2024/01/03,P-004,フレームX,溶接工程,LOT-20240103-569,205.186,192.0,208.0,N,中村,OK
2024/01/03,P-006,ブラケット,溶接工程,LOT-20240103-202,199.264,192.0,208.0,N,田中,OK
2024/01/03,P-006,ブラケット,溶接工程,LOT-20240103-318,201.304,192.0,208.0,N,中村,OK
2024/01/04,P-005,フレームY,溶接工程,LOT-20240104-235,199.599,192.0,208.0,N,佐藤,OK
2024/01/04,P-004,フレームX,溶接工程,LOT-20240104-350,199.285,192.0,208.0,N,佐藤,OK
2024/01/04,P-005,フレームY,溶接工程,LOT-20240104-261,200.697,192.0,208.0,N,山田,OK
2024/01/04,P-006,ブラケット,溶接工程,LOT-20240104-820,201.415,192.0,208.0,N,佐藤,OK
2024/01/04,P-006,ブラケット,溶接工程,LOT-20240104-926,200.466,192.0,208.0,N,中村,OK
2024/01/05,P-004,フレームX,溶接工程,LOT-20240105-783,200.159,192.0,208.0,N,中村,OK
2024/01/05,P-005,フレームY,溶接工程,LOT-20240105-779,197.835,192.0,208.0,N,田中,OK
2024/01/05,P-004,フレームX,溶接工程,LOT-20240105-370,210.58,192.0,208.0,N,田中,NG
2024/01/05,P-004,フレームX,溶接工程,LOT-20240105-860,206.28,192.0,208.0,N,中村,OK
2024/01/05,P-004,フレームX,溶接工程,LOT-20240105-378,201.158,192.0,208.0,N,佐藤,OK
2024/01/08,P-006,ブラケット,溶接工程,LOT-20240108-315,187.572,192.0,208.0,N,佐藤,NG
2024/01/08,P-004,フレームX,溶接工程,LOT-20240108-803,203.573,192.0,208.0,N,佐藤,OK
2024/01/08,P-006,ブラケット,溶接工程,LOT-20240108-600,201.44,192.0,208.0,N,佐藤,OK
2024/01/08,P-004,フレームX,溶接工程,LOT-20240108-194,202.782,192.0,208.0,N,山田,OK
2024/01/08,P-005,フレームY,溶接工程,LOT-20240108-145,196.669,192.0,208.0,N,田中,OK
2024/01/09,P-005,フレームY,溶接工程,LOT-20240109-889,200.791,192.0,208.0,N,鈴木,OK
2024/01/09,P-006,ブラケット,溶接工程,LOT-20240109-368,199.123,192.0,208.0,N,鈴木,OK
2024/01/09,P-006,ブラケット,溶接工程,LOT-20240109-552,199.244,192.0,208.0,N,中村,OK
2024/01/09,P-006,ブラケット,溶接工程,LOT-20240109-537,204.414,192.0,208.0,N,中村,OK
