日付,製品コード,製品名,工程,ロットNo,検査値,下限値,上限値,単位,検査員,判定
2024/01/01,P-011,アセンブリB,組立工程,LOT-20240101-603,10.14,9.5,10.5,Nm,田中,OK
2024/01/01,P-012,ユニットC,組立工程,LOT-20240101-744,10.034,9.5,10.5,Nm,田中,OK
2024/01/01,P-010,アセンブリA,組立工程,LOT-20240101-252,9.972,9.5,10.5,Nm,中村,OK
2024/01/01,P-011,アセンブリB,組立工程,LOT-20240101-187,9.654,9.5,10.5,Nm,鈴木,OK
2024/01/01,P-010,アセンブリA,組立工程,LOT-20240101-671,9.922,9.5,10.5,Nm,山田,OK
2024/01/02,P-012,ユニットC,組立工程,LOT-20240102-710,9.965,9.5,10.5,Nm,中村,OK
2024/01/02,P-010,アセンブリA,組立工程,LOT-20240102-894,9.779,9.5,10.5,Nm,中村,OK
2024/01/02,P-011,アセンブリB,組立工程,LOT-20240102-561,10.064,9.5,10.5,Nm,山田,OK
2024/01/02,P-011,アセンブリB,組立工程,LOT-20240102-980,10.035,9.5,10.5,Nm,中村,OK
2024/01/02,P-011,アセンブリB,組立工程,LOT-20240102-412,9.935,9.5,10.5,Nm,中村,OK
2024/01/03,P-012,ユニットC,組立工程,LOT-20240103-161,9.996,9.5,10.5,Nm,中村,OK
2024/01/03,P-012,ユニットC,組立工程,LOT-20240103-201,9.932,9.5,10.5,Nm,鈴木,OK
2024/01/03,P-012,ユニットC,組立工程,LOT-20240103-316,9.659,9.5,10.5,Nm,佐藤,OK
2024/01/03,P-012,ユニットC,組立工程,LOT-20240103-183,10.096,9.5,10.5,Nm,鈴木,OK
2024/01/03,P-010,アセンブリA,組立工程,LOT-20240103-277,9.487,9.5,10.5,Nm,中村,NG
2024/01/04,P-010,アセンブリA,組立工程,LOT-20240104-260,10.054,9.5,10.5,Nm,田中,OK
2024/01/04,P-011,アセンブリB,組立工程,LOT-20240104-561,9.737,9.5,10.5,Nm,中村,OK
2024/01/04,P-011,アセンブリB,組立工程,LOT-20240104-398,10.07,9.5,10.5,Nm,田中,OK
2024/01/04,P-010,アセンブリA,組立工程,LOT-20240104-395,10.077,9.5,10.5,Nm,佐藤,OK
2024/01/04,P-012,ユニットC,組立工程,LOT-20240104-980,10.078,9.5,10.5,Nm,山田,OK
2024/01/05,P-010,アセンブリA,組立工程,LOT-20240105-803,10.163,9.5,10.5,Nm,鈴木,OK
2024/01/05,P-011,アセンブリB,組立工程,LOT-20240105-906,10.25,9.5,10.5,Nm,中村,OK
2024/01/05,P-012,ユニットC,組立工程,LOT-20240105-923,9.913,9.5,10.5,Nm,鈴木,OK
2024/01/05,P-011,アセンブリB,組立工程,LOT-20240105-217,10.158,9.5,10.5,Nm,中村,OK
2024/01/05,P-010,アセンブリA,組立工程,LOT-20240105-763,9.908,9.5,10.5,Nm,鈴木,OK
2024/01/08,P-011,アセンブリB,組立工程,LOT-20240108-946,10.063,9.5,10.5,Nm,鈴木,OK
2024/01/08,P-010,アセンブリA,組立工程,LOT-20240108-161,10.19,9.5,10.5,Nm,鈴木,OK
2024/01/08,P-011,アセンブリB,組立工程,LOT-20240108-709,9.835,9.5,10.5,Nm,中村,OK
2024/01/08,P-011,アセンブリB,組立工程,LOT-20240108-549,9.336,9.5,10.5,Nm,田中,NG
2024/01/08,P-011,アセンブリB,組立工程,LOT-20240108-805,9.96,9.5,10.5,Nm,佐藤,OK
2024/01/09,P-012,ユニットC,組立工程,LOT-20240109-512,9.951,9.5,10.5,Nm,佐藤,OK
2024/01/09,P-012,ユニットC,組立工程,LOT-20240109-652,9.989,9.5,10.5,Nm,山田,OK
2024/01/09,P-011,アセンブリB,組立工程,LOT-20240109-182,9.805,9.5,10.5,Nm,中村,OK
2024/01/09,P-010,アセンブリA,組立工程,LOT-20240109-542,10.112,9.5,10.5,Nm,佐藤,OK
2024/01/09,P-012,ユニットC,組立工程,LOT-20240109-356,10.129,9.5,10.5,Nm,田中,OK
2024/01/10,P-010,アセンブリA,組立工程,LOT-20240110-334,9.32,9.5,10.5,Nm,中村,NG
2024/01/10,P-012,ユニットC,組立工程,LOT-20240110-121,9.998,9.5,10.5,Nm,佐藤,OK
2024/01/10,P-012,ユニットC,組立工程,LOT-20240110-141,9.757,9.5,10.5,Nm,鈴木,OK
2024/01/10,P-011,アセンブリB,組立工程,LOT-20240110-631,10.137,9.5,10.5,Nm,山田,OK
2024/01/10,P-011,アセンブリB,組立工程,LOT-20240110-285,9.796,9.5,10.5,Nm,中村,OK
2024/01/11,P-011,アセンブリB,組立工程,LOT-20240111-750,10.226,9.5,10.5,Nm,山田,OK
2024/01/11,P-010,アセンブリA,組立工程,LOT-20240111-581,9.701,9.5,10.5,Nm,佐藤,OK
2024/01/11,P-011,アセンブリB,組立工程,LOT-20240111-441,10.292,9.5,10.5,Nm,佐藤,OK
2024/01/11,P-012,ユニットC,組立工程,LOT-20240111-207,10.153,9.5,10.5,Nm,鈴木,OK
2024/01/11,P-011,アセンブリB,組立工程,LOT-20240111-521,9.104,9.5,10.5,Nm,山田,NG
2024/01/12,P-011,アセンブリB,組立工程,LOT-20240112-778,10.11,9.5,10.5,Nm,山田,OK
