date,product_code,product_name,process,lot_no,inspection_value,lower_limit,upper_limit,unit,inspector,result,is_defect,value_imputed,source_file
2024-01-01,P-003,ギアC型,切削工程,LOT-20240101-214,49.48,49.0,51.0,mm,田中,OK,False,False,01_切削工程_検査_202401.csv
2024-01-01,P-003,ギアC型,切削工程,LOT-20240101-381,50.47,49.0,51.0,mm,鈴木,OK,False,False,01_切削工程_検査_202401.csv
2024-01-01,P-001,シャフトA型,切削工程,LOT-20240101-242,49.349,49.0,51.0,mm,田中,OK,False,False,01_切削工程_検査_202401.csv
2024-01-01,P-003,ギアC型,切削工程,LOT-20240101-858,49.842,49.0,51.0,mm,中村,OK,False,False,01_切削工程_検査_202401.csv
2024-01-01,P-001,シャフトA型,切削工程,LOT-20240101-704,49.573,49.0,51.0,mm,山田,OK,False,False,01_切削工程_検査_202401.csv
2024-01-02,P-001,シャフトA型,切削工程,LOT-20240102-130,50.389,49.0,51.0,mm,田中,OK,False,False,01_切削工程_検査_202401.csv
2024-01-02,P-001,シャフトA型,切削工程,LOT-20240102-338,50.564,49.0,51.0,mm,中村,OK,False,False,01_切削工程_検査_202401.csv
2024-01-02,P-003,ギアC型,切削工程,LOT-20240102-127,49.57,49.0,51.0,mm,中村,OK,False,False,01_切削工程_検査_202401.csv
2024-01-02,P-001,シャフトA型,切削工程,LOT-20240102-833,49.521,49.0,51.0,mm,中村,OK,False,False,01_切削工程_検査_202401.csv
2024-01-02,P-002,シャフトB型,切削工程,LOT-20240102-325,49.975,49.0,51.0,mm,山田,OK,False,False,01_切削工程_検査_202401.csv
2024-01-03,P-003,ギアC型,切削工程,LOT-20240103-384,49.66,49.0,51.0,mm,田中,OK,False,False,01_切削工程_検査_202401.csv
2024-01-03,P-001,シャフトA型,切削工程,LOT-20240103-814,49.923,49.0,51.0,mm,山田,OK,False,False,01_切削工程_検査_202401.csv
2024-01-03,P-002,シャフトB型,切削工程,LOT-20240103-384,49.824,49.0,51.0,mm,鈴木,OK,False,False,01_切削工程_検査_202401.csv
2024-01-03,P-001,シャフトA型,切削工程,LOT-20240103-881,50.183,49.0,51.0,mm,佐藤,OK,False,False,01_切削工程_検査_202401.csv
