日時,設備ID,設備名,温度(°C),振動(mm/s),圧力(MPa),回転数(rpm),稼働状態
2024/01/01 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/01 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/01 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/01 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/01 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/01 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/01 06:00,E-001,旋盤機A,64.8,1.725,1.194,1441.5,1
2024/01/01 07:00,E-001,旋盤機A,63.49,1.538,1.068,1499.5,1
2024/01/01 08:00,E-001,旋盤機A,65.73,1.764,1.178,1502.0,1
2024/01/01 09:00,E-001,旋盤機A,75.64,1.64,1.014,1511.1,1
2024/01/01 10:00,E-001,旋盤機A,65.21,1.764,1.095,1494.5,1
2024/01/01 11:00,E-001,旋盤機A,66.6,1.867,1.085,1487.2,1
2024/01/01 12:00,E-001,旋盤機A,68.24,1.66,1.137,1512.4,1
2024/01/01 13:00,E-001,旋盤機A,72.15,2.142,1.059,1484.6,1
2024/01/01 14:00,E-001,旋盤機A,65.93,1.685,1.213,1496.6,1
2024/01/01 15:00,E-001,旋盤機A,65.8,1.253,1.165,1522.3,1
2024/01/01 16:00,E-001,旋盤機A,72.72,1.3,1.123,1503.5,1
2024/01/01 17:00,E-001,旋盤機A,71.09,1.761,1.122,1520.4,1
2024/01/01 18:00,E-001,旋盤機A,70.34,1.587,1.163,1456.3,1
2024/01/01 19:00,E-001,旋盤機A,68.4,1.359,1.036,1491.7,1
2024/01/01 20:00,E-001,旋盤機A,77.47,1.24,1.197,1449.5,1
2024/01/01 21:00,E-001,旋盤機A,68.33,1.549,1.159,1521.3,1
2024/01/01 22:00,E-001,旋盤機A,73.97,1.395,1.054,1525.7,1
2024/01/01 23:00,E-001,旋盤機A,69.04,1.117,0.987,1472.4,1
2024/01/02 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/02 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/02 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/02 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/02 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/02 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/02 06:00,E-001,旋盤機A,72.49,1.543,1.169,1487.2,1
2024/01/02 07:00,E-001,旋盤機A,70.79,1.688,1.069,1513.7,1
2024/01/02 08:00,E-001,旋盤機A,66.69,1.391,1.062,1464.1,1
2024/01/02 09:00,E-001,旋盤機A,72.43,1.359,1.101,1514.4,1
2024/01/02 10:00,E-001,旋盤機A,72.23,1.7,1.09,1487.3,1
2024/01/02 11:00,E-001,旋盤機A,69.6,0.994,0.955,1460.3,1
2024/01/02 12:00,E-001,旋盤機A,65.01,1.62,1.009,1488.7,1
2024/01/02 13:00,E-001,旋盤機A,76.5,1.393,1.174,1472.0,1
2024/01/02 14:00,E-001,旋盤機A,68.97,1.215,1.066,1525.2,1
2024/01/02 15:00,E-001,旋盤機A,61.36,1.63,1.124,1482.2,1
2024/01/02 16:00,E-001,旋盤機A,62.77,1.522,1.047,1507.0,1
2024/01/02 17:00,E-001,旋盤機A,70.11,1.981,1.076,1469.3,1
2024/01/02 18:00,E-001,旋盤機A,70.9,1.566,1.236,1525.1,1
2024/01/02 19:00,E-001,旋盤機A,71.78,1.939,0.981,1480.8,1
2024/01/02 20:00,E-001,旋盤機A,65.37,1.383,0.962,1519.1,1
2024/01/02 21:00,E-001,旋盤機A,68.89,1.059,0.998,1509.4,1
2024/01/02 22:00,E-001,旋盤機A,74.19,2.099,1.391,1512.4,1
2024/01/02 23:00,E-001,旋盤機A,65.05,0.86,1.127,1475.6,1
2024/01/03 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/03 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/03 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/03 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/03 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/03 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/03 06:00,E-001,旋盤機A,67.92,1.316,1.086,1532.0,1
2024/01/03 07:00,E-001,旋盤機A,70.79,1.452,0.996,1449.8,1
2024/01/03 08:00,E-001,旋盤機A,67.57,1.484,1.277,1503.9,1
2024/01/03 09:00,E-001,旋盤機A,74.91,1.35,0.982,1471.0,1
2024/01/03 10:00,E-001,旋盤機A,66.37,2.139,1.018,1525.2,1
2024/01/03 11:00,E-001,旋盤機A,65.49,1.779,1.138,1495.3,1
2024/01/03 12:00,E-001,旋盤機A,69.8,1.304,1.145,1486.4,1
2024/01/03 13:00,E-001,旋盤機A,63.87,1.117,1.117,1547.4,1
2024/01/03 14:00,E-001,旋盤機A,70.8,1.464,1.129,1539.2,1
2024/01/03 15:00,E-001,旋盤機A,71.1,1.377,1.211,1512.9,1
2024/01/03 16:00,E-001,旋盤機A,77.68,1.555,0.978,1459.0,1
2024/01/03 17:00,E-001,旋盤機A,78.25,2.017,1.082,1488.5,1
2024/01/03 18:00,E-001,旋盤機A,77.31,1.168,1.011,1519.3,1
2024/01/03 19:00,E-001,旋盤機A,68.03,1.498,1.084,1510.1,1
2024/01/03 20:00,E-001,旋盤機A,77.04,1.527,1.164,1438.5,1
2024/01/03 21:00,E-001,旋盤機A,69.76,1.247,0.978,1473.7,1
2024/01/03 22:00,E-001,旋盤機A,68.33,1.775,0.967,1500.9,1
2024/01/03 23:00,E-001,旋盤機A,67.58,1.402,1.2,1516.1,1
2024/01/04 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/04 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/04 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/04 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/04 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/04 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/04 06:00,E-001,旋盤機A,76.69,1.454,1.03,1493.3,1
2024/01/04 07:00,E-001,旋盤機A,71.21,1.553,0.992,1502.7,1
2024/01/04 08:00,E-001,旋盤機A,71.14,2.255,1.288,1474.4,1
2024/01/04 09:00,E-001,旋盤機A,68.56,1.061,1.041,1509.5,1
2024/01/04 10:00,E-001,旋盤機A,76.03,1.281,1.035,1435.6,1
2024/01/04 11:00,E-001,旋盤機A,69.19,1.181,1.047,1473.7,1
2024/01/04 12:00,E-001,旋盤機A,69.53,0.973,0.953,1563.9,1
2024/01/04 13:00,E-001,旋盤機A,63.56,1.171,1.284,1587.2,1
2024/01/04 14:00,E-001,旋盤機A,64.14,1.39,1.134,1551.9,1
2024/01/04 15:00,E-001,旋盤機A,65.07,1.426,1.178,1513.0,1
2024/01/04 16:00,E-001,旋盤機A,68.12,1.46,0.963,1492.9,1
2024/01/04 17:00,E-001,旋盤機A,68.67,1.57,1.044,1514.1,1
2024/01/04 18:00,E-001,旋盤機A,75.06,1.547,1.135,1501.6,1
2024/01/04 19:00,E-001,旋盤機A,70.0,1.284,1.132,1497.1,1
2024/01/04 20:00,E-001,旋盤機A,80.47,1.972,1.139,1477.1,1
2024/01/04 21:00,E-001,旋盤機A,64.44,1.857,1.126,1514.4,1
2024/01/04 22:00,E-001,旋盤機A,61.28,1.778,1.145,1466.7,1
2024/01/04 23:00,E-001,旋盤機A,67.64,1.579,1.105,1491.2,1
2024/01/05 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/05 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/05 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/05 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/05 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/05 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/05 06:00,E-001,旋盤機A,69.48,1.424,1.115,1544.1,1
2024/01/05 07:00,E-001,旋盤機A,57.17,1.429,1.118,1508.9,1
2024/01/05 08:00,E-001,旋盤機A,68.14,0.973,1.133,1551.8,1
2024/01/05 09:00,E-001,旋盤機A,62.33,1.759,1.067,1498.2,1
2024/01/05 10:00,E-001,旋盤機A,64.74,1.4,1.23,1517.5,1
2024/01/05 11:00,E-001,旋盤機A,78.66,1.853,1.144,1552.3,1
2024/01/05 12:00,E-001,旋盤機A,72.19,1.748,1.07,1502.0,1
2024/01/05 13:00,E-001,旋盤機A,67.83,1.86,0.982,1523.5,1
2024/01/05 14:00,E-001,旋盤機A,71.68,1.978,1.175,1554.6,1
2024/01/05 15:00,E-001,旋盤機A,77.6,1.218,1.093,1464.8,1
2024/01/05 16:00,E-001,旋盤機A,72.67,2.206,1.164,1479.0,1
2024/01/05 17:00,E-001,旋盤機A,71.51,1.826,0.978,1479.9,1
2024/01/05 18:00,E-001,旋盤機A,79.45,2.226,1.161,1431.3,1
2024/01/05 19:00,E-001,旋盤機A,80.73,1.964,1.141,1548.5,1
2024/01/05 20:00,E-001,旋盤機A,70.21,1.828,1.159,1452.6,1
2024/01/05 21:00,E-001,旋盤機A,89.22,2.179,1.185,1482.9,1
2024/01/05 22:00,E-001,旋盤機A,87.23,2.452,1.123,1507.0,1
2024/01/05 23:00,E-001,旋盤機A,85.83,1.936,1.085,1495.4,1
2024/01/06 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/06 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/06 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/06 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/06 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/06 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/06 06:00,E-001,旋盤機A,95.6,2.937,0.994,1496.2,1
2024/01/06 07:00,E-001,旋盤機A,77.41,1.277,1.018,1506.1,1
2024/01/06 08:00,E-001,旋盤機A,74.22,1.503,1.233,1525.7,1
2024/01/06 09:00,E-001,旋盤機A,74.21,1.666,1.333,1493.8,1
2024/01/06 10:00,E-001,旋盤機A,59.98,1.981,1.054,1503.2,1
2024/01/06 11:00,E-001,旋盤機A,76.55,1.019,0.975,1452.0,1
2024/01/06 12:00,E-001,旋盤機A,66.03,1.632,1.152,1508.3,1
2024/01/06 13:00,E-001,旋盤機A,62.94,0.807,1.105,1485.8,1
2024/01/06 14:00,E-001,旋盤機A,72.3,1.711,1.114,1522.8,1
2024/01/06 15:00,E-001,旋盤機A,71.15,1.659,1.03,1494.6,1
2024/01/06 16:00,E-001,旋盤機A,70.98,1.746,1.061,1515.6,1
2024/01/06 17:00,E-001,旋盤機A,68.67,1.465,1.183,1440.2,1
2024/01/06 18:00,E-001,旋盤機A,63.52,1.055,0.867,1479.7,1
2024/01/06 19:00,E-001,旋盤機A,73.75,1.415,1.12,1532.7,1
2024/01/06 20:00,E-001,旋盤機A,76.64,1.479,1.235,1502.8,1
2024/01/06 21:00,E-001,旋盤機A,65.81,1.322,0.952,1473.4,1
2024/01/06 22:00,E-001,旋盤機A,68.21,1.741,1.272,1458.5,1
2024/01/06 23:00,E-001,旋盤機A,71.96,1.188,1.147,1496.1,1
2024/01/07 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 06:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 07:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 08:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 09:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 10:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 11:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 12:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 13:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 14:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 15:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 16:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 17:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 18:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 19:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 20:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 21:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 22:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/07 23:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/08 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/08 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/08 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/08 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/08 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/08 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/08 06:00,E-001,旋盤機A,60.85,1.778,1.039,1484.0,1
2024/01/08 07:00,E-001,旋盤機A,64.65,1.304,1.143,1494.3,1
2024/01/08 08:00,E-001,旋盤機A,71.64,1.609,1.232,1489.7,1
2024/01/08 09:00,E-001,旋盤機A,62.62,1.82,1.067,1533.4,1
2024/01/08 10:00,E-001,旋盤機A,71.92,1.461,1.135,1558.5,1
2024/01/08 11:00,E-001,旋盤機A,80.38,1.521,1.116,1532.3,1
2024/01/08 12:00,E-001,旋盤機A,65.77,1.6,1.097,1509.4,1
2024/01/08 13:00,E-001,旋盤機A,65.83,1.023,0.893,1466.5,1
2024/01/08 14:00,E-001,旋盤機A,67.71,1.412,1.294,1533.2,1
2024/01/08 15:00,E-001,旋盤機A,65.19,1.604,1.059,1491.5,1
2024/01/08 16:00,E-001,旋盤機A,70.93,1.686,1.066,1531.9,1
2024/01/08 17:00,E-001,旋盤機A,64.29,1.502,1.36,1506.7,1
2024/01/08 18:00,E-001,旋盤機A,77.17,1.527,1.158,1498.3,1
2024/01/08 19:00,E-001,旋盤機A,69.15,1.266,1.143,1474.5,1
2024/01/08 20:00,E-001,旋盤機A,73.33,1.826,1.137,1491.4,1
2024/01/08 21:00,E-001,旋盤機A,72.27,1.407,1.194,1445.1,1
2024/01/08 22:00,E-001,旋盤機A,68.32,0.903,0.95,1540.9,1
2024/01/08 23:00,E-001,旋盤機A,74.48,1.284,0.95,1411.1,1
2024/01/09 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/09 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/09 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/09 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/09 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/09 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/09 06:00,E-001,旋盤機A,67.28,2.226,1.143,1483.2,1
2024/01/09 07:00,E-001,旋盤機A,72.33,1.032,1.07,1503.0,1
2024/01/09 08:00,E-001,旋盤機A,69.57,1.737,1.134,1520.0,1
2024/01/09 09:00,E-001,旋盤機A,66.56,1.769,1.263,1470.9,1
2024/01/09 10:00,E-001,旋盤機A,65.56,1.901,1.081,1542.1,1
2024/01/09 11:00,E-001,旋盤機A,67.79,1.937,1.113,1507.7,1
2024/01/09 12:00,E-001,旋盤機A,77.82,1.391,1.006,1486.5,1
2024/01/09 13:00,E-001,旋盤機A,72.26,1.03,1.164,1483.8,1
2024/01/09 14:00,E-001,旋盤機A,75.74,0.782,1.021,1449.4,1
2024/01/09 15:00,E-001,旋盤機A,65.87,1.574,1.082,1492.4,1
2024/01/09 16:00,E-001,旋盤機A,69.2,1.561,0.999,1521.2,1
2024/01/09 17:00,E-001,旋盤機A,73.31,1.616,1.156,1508.9,1
2024/01/09 18:00,E-001,旋盤機A,80.18,1.474,1.069,1477.4,1
2024/01/09 19:00,E-001,旋盤機A,64.84,1.127,1.011,1497.9,1
2024/01/09 20:00,E-001,旋盤機A,71.67,1.515,1.023,1527.0,1
2024/01/09 21:00,E-001,旋盤機A,73.7,1.452,1.035,1516.5,1
2024/01/09 22:00,E-001,旋盤機A,70.94,1.066,1.093,1507.9,1
2024/01/09 23:00,E-001,旋盤機A,65.5,1.557,0.955,1540.1,1
2024/01/10 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/10 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/10 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/10 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/10 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/10 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/10 06:00,E-001,旋盤機A,76.24,1.424,1.136,1427.7,1
2024/01/10 07:00,E-001,旋盤機A,64.22,1.412,0.993,1521.4,1
2024/01/10 08:00,E-001,旋盤機A,79.99,1.147,1.016,1507.1,1
2024/01/10 09:00,E-001,旋盤機A,78.06,1.133,1.125,1554.6,1
2024/01/10 10:00,E-001,旋盤機A,61.74,1.116,1.058,1484.4,1
2024/01/10 11:00,E-001,旋盤機A,74.06,1.572,0.923,1515.5,1
2024/01/10 12:00,E-001,旋盤機A,67.11,1.882,1.037,1480.9,1
2024/01/10 13:00,E-001,旋盤機A,72.71,1.729,1.145,1449.4,1
2024/01/10 14:00,E-001,旋盤機A,72.69,1.19,1.124,1457.3,1
2024/01/10 15:00,E-001,旋盤機A,72.23,1.258,0.972,1521.4,1
2024/01/10 16:00,E-001,旋盤機A,71.21,1.316,1.245,1486.8,1
2024/01/10 17:00,E-001,旋盤機A,70.16,1.581,1.038,1514.1,1
2024/01/10 18:00,E-001,旋盤機A,67.33,1.377,1.236,1468.8,1
2024/01/10 19:00,E-001,旋盤機A,57.94,1.983,1.355,1487.8,1
2024/01/10 20:00,E-001,旋盤機A,60.32,1.407,1.071,1494.3,1
2024/01/10 21:00,E-001,旋盤機A,64.43,1.674,1.152,1455.2,1
2024/01/10 22:00,E-001,旋盤機A,73.5,2.116,1.117,1489.9,1
2024/01/10 23:00,E-001,旋盤機A,69.29,1.685,0.927,1504.9,1
2024/01/11 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/11 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/11 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/11 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/11 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/11 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/11 06:00,E-001,旋盤機A,68.05,2.054,1.083,1550.0,1
2024/01/11 07:00,E-001,旋盤機A,64.48,1.676,1.132,1473.9,1
2024/01/11 08:00,E-001,旋盤機A,70.89,1.864,1.068,1449.2,1
2024/01/11 09:00,E-001,旋盤機A,69.91,1.229,1.066,1497.6,1
2024/01/11 10:00,E-001,旋盤機A,61.47,1.015,1.148,1484.3,1
2024/01/11 11:00,E-001,旋盤機A,57.18,1.735,1.127,1478.6,1
2024/01/11 12:00,E-001,旋盤機A,63.42,1.751,1.135,1571.5,1
2024/01/11 13:00,E-001,旋盤機A,72.1,1.616,1.083,1524.5,1
2024/01/11 14:00,E-001,旋盤機A,73.13,1.876,1.048,1486.9,1
2024/01/11 15:00,E-001,旋盤機A,67.6,1.737,1.25,1486.2,1
2024/01/11 16:00,E-001,旋盤機A,67.88,1.594,1.075,1528.6,1
2024/01/11 17:00,E-001,旋盤機A,58.74,1.252,1.022,1430.4,1
2024/01/11 18:00,E-001,旋盤機A,65.18,1.225,1.08,1533.4,1
2024/01/11 19:00,E-001,旋盤機A,68.77,1.191,1.094,1531.5,1
2024/01/11 20:00,E-001,旋盤機A,65.12,1.227,1.156,1493.4,1
2024/01/11 21:00,E-001,旋盤機A,73.24,1.496,1.17,1468.9,1
2024/01/11 22:00,E-001,旋盤機A,69.94,1.437,0.978,1453.1,1
2024/01/11 23:00,E-001,旋盤機A,73.43,1.395,0.998,1497.1,1
2024/01/12 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/12 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/12 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/12 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/12 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/12 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/12 06:00,E-001,旋盤機A,75.64,0.816,0.95,1472.3,1
2024/01/12 07:00,E-001,旋盤機A,77.31,1.585,1.177,1465.8,1
2024/01/12 08:00,E-001,旋盤機A,64.4,1.634,1.106,1516.5,1
2024/01/12 09:00,E-001,旋盤機A,69.06,1.583,1.116,1523.3,1
2024/01/12 10:00,E-001,旋盤機A,74.04,1.014,0.875,1530.1,1
2024/01/12 11:00,E-001,旋盤機A,75.94,1.194,0.914,1503.0,1
2024/01/12 12:00,E-001,旋盤機A,74.65,2.039,1.152,1488.8,1
2024/01/12 13:00,E-001,旋盤機A,65.53,1.503,1.07,1469.5,1
2024/01/12 14:00,E-001,旋盤機A,80.24,2.036,1.214,1472.4,1
2024/01/12 15:00,E-001,旋盤機A,74.28,1.692,1.144,1537.5,1
2024/01/12 16:00,E-001,旋盤機A,73.18,1.722,1.164,1510.2,1
2024/01/12 17:00,E-001,旋盤機A,61.08,1.525,1.044,1461.6,1
2024/01/12 18:00,E-001,旋盤機A,78.41,2.019,1.236,1507.7,1
2024/01/12 19:00,E-001,旋盤機A,76.75,1.504,1.12,1467.2,1
2024/01/12 20:00,E-001,旋盤機A,71.98,1.518,0.97,1498.5,1
2024/01/12 21:00,E-001,旋盤機A,69.6,2.039,1.189,1500.3,1
2024/01/12 22:00,E-001,旋盤機A,71.24,1.513,1.08,1467.5,1
2024/01/12 23:00,E-001,旋盤機A,69.24,1.276,0.975,1515.3,1
2024/01/13 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/13 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/13 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/13 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/13 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/13 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/13 06:00,E-001,旋盤機A,71.96,0.964,1.088,1529.9,1
2024/01/13 07:00,E-001,旋盤機A,75.3,1.808,1.104,1474.6,1
2024/01/13 08:00,E-001,旋盤機A,64.58,1.603,1.138,1538.6,1
2024/01/13 09:00,E-001,旋盤機A,75.5,1.46,0.976,1490.4,1
2024/01/13 10:00,E-001,旋盤機A,71.09,1.439,1.042,1507.6,1
2024/01/13 11:00,E-001,旋盤機A,67.48,1.312,1.131,1487.9,1
2024/01/13 12:00,E-001,旋盤機A,71.22,1.582,0.986,1485.6,1
2024/01/13 13:00,E-001,旋盤機A,77.19,1.151,0.888,1444.1,1
2024/01/13 14:00,E-001,旋盤機A,70.15,1.509,1.088,1536.4,1
2024/01/13 15:00,E-001,旋盤機A,56.64,1.619,1.256,1466.2,1
2024/01/13 16:00,E-001,旋盤機A,68.1,1.274,1.011,1490.2,1
2024/01/13 17:00,E-001,旋盤機A,77.14,2.051,1.066,1557.2,1
2024/01/13 18:00,E-001,旋盤機A,70.18,2.026,1.091,1503.9,1
2024/01/13 19:00,E-001,旋盤機A,71.83,2.454,1.185,1478.8,1
