日時,設備ID,設備名,温度(°C),振動(mm/s),圧力(MPa),回転数(rpm),稼働状態
2024/01/01 00:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/01 01:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/01 02:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/01 03:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/01 04:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/01 05:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/01 06:00,E-003,溶接機C,67.93,0.615,0.915,1532.5,1
2024/01/01 07:00,E-003,溶接機C,67.01,0.858,1.143,1507.3,1
2024/01/01 08:00,E-003,溶接機C,76.61,1.361,1.053,1489.6,1
2024/01/01 09:00,E-003,溶接機C,73.84,0.795,1.196,1488.1,1
2024/01/01 10:00,E-003,溶接機C,69.76,0.94,0.88,1547.1,1
2024/01/01 11:00,E-003,溶接機C,87.11,1.081,0.894,1475.3,1
2024/01/01 12:00,E-003,溶接機C,73.78,1.121,0.948,1524.4,1
2024/01/01 13:00,E-003,溶接機C,76.98,1.281,0.975,1498.0,1
2024/01/01 14:00,E-003,溶接機C,78.33,1.203,1.071,1535.8,1
2024/01/01 15:00,E-003,溶接機C,67.89,0.841,0.94,1498.9,1
2024/01/01 16:00,E-003,溶接機C,78.78,1.288,1.088,1527.9,1
2024/01/01 17:00,E-003,溶接機C,76.04,1.5,1.038,1521.4,1
2024/01/01 18:00,E-003,溶接機C,82.4,1.229,0.976,1503.2,1
2024/01/01 19:00,E-003,溶接機C,78.52,1.509,0.996,1546.2,1
2024/01/01 20:00,E-003,溶接機C,65.15,1.186,0.997,1505.5,1
2024/01/01 21:00,E-003,溶接機C,86.92,1.183,0.967,1520.5,1
2024/01/01 22:00,E-003,溶接機C,64.99,1.01,1.079,1507.4,1
2024/01/01 23:00,E-003,溶接機C,70.86,1.527,1.107,1530.3,1
2024/01/02 00:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/02 01:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/02 02:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/02 03:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/02 04:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/02 05:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/02 06:00,E-003,溶接機C,72.72,1.14,0.936,1500.1,1
2024/01/02 07:00,E-003,溶接機C,69.78,1.045,0.917,1488.7,1
2024/01/02 08:00,E-003,溶接機C,76.1,1.259,1.136,1506.6,1
2024/01/02 09:00,E-003,溶接機C,76.48,1.278,0.98,1534.9,1
2024/01/02 10:00,E-003,溶接機C,78.88,1.282,0.98,1512.8,1
2024/01/02 11:00,E-003,溶接機C,68.16,0.999,0.95,1497.5,1
2024/01/02 12:00,E-003,溶接機C,77.2,1.499,0.927,1525.7,1
2024/01/02 13:00,E-003,溶接機C,69.83,1.124,0.945,1532.0,1
2024/01/02 14:00,E-003,溶接機C,71.61,1.453,0.98,1507.0,1
2024/01/02 15:00,E-003,溶接機C,68.73,1.263,1.072,1525.5,1
2024/01/02 16:00,E-003,溶接機C,86.19,1.557,0.975,1513.6,1
2024/01/02 17:00,E-003,溶接機C,77.35,0.99,1.093,1527.2,1
2024/01/02 18:00,E-003,溶接機C,76.28,1.372,1.138,1523.4,1
2024/01/02 19:00,E-003,溶接機C,74.43,1.577,1.077,1513.6,1
2024/01/02 20:00,E-003,溶接機C,75.03,1.249,1.029,1492.9,1
2024/01/02 21:00,E-003,溶接機C,67.29,0.978,0.923,1507.1,1
2024/01/02 22:00,E-003,溶接機C,78.17,1.158,1.016,1495.5,1
2024/01/02 23:00,E-003,溶接機C,72.69,1.347,1.048,1505.5,1
2024/01/03 00:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/03 01:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/03 02:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/03 03:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/03 04:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/03 05:00,E-003,溶接機C,0.0,0.0,0.0,0.0,0
2024/01/03 06:00,E-003,溶接機C,75.81,1.75,0.999,1506.1,1
2024/01/03 07:00,E-003,溶接機C,74.13,1.223,0.988,1519.4,1
2024/01/03 08:00,E-003,溶接機C,67.78,0.959,0.988,1516.7,1
2024/01/03 09:00,E-003,溶接機C,72.17,1.156,1.005,1537.8,1
2024/01/03 10:00,E-003,溶接機C,74.5,1.3,0.957,1531.4,1
2024/01/03 11:00,E-003,溶接機C,76.88,1.416,1.057,1531.8,1
2024/01/03 12:00,E-003,溶接機C,74.51,1.261,1.085,1507.0,1
2024/01/03 13:00,E-003,溶接機C,71.86,1.245,1.033,1503.5,1
2024/01/03 14:00,E-003,溶接機C,74.63,1.177,0.823,1515.6,1
2024/01/03 15:00,E-003,溶接機C,74.21,1.16,1.113,1495.7,1
2024/01/03 16:00,E-003,溶接機C,70.88,0.547,0.962,1512.1,1
2024/01/03 17:00,E-003,溶接機C,72.45,1.477,1.069,1521.6,1
