計測時刻,機番,機器名称,温度,振動値,圧力値,回転数,稼働フラグ
2024/01/01 00:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/01 01:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/01 02:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/01 03:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/01 04:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/01 05:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/01 06:00,E-004,旋盤機D,71.71,1.53,1.197,1440.1,1
2024/01/01 07:00,E-004,旋盤機D,65.67,1.702,1.199,1506.8,1
2024/01/01 08:00,E-004,旋盤機D,73.76,2.056,1.296,1540.6,1
2024/01/01 09:00,E-004,旋盤機D,70.28,1.787,1.301,1527.6,1
2024/01/01 10:00,E-004,旋盤機D,70.59,1.291,1.116,1480.4,1
2024/01/01 11:00,E-004,旋盤機D,71.12,1.793,1.314,1536.0,1
2024/01/01 12:00,E-004,旋盤機D,72.8,2.222,1.096,1506.9,1
2024/01/01 13:00,E-004,旋盤機D,65.57,1.223,1.171,1536.4,1
2024/01/01 14:00,E-004,旋盤機D,69.84,2.506,1.218,1575.7,1
2024/01/01 15:00,E-004,旋盤機D,68.71,1.808,1.072,1528.9,1
2024/01/01 16:00,E-004,旋盤機D,65.99,1.574,1.328,1530.5,1
2024/01/01 17:00,E-004,旋盤機D,72.53,1.673,1.195,1487.9,1
2024/01/01 18:00,E-004,旋盤機D,71.13,2.344,1.237,1559.1,1
2024/01/01 19:00,E-004,旋盤機D,71.59,1.718,1.283,1549.7,1
2024/01/01 20:00,E-004,旋盤機D,75.99,2.215,1.203,1482.4,1
2024/01/01 21:00,E-004,旋盤機D,70.3,2.386,1.243,1505.9,1
2024/01/01 22:00,E-004,旋盤機D,68.21,1.685,1.184,1494.7,1
2024/01/01 23:00,E-004,旋盤機D,74.87,1.716,1.205,1459.7,1
2024/01/02 00:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/02 01:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/02 02:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/02 03:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
2024/01/02 04:00,E-004,旋盤機D,0.0,0.0,0.0,0.0,0
