計測時刻,機番,機器名称,温度,振動値,圧力値,回転数,稼働フラグ
2024/01/01 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/01 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/01 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/01 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/01 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/01 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/01 06:00,E-005,コンプレッサE,83.67,2.408,1.365,1395.4,1
2024/01/01 07:00,E-005,コンプレッサE,100.05,2.39,1.49,1426.6,1
2024/01/01 08:00,E-005,コンプレッサE,82.52,2.272,1.168,1433.6,1
2024/01/01 09:00,E-005,コンプレッサE,82.15,3.086,1.22,1416.9,1
2024/01/01 10:00,E-005,コンプレッサE,78.71,3.221,1.27,1462.5,1
2024/01/01 11:00,E-005,コンプレッサE,91.79,2.427,1.193,1385.4,1
2024/01/01 12:00,E-005,コンプレッサE,91.02,1.87,1.459,1444.6,1
2024/01/01 13:00,E-005,コンプレッサE,87.64,2.736,1.26,1401.0,1
2024/01/01 14:00,E-005,コンプレッサE,90.0,2.185,0.987,1466.0,1
2024/01/01 15:00,E-005,コンプレッサE,77.75,2.734,1.609,1440.7,1
2024/01/01 16:00,E-005,コンプレッサE,91.97,2.577,1.638,1397.5,1
2024/01/01 17:00,E-005,コンプレッサE,84.94,2.837,1.371,1486.1,1
2024/01/01 18:00,E-005,コンプレッサE,81.98,3.535,1.718,1451.3,1
2024/01/01 19:00,E-005,コンプレッサE,88.87,3.096,1.222,1387.5,1
2024/01/01 20:00,E-005,コンプレッサE,93.79,2.637,1.366,1440.4,1
2024/01/01 21:00,E-005,コンプレッサE,68.3,2.405,1.287,1476.7,1
2024/01/01 22:00,E-005,コンプレッサE,91.97,2.788,1.459,1380.1,1
2024/01/01 23:00,E-005,コンプレッサE,89.13,2.815,1.587,1524.7,1
2024/01/02 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/02 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/02 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/02 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/02 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/02 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/02 06:00,E-005,コンプレッサE,73.15,2.306,1.289,1446.9,1
2024/01/02 07:00,E-005,コンプレッサE,85.09,2.383,1.554,1395.9,1
2024/01/02 08:00,E-005,コンプレッサE,77.71,1.988,1.346,1390.9,1
2024/01/02 09:00,E-005,コンプレッサE,84.66,2.417,1.282,1475.0,1
2024/01/02 10:00,E-005,コンプレッサE,84.58,3.031,1.371,1439.0,1
2024/01/02 11:00,E-005,コンプレッサE,81.06,2.496,1.507,1423.5,1
2024/01/02 12:00,E-005,コンプレッサE,88.63,2.094,1.514,1416.8,1
2024/01/02 13:00,E-005,コンプレッサE,90.96,2.53,1.628,1393.8,1
2024/01/02 14:00,E-005,コンプレッサE,74.67,2.192,1.192,1384.7,1
2024/01/02 15:00,E-005,コンプレッサE,89.35,2.498,1.328,1424.5,1
2024/01/02 16:00,E-005,コンプレッサE,80.82,3.325,1.29,1387.1,1
2024/01/02 17:00,E-005,コンプレッサE,90.57,2.392,1.706,1419.0,1
2024/01/02 18:00,E-005,コンプレッサE,90.92,3.041,1.322,1410.3,1
2024/01/02 19:00,E-005,コンプレッサE,90.19,2.787,1.188,1394.9,1
2024/01/02 20:00,E-005,コンプレッサE,67.24,2.798,1.361,1433.5,1
2024/01/02 21:00,E-005,コンプレッサE,73.16,1.951,1.328,1413.1,1
2024/01/02 22:00,E-005,コンプレッサE,85.82,2.792,1.74,1439.2,1
2024/01/02 23:00,E-005,コンプレッサE,92.81,2.085,1.149,1425.9,1
2024/01/03 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/03 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/03 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/03 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/03 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/03 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/03 06:00,E-005,コンプレッサE,73.82,2.507,1.283,1361.8,1
2024/01/03 07:00,E-005,コンプレッサE,97.15,2.231,1.154,1475.9,1
2024/01/03 08:00,E-005,コンプレッサE,79.9,3.045,1.29,1418.4,1
2024/01/03 09:00,E-005,コンプレッサE,87.41,2.797,1.515,1436.4,1
2024/01/03 10:00,E-005,コンプレッサE,88.7,2.873,1.43,1434.3,1
2024/01/03 11:00,E-005,コンプレッサE,74.88,2.8,1.406,1423.5,1
2024/01/03 12:00,E-005,コンプレッサE,93.94,1.786,1.647,1439.1,1
2024/01/03 13:00,E-005,コンプレッサE,87.22,2.302,1.15,1434.4,1
2024/01/03 14:00,E-005,コンプレッサE,87.34,2.838,1.37,1352.3,1
2024/01/03 15:00,E-005,コンプレッサE,74.21,3.526,1.236,1497.1,1
2024/01/03 16:00,E-005,コンプレッサE,78.46,2.409,1.494,1407.2,1
2024/01/03 17:00,E-005,コンプレッサE,96.15,2.538,1.469,1429.3,1
2024/01/03 18:00,E-005,コンプレッサE,89.61,3.289,1.38,1509.2,1
2024/01/03 19:00,E-005,コンプレッサE,80.72,2.882,1.473,1397.3,1
2024/01/03 20:00,E-005,コンプレッサE,86.5,2.504,1.272,1454.3,1
2024/01/03 21:00,E-005,コンプレッサE,86.02,2.464,1.39,1436.4,1
2024/01/03 22:00,E-005,コンプレッサE,82.43,2.57,1.303,1546.3,1
2024/01/03 23:00,E-005,コンプレッサE,75.13,2.208,1.324,1521.6,1
2024/01/04 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/04 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/04 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/04 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/04 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/04 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/04 06:00,E-005,コンプレッサE,75.76,2.713,1.437,1453.3,1
2024/01/04 07:00,E-005,コンプレッサE,93.65,3.108,1.332,1447.8,1
2024/01/04 08:00,E-005,コンプレッサE,71.95,2.55,1.281,1432.5,1
2024/01/04 09:00,E-005,コンプレッサE,73.2,2.702,1.146,1445.9,1
2024/01/04 10:00,E-005,コンプレッサE,76.41,2.075,1.573,1463.5,1
2024/01/04 11:00,E-005,コンプレッサE,93.04,3.28,1.284,1500.0,1
2024/01/04 12:00,E-005,コンプレッサE,74.74,2.873,1.326,1402.8,1
2024/01/04 13:00,E-005,コンプレッサE,89.3,2.972,1.537,1448.6,1
2024/01/04 14:00,E-005,コンプレッサE,85.92,2.763,1.446,1461.7,1
2024/01/04 15:00,E-005,コンプレッサE,86.43,2.921,1.156,1434.7,1
2024/01/04 16:00,E-005,コンプレッサE,75.31,2.638,1.646,1421.0,1
2024/01/04 17:00,E-005,コンプレッサE,85.89,2.878,1.09,1419.1,1
2024/01/04 18:00,E-005,コンプレッサE,87.55,1.052,1.253,1484.0,1
2024/01/04 19:00,E-005,コンプレッサE,92.02,2.687,1.532,1448.6,1
2024/01/04 20:00,E-005,コンプレッサE,88.89,2.342,1.417,1414.7,1
2024/01/04 21:00,E-005,コンプレッサE,93.84,3.261,1.607,1423.7,1
2024/01/04 22:00,E-005,コンプレッサE,78.32,3.138,1.482,1453.1,1
2024/01/04 23:00,E-005,コンプレッサE,80.56,2.713,1.237,1465.4,1
2024/01/05 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/05 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/05 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/05 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/05 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/05 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/05 06:00,E-005,コンプレッサE,94.65,3.316,1.506,1384.7,1
2024/01/05 07:00,E-005,コンプレッサE,86.38,3.57,1.27,1437.6,1
2024/01/05 08:00,E-005,コンプレッサE,94.89,2.809,1.772,1410.7,1
2024/01/05 09:00,E-005,コンプレッサE,78.07,3.112,1.221,1432.1,1
2024/01/05 10:00,E-005,コンプレッサE,84.54,3.018,1.492,1458.3,1
2024/01/05 11:00,E-005,コンプレッサE,82.18,3.108,2.004,1467.7,1
2024/01/05 12:00,E-005,コンプレッサE,85.7,1.851,1.304,1431.5,1
2024/01/05 13:00,E-005,コンプレッサE,81.26,2.492,1.667,1489.9,1
2024/01/05 14:00,E-005,コンプレッサE,83.89,1.896,1.601,1438.0,1
2024/01/05 15:00,E-005,コンプレッサE,72.91,2.856,1.554,1343.0,1
2024/01/05 16:00,E-005,コンプレッサE,79.23,2.445,1.51,1419.4,1
2024/01/05 17:00,E-005,コンプレッサE,79.18,2.864,1.33,1461.7,1
2024/01/05 18:00,E-005,コンプレッサE,77.22,1.824,1.513,1450.1,1
2024/01/05 19:00,E-005,コンプレッサE,91.46,2.234,1.281,1494.4,1
2024/01/05 20:00,E-005,コンプレッサE,74.34,3.126,1.598,1474.4,1
2024/01/05 21:00,E-005,コンプレッサE,80.19,2.092,1.368,1388.2,1
2024/01/05 22:00,E-005,コンプレッサE,78.27,2.822,1.497,1398.0,1
2024/01/05 23:00,E-005,コンプレッサE,89.73,2.727,1.626,1462.8,1
2024/01/06 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/06 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/06 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/06 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/06 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/06 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/06 06:00,E-005,コンプレッサE,92.41,2.739,1.547,1388.5,1
2024/01/06 07:00,E-005,コンプレッサE,84.15,2.481,1.363,1457.8,1
2024/01/06 08:00,E-005,コンプレッサE,89.44,2.696,1.373,1410.6,1
2024/01/06 09:00,E-005,コンプレッサE,92.68,2.675,1.247,1432.3,1
2024/01/06 10:00,E-005,コンプレッサE,72.8,2.518,1.37,1417.0,1
2024/01/06 11:00,E-005,コンプレッサE,96.09,1.922,1.506,1527.5,1
2024/01/06 12:00,E-005,コンプレッサE,92.54,2.484,1.23,1385.5,1
2024/01/06 13:00,E-005,コンプレッサE,82.12,2.156,1.292,1426.9,1
2024/01/06 14:00,E-005,コンプレッサE,84.28,2.743,1.214,1412.7,1
2024/01/06 15:00,E-005,コンプレッサE,83.88,2.402,1.675,1449.3,1
2024/01/06 16:00,E-005,コンプレッサE,73.7,2.709,1.482,1435.0,1
2024/01/06 17:00,E-005,コンプレッサE,76.51,3.379,1.24,1466.4,1
2024/01/06 18:00,E-005,コンプレッサE,86.4,2.8,1.656,1462.5,1
2024/01/06 19:00,E-005,コンプレッサE,81.09,3.053,1.305,1446.5,1
2024/01/06 20:00,E-005,コンプレッサE,75.95,1.983,1.408,1454.7,1
2024/01/06 21:00,E-005,コンプレッサE,73.08,2.749,1.277,1491.2,1
2024/01/06 22:00,E-005,コンプレッサE,82.54,1.938,1.411,1403.4,1
2024/01/06 23:00,E-005,コンプレッサE,93.88,2.5,1.377,1463.7,1
2024/01/07 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 06:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 07:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 08:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 09:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 10:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 11:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 12:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 13:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 14:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 15:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 16:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 17:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 18:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 19:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 20:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 21:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 22:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/07 23:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/08 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/08 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/08 02:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/08 03:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/08 04:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/08 05:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/08 06:00,E-005,コンプレッサE,77.97,1.855,1.461,1396.0,1
2024/01/08 07:00,E-005,コンプレッサE,77.3,2.918,1.479,1389.8,1
2024/01/08 08:00,E-005,コンプレッサE,80.67,2.048,1.666,1476.2,1
2024/01/08 09:00,E-005,コンプレッサE,82.05,2.788,1.197,1413.1,1
2024/01/08 10:00,E-005,コンプレッサE,85.73,2.726,1.385,1449.9,1
2024/01/08 11:00,E-005,コンプレッサE,85.55,2.418,1.356,1422.9,1
2024/01/08 12:00,E-005,コンプレッサE,86.62,2.705,1.43,1392.9,1
2024/01/08 13:00,E-005,コンプレッサE,78.01,2.699,1.621,1446.1,1
2024/01/08 14:00,E-005,コンプレッサE,82.12,2.612,1.229,1492.4,1
2024/01/08 15:00,E-005,コンプレッサE,86.31,2.165,1.375,1418.9,1
2024/01/08 16:00,E-005,コンプレッサE,94.18,2.399,1.423,1462.9,1
2024/01/08 17:00,E-005,コンプレッサE,79.81,2.597,1.441,1377.8,1
2024/01/08 18:00,E-005,コンプレッサE,86.77,2.477,1.419,1441.4,1
2024/01/08 19:00,E-005,コンプレッサE,86.81,3.169,1.223,1426.3,1
2024/01/08 20:00,E-005,コンプレッサE,89.67,2.74,1.469,1550.1,1
2024/01/08 21:00,E-005,コンプレッサE,89.3,3.065,1.354,1400.3,1
2024/01/08 22:00,E-005,コンプレッサE,82.8,2.856,1.461,1456.1,1
2024/01/08 23:00,E-005,コンプレッサE,83.5,2.313,1.373,1469.0,1
2024/01/09 00:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
2024/01/09 01:00,E-005,コンプレッサE,0.0,0.0,0.0,0.0,0
