製品ID,製品名,製造日,ラインID,計画数量,実績数量,計画材料費,実績材料費,計画労務費,実績労務費,計画間接費,実績間接費
P001,部品A,2024-01-01,ライン1,78,59,83482.0,96578.0,64188.0,53583.0,37068.0,35910.0
P002,部品B,2024-01-01,ライン1,57,43,140303.0,151601.0,53675.0,51947.0,38641.0,37856.0
P003,部品C,2024-01-01,ライン1,121,109,170873.0,147325.0,61888.0,73207.0,23610.0,22067.0
P004,部品D,2024-01-01,ライン1,73,70,101593.0,99944.0,35871.0,30488.0,11738.0,13721.0
P005,部品E,2024-01-01,ライン1,70,74,142778.0,154461.0,71702.0,58676.0,33094.0,29492.0
P006,ユニットX,2024-01-01,ライン1,124,132,179973.0,204025.0,42808.0,37031.0,28136.0,26508.0
P007,ユニットY,2024-01-01,ライン1,118,122,60710.0,54513.0,58099.0,57222.0,31366.0,28479.0
P008,ユニットZ,2024-01-01,ライン1,192,185,165247.0,185410.0,23356.0,22433.0,42872.0,35433.0
P009,製品P,2024-01-01,ライン1,195,187,148316.0,145875.0,43738.0,39624.0,46582.0,41861.0
P010,製品Q,2024-01-01,ライン1,193,202,114265.0,136996.0,55012.0,47054.0,24480.0,24416.0
P011,PartA,2024-01-01,ライン1,62,57,73997.0,70587.0,60829.0,63162.0,33856.0,33424.0
P012,PartB,2024-01-01,ライン1,114,122,51722.0,52487.0,63243.0,57345.0,37268.0,39370.0
P013,PartC,2024-01-01,ライン1,78,72,50487.0,60016.0,63326.0,69961.0,38787.0,38906.0
P014,SubAsmX,2024-01-01,ライン1,77,73,145842.0,161157.0,56538.0,57429.0,16114.0,17909.0
P015,SubAsmY,2024-01-01,ライン1,185,188,123291.0,147225.0,26712.0,29990.0,24519.0,21964.0
P016,FinGoodA,2024-01-01,ライン1,111,120,62848.0,69399.0,49159.0,54387.0,12769.0,10871.0
P017,FinGoodB,2024-01-01,ライン1,171,159,129151.0,151309.0,56396.0,62154.0,48575.0,52264.0
P018,FinGoodC,2024-01-01,ライン1,129,133,106013.0,95323.0,73977.0,61076.0,28059.0,22684.0
P019,FinGoodD,2024-01-01,ライン1,191,180,60649.0,70484.0,57866.0,66190.0,19158.0,15869.0
P020,FinGoodE,2024-01-01,ライン1,110,109,130885.0,134875.0,63401.0,56883.0,45295.0,44806.0
P001,部品A,2024-01-01,ライン2,154,141,114658.0,125164.0,45415.0,48564.0,28681.0,34236.0
P002,部品B,2024-01-01,ライン2,75,66,170089.0,172558.0,26556.0,22734.0,17664.0,15427.0
P003,部品C,2024-01-01,ライン2,168,182,116470.0,95532.0,71681.0,85997.0,32013.0,36316.0
P004,部品D,2024-01-01,ライン2,73,78,74947.0,71980.0,49138.0,40463.0,18550.0,17652.0
P005,部品E,2024-01-01,ライン2,149,157,118251.0,141685.0,45380.0,46393.0,48293.0,52512.0
P006,ユニットX,2024-01-01,ライン2,89,83,58772.0,54391.0,64144.0,52602.0,12438.0,12323.0
P007,ユニットY,2024-01-01,ライン2,185,202,62017.0,66363.0,31149.0,27850.0,33801.0,28662.0
P008,ユニットZ,2024-01-01,ライン2,195,198,142907.0,144210.0,45153.0,53005.0,33347.0,29402.0
P009,製品P,2024-01-01,ライン2,130,127,150754.0,165941.0,38000.0,31503.0,22647.0,22269.0
P010,製品Q,2024-01-01,ライン2,194,177,81973.0,94461.0,35912.0,41360.0,47330.0,44860.0
P011,PartA,2024-01-01,ライン2,90,90,95378.0,96482.0,79031.0,84338.0,42284.0,43208.0
P012,PartB,2024-01-01,ライン2,76,70,67314.0,61185.0,26422.0,27530.0,32129.0,34926.0
P013,PartC,2024-01-01,ライン2,102,109,125811.0,103206.0,35067.0,36951.0,46326.0,52429.0
P014,SubAsmX,2024-01-01,ライン2,61,54,145567.0,148576.0,35717.0,34684.0,39649.0,31873.0
P015,SubAsmY,2024-01-01,ライン2,69,71,72358.0,73878.0,22162.0,21539.0,24769.0,20229.0
P016,FinGoodA,2024-01-01,ライン2,143,151,179105.0,161161.0,73935.0,62188.0,18403.0,20465.0
P017,FinGoodB,2024-01-01,ライン2,154,161,188865.0,211520.0,34204.0,29786.0,16500.0,15921.0
P018,FinGoodC,2024-01-01,ライン2,95,91,189622.0,213192.0,68134.0,61779.0,44563.0,49685.0
P019,FinGoodD,2024-01-01,ライン2,77,69,120604.0,113351.0,31974.0,36074.0,46738.0,53680.0
P020,FinGoodE,2024-01-01,ライン2,107,80,99239.0,90472.0,71861.0,75928.0,48676.0,46722.0
P001,部品A,2024-01-01,ライン3,187,169,181556.0,216672.0,35673.0,29084.0,33224.0,34507.0
P002,部品B,2024-01-01,ライン3,138,132,140931.0,145249.0,50685.0,45713.0,25408.0,27530.0
P003,部品C,2024-01-01,ライン3,50,53,153029.0,134484.0,76416.0,74316.0,39482.0,46570.0
P004,部品D,2024-01-01,ライン3,134,138,68694.0,73280.0,74003.0,68858.0,30285.0,32674.0
P005,部品E,2024-01-01,ライン3,191,187,191055.0,199882.0,60639.0,55811.0,46112.0,46996.0
P006,ユニットX,2024-01-01,ライン3,50,47,167864.0,163955.0,56400.0,60362.0,22890.0,22992.0
P007,ユニットY,2024-01-01,ライン3,93,88,149578.0,176622.0,57156.0,51094.0,13735.0,12694.0
P008,ユニットZ,2024-01-01,ライン3,100,90,197590.0,194067.0,56676.0,65430.0,40740.0,41973.0
P009,製品P,2024-01-01,ライン3,148,140,148409.0,164440.0,20333.0,17133.0,40039.0,38840.0
P010,製品Q,2024-01-01,ライン3,95,98,119682.0,101556.0,53444.0,45606.0,46699.0,46038.0
P011,PartA,2024-01-01,ライン3,185,188,192506.0,209391.0,73486.0,73626.0,34506.0,39069.0
P012,PartB,2024-01-01,ライン3,190,177,179224.0,203589.0,47004.0,42817.0,40071.0,44522.0
P013,PartC,2024-01-01,ライン3,174,166,61623.0,57179.0,37144.0,37740.0,20869.0,17850.0
P014,SubAsmX,2024-01-01,ライン3,109,101,82093.0,80974.0,44892.0,37032.0,23235.0,26329.0
P015,SubAsmY,2024-01-01,ライン3,149,151,154328.0,146944.0,71404.0,57292.0,40624.0,38215.0
P016,FinGoodA,2024-01-01,ライン3,149,162,112853.0,117514.0,64851.0,57602.0,31845.0,28271.0
P017,FinGoodB,2024-01-01,ライン3,161,157,150331.0,170806.0,67889.0,79281.0,38967.0,46460.0
P018,FinGoodC,2024-01-01,ライン3,186,148,134659.0,115036.0,21626.0,21295.0,35710.0,29286.0
P019,FinGoodD,2024-01-01,ライン3,147,145,100625.0,118786.0,72778.0,70495.0,21130.0,23961.0
P020,FinGoodE,2024-01-01,ライン3,170,141,199986.0,222483.0,40998.0,43486.0,36006.0,39667.0
P001,部品A,2024-01-02,ライン1,113,102,72857.0,74722.0,27573.0,24463.0,36778.0,39713.0
P002,部品B,2024-01-02,ライン1,144,147,162189.0,192338.0,26872.0,22660.0,42772.0,34657.0
P003,部品C,2024-01-02,ライン1,129,139,106296.0,110212.0,76488.0,86602.0,17933.0,16089.0
P004,部品D,2024-01-02,ライン1,127,129,68158.0,63993.0,79031.0,76767.0,41305.0,39167.0
P005,部品E,2024-01-02,ライン1,179,161,113009.0,106779.0,49412.0,57152.0,27341.0,26901.0
P006,ユニットX,2024-01-02,ライン1,89,93,194821.0,197796.0,36205.0,35966.0,42328.0,41237.0
P007,ユニットY,2024-01-02,ライン1,118,111,190193.0,209249.0,36736.0,37762.0,28032.0,29918.0
P008,ユニットZ,2024-01-02,ライン1,136,124,77276.0,72341.0,32727.0,37706.0,41913.0,45286.0
P009,製品P,2024-01-02,ライン1,120,120,78658.0,80394.0,34481.0,30900.0,26257.0,26006.0
P010,製品Q,2024-01-02,ライン1,175,158,94135.0,100309.0,44264.0,41945.0,19732.0,20154.0
P011,PartA,2024-01-02,ライン1,138,144,99619.0,89713.0,62171.0,52738.0,20837.0,18274.0
P012,PartB,2024-01-02,ライン1,80,87,153525.0,139799.0,31492.0,32621.0,39544.0,43660.0
P013,PartC,2024-01-02,ライン1,122,130,94437.0,102295.0,41653.0,35431.0,22091.0,18075.0
P014,SubAsmX,2024-01-02,ライン1,63,65,68942.0,79220.0,72108.0,74244.0,29635.0,29272.0
P015,SubAsmY,2024-01-02,ライン1,162,177,87872.0,72594.0,71703.0,71467.0,14563.0,15012.0
P016,FinGoodA,2024-01-02,ライン1,63,66,192369.0,196837.0,25111.0,24269.0,19928.0,20694.0
P017,FinGoodB,2024-01-02,ライン1,107,104,186276.0,180973.0,37841.0,38880.0,33541.0,27641.0
P018,FinGoodC,2024-01-02,ライン1,75,70,81654.0,71000.0,59626.0,49491.0,16282.0,13043.0
P019,FinGoodD,2024-01-02,ライン1,165,164,54896.0,62792.0,37286.0,30891.0,21309.0,19037.0
P020,FinGoodE,2024-01-02,ライン1,117,119,149177.0,151837.0,76020.0,80509.0,27006.0,31417.0
P001,部品A,2024-01-02,ライン2,86,63,96142.0,88012.0,64937.0,55180.0,32768.0,35241.0
P002,部品B,2024-01-02,ライン2,153,153,124069.0,120696.0,24827.0,23062.0,11594.0,10437.0
P003,部品C,2024-01-02,ライン2,73,75,179078.0,198043.0,55227.0,62328.0,10830.0,11160.0
P004,部品D,2024-01-02,ライン2,94,96,187411.0,197515.0,30889.0,30787.0,33413.0,27950.0
P005,部品E,2024-01-02,ライン2,139,134,65690.0,65571.0,29649.0,31578.0,26466.0,25412.0
P006,ユニットX,2024-01-02,ライン2,190,137,87860.0,100684.0,26955.0,30459.0,40902.0,32740.0
P007,ユニットY,2024-01-02,ライン2,188,171,127766.0,124804.0,57358.0,47071.0,29940.0,27150.0
P008,ユニットZ,2024-01-02,ライン2,83,81,154738.0,161476.0,27286.0,24440.0,48926.0,42240.0
P009,製品P,2024-01-02,ライン2,191,153,83705.0,98674.0,70484.0,74649.0,14538.0,12526.0
P010,製品Q,2024-01-02,ライン2,124,118,175209.0,178801.0,78815.0,75145.0,19749.0,23082.0
P011,PartA,2024-01-02,ライン2,180,166,60472.0,56598.0,66361.0,73998.0,44176.0,40062.0
P012,PartB,2024-01-02,ライン2,50,47,138041.0,118637.0,79934.0,81168.0,29586.0,27753.0
P013,PartC,2024-01-02,ライン2,191,186,189928.0,170085.0,72176.0,68797.0,49231.0,56242.0
P014,SubAsmX,2024-01-02,ライン2,155,137,155784.0,165984.0,68685.0,77497.0,25443.0,30337.0
P015,SubAsmY,2024-01-02,ライン2,176,162,194803.0,221689.0,39920.0,33528.0,14015.0,16315.0
P016,FinGoodA,2024-01-02,ライン2,53,52,148217.0,176035.0,29262.0,27372.0,28780.0,30998.0
P017,FinGoodB,2024-01-02,ライン2,70,74,178901.0,194553.0,42801.0,47242.0,22666.0,26043.0
P018,FinGoodC,2024-01-02,ライン2,59,55,152660.0,127647.0,37243.0,44369.0,19099.0,21089.0
P019,FinGoodD,2024-01-02,ライン2,75,77,185514.0,170180.0,22759.0,21620.0,41846.0,35913.0
P020,FinGoodE,2024-01-02,ライン2,185,191,77009.0,73390.0,30504.0,32739.0,34380.0,34348.0
P001,部品A,2024-01-02,ライン3,199,197,88097.0,98831.0,35320.0,40988.0,10376.0,11113.0
P002,部品B,2024-01-02,ライン3,90,84,198148.0,213232.0,37949.0,37294.0,48481.0,44644.0
P003,部品C,2024-01-02,ライン3,148,136,107205.0,115750.0,41538.0,33595.0,21835.0,24717.0
P004,部品D,2024-01-02,ライン3,151,152,152870.0,159376.0,64680.0,64595.0,11962.0,13896.0
P005,部品E,2024-01-02,ライン3,123,116,170290.0,153304.0,33140.0,36528.0,17605.0,19489.0
P006,ユニットX,2024-01-02,ライン3,85,91,146951.0,151628.0,38536.0,42118.0,27633.0,23103.0
P007,ユニットY,2024-01-02,ライン3,125,122,80119.0,75820.0,67191.0,67239.0,45058.0,40959.0
P008,ユニットZ,2024-01-02,ライン3,92,97,122277.0,114389.0,68389.0,57862.0,39862.0,47243.0
P009,製品P,2024-01-02,ライン3,86,81,151449.0,172394.0,60464.0,61851.0,25896.0,21653.0
P010,製品Q,2024-01-02,ライン3,151,125,118218.0,122217.0,60370.0,68155.0,36894.0,43391.0
P011,PartA,2024-01-02,ライン3,77,76,142932.0,149226.0,76590.0,81114.0,23120.0,24372.0
P012,PartB,2024-01-02,ライン3,168,161,111244.0,102539.0,28387.0,28303.0,47850.0,40141.0
P013,PartC,2024-01-02,ライン3,187,185,150573.0,145702.0,64588.0,70848.0,47839.0,41228.0
P014,SubAsmX,2024-01-02,ライン3,156,166,142348.0,153182.0,76343.0,67709.0,21190.0,20721.0
P015,SubAsmY,2024-01-02,ライン3,110,101,152852.0,144211.0,52668.0,50522.0,49114.0,43020.0
P016,FinGoodA,2024-01-02,ライン3,81,86,63751.0,75764.0,32726.0,26843.0,35580.0,33210.0
P017,FinGoodB,2024-01-02,ライン3,82,77,174473.0,196320.0,53252.0,47565.0,33455.0,37127.0
P018,FinGoodC,2024-01-02,ライン3,50,54,198129.0,167215.0,52413.0,60096.0,41941.0,35764.0
P019,FinGoodD,2024-01-02,ライン3,141,133,98566.0,108096.0,30455.0,30773.0,12096.0,13285.0
P020,FinGoodE,2024-01-02,ライン3,171,166,139050.0,145452.0,47120.0,51403.0,18862.0,21946.0
P001,部品A,2024-01-03,ライン1,183,188,54673.0,53060.0,79915.0,67383.0,43892.0,47621.0
P002,部品B,2024-01-03,ライン1,163,117,141245.0,148763.0,23941.0,24404.0,21001.0,19532.0
P003,部品C,2024-01-03,ライン1,185,185,114530.0,121618.0,67586.0,77797.0,14577.0,14876.0
