product_id,product_name,production_date,line_id,planned_qty,actual_qty,planned_material,actual_material,planned_labor,actual_labor,planned_overhead,actual_overhead
P001,部品A,2024-01-03,ライン2,198,214,134674.0,154296.0,58118.0,61075.0,34981.0,30097.0
P002,部品B,2024-01-03,ライン2,67,68,169449.0,140588.0,55485.0,54636.0,24078.0,19624.0
P003,部品C,2024-01-03,ライン2,144,131,179638.0,180145.0,71318.0,70254.0,34600.0,35352.0
P004,部品D,2024-01-03,ライン2,60,63,147776.0,127138.0,39292.0,32406.0,29025.0,24422.0
P005,部品E,2024-01-03,ライン2,137,125,146919.0,175773.0,22349.0,22564.0,38305.0,39987.0
P006,ユニットX,2024-01-03,ライン2,143,136,111315.0,124194.0,40302.0,42677.0,33915.0,28027.0
P007,ユニットY,2024-01-03,ライン2,74,72,87799.0,91406.0,71094.0,61151.0,48576.0,40445.0
P008,ユニットZ,2024-01-03,ライン2,86,82,148408.0,160805.0,59728.0,49807.0,15158.0,15515.0
P009,製品P,2024-01-03,ライン2,134,138,174344.0,176184.0,64326.0,68084.0,37417.0,36270.0
P010,製品Q,2024-01-03,ライン2,142,110,192675.0,168938.0,40504.0,48604.0,40646.0,35036.0
P011,PartA,2024-01-03,ライン2,125,115,165631.0,135006.0,70107.0,65530.0,45347.0,50178.0
P012,PartB,2024-01-03,ライン2,83,77,77127.0,89549.0,61571.0,67018.0,34990.0,28603.0
P013,PartC,2024-01-03,ライン2,143,135,116630.0,114247.0,37096.0,37600.0,39941.0,36897.0
P014,SubAsmX,2024-01-03,ライン2,170,159,151746.0,168101.0,54225.0,60258.0,27624.0,27656.0
P015,SubAsmY,2024-01-03,ライン2,157,166,170189.0,179800.0,28304.0,32540.0,20000.0,20436.0
P016,FinGoodA,2024-01-03,ライン2,76,76,68702.0,67309.0,25033.0,25166.0,16412.0,18586.0
P017,FinGoodB,2024-01-03,ライン2,73,68,117669.0,96642.0,40975.0,41008.0,11067.0,9897.0
P018,FinGoodC,2024-01-03,ライン2,70,63,189624.0,211725.0,70351.0,60153.0,35998.0,32930.0
P019,FinGoodD,2024-01-03,ライン2,170,157,155830.0,129603.0,46916.0,42336.0,10210.0,11578.0
P020,FinGoodE,2024-01-03,ライン2,190,194,113488.0,96322.0,66570.0,59605.0,19506.0,20590.0
P001,部品A,2024-01-03,ライン3,167,151,124974.0,128726.0,52163.0,56723.0,35278.0,32333.0
P002,部品B,2024-01-03,ライン3,50,47,112485.0,133842.0,59862.0,49510.0,13425.0,13564.0
P003,部品C,2024-01-03,ライン3,179,179,53050.0,50650.0,72400.0,68731.0,11741.0,12903.0
P004,部品D,2024-01-03,ライン3,141,136,159941.0,174988.0,57695.0,53830.0,40860.0,33413.0
P005,部品E,2024-01-03,ライン3,189,194,174558.0,173059.0,61081.0,53318.0,49233.0,42042.0
P006,ユニットX,2024-01-03,ライン3,167,125,168666.0,155853.0,73147.0,70170.0,22624.0,25478.0
P007,ユニットY,2024-01-03,ライン3,171,179,78666.0,90176.0,41418.0,38634.0,41234.0,35040.0
P008,ユニットZ,2024-01-03,ライン3,144,141,115960.0,101434.0,77389.0,83334.0,23561.0,22311.0
P009,製品P,2024-01-03,ライン3,182,166,113675.0,99145.0,45836.0,42055.0,49804.0,41887.0
P010,製品Q,2024-01-03,ライン3,133,127,140393.0,132057.0,45567.0,37226.0,37591.0,43155.0
P011,PartA,2024-01-03,ライン3,140,138,145920.0,155912.0,67489.0,64957.0,12294.0,12359.0
P012,PartB,2024-01-03,ライン3,90,83,141136.0,116704.0,66879.0,74329.0,11392.0,10783.0
