品番,品目,生産日,製造ライン,計画生産数,実績生産数,材料費予算,材料費実績,労務費予算,労務費実績,製造間接費予算,製造間接費実績
P001,部品A,2024-01-05,ライン3,139,127,179794.0,158929.0,27043.0,29613.0,42476.0,45689.0
P002,部品B,2024-01-05,ライン3,159,147,80993.0,76160.0,32417.0,29578.0,12374.0,12566.0
P003,部品C,2024-01-05,ライン3,132,126,135910.0,157664.0,77144.0,86870.0,30577.0,26120.0
P004,部品D,2024-01-05,ライン3,155,170,180057.0,162028.0,27613.0,29948.0,44643.0,50509.0
P005,部品E,2024-01-05,ライン3,150,152,90308.0,95135.0,44854.0,51673.0,28080.0,23509.0
P006,ユニットX,2024-01-05,ライン3,181,188,181598.0,187551.0,47282.0,54259.0,29522.0,33621.0
P007,ユニットY,2024-01-05,ライン3,73,72,149622.0,151682.0,41493.0,36810.0,12533.0,12181.0
P008,ユニットZ,2024-01-05,ライン3,104,100,92539.0,105584.0,52839.0,58932.0,15224.0,17624.0
P009,製品P,2024-01-05,ライン3,62,53,175505.0,151495.0,20977.0,20612.0,47177.0,56459.0
P010,製品Q,2024-01-05,ライン3,159,164,69787.0,81866.0,59000.0,53667.0,16359.0,17371.0
P011,PartA,2024-01-05,ライン3,114,98,147337.0,160655.0,23107.0,25466.0,35024.0,34033.0
P012,PartB,2024-01-05,ライン3,73,65,121521.0,130270.0,27962.0,22473.0,19048.0,20538.0
P013,PartC,2024-01-05,ライン3,80,78,69826.0,76272.0,24250.0,20393.0,25323.0,23432.0
P014,SubAsmX,2024-01-05,ライン3,126,132,162974.0,139691.0,27989.0,28330.0,49718.0,39943.0
P015,SubAsmY,2024-01-05,ライン3,92,96,144212.0,154974.0,29082.0,33270.0,26468.0,22093.0
P016,FinGoodA,2024-01-05,ライン3,75,69,159501.0,178072.0,41092.0,36947.0,27176.0,28748.0
P017,FinGoodB,2024-01-05,ライン3,113,115,141139.0,160779.0,66738.0,70967.0,37619.0,34634.0
P018,FinGoodC,2024-01-05,ライン3,182,170,108763.0,121543.0,58770.0,52643.0,41352.0,39465.0
P019,FinGoodD,2024-01-05,ライン3,111,113,129243.0,151676.0,78662.0,67082.0,49475.0,56616.0
P020,FinGoodE,2024-01-05,ライン3,195,196,75916.0,62949.0,48261.0,49947.0,49495.0,39869.0
P001,部品A,2024-01-06,ライン1,105,75,168393.0,168464.0,50397.0,48692.0,35143.0,37980.0
P002,部品B,2024-01-06,ライン1,71,71,72902.0,85177.0,25016.0,29762.0,13161.0,11347.0
P003,部品C,2024-01-06,ライン1,133,136,175179.0,189101.0,60863.0,66462.0,12645.0,14397.0
P004,部品D,2024-01-06,ライン1,64,69,67398.0,71875.0,56738.0,60325.0,12201.0,10618.0
P005,部品E,2024-01-06,ライン1,53,55,74575.0,83016.0,77181.0,83997.0,30920.0,26801.0
P006,ユニットX,2024-01-06,ライン1,82,88,159940.0,149385.0,27083.0,26318.0,45996.0,46435.0
P007,ユニットY,2024-01-06,ライン1,117,118,61561.0,61551.0,47312.0,48578.0,24405.0,23113.0
P008,ユニットZ,2024-01-06,ライン1,115,124,151118.0,121050.0,26920.0,30782.0,39631.0,31900.0
P009,製品P,2024-01-06,ライン1,61,59,72513.0,74046.0,75870.0,88432.0,44299.0,48564.0
P010,製品Q,2024-01-06,ライン1,157,149,187378.0,192740.0,39196.0,33229.0,43040.0,46024.0
P011,PartA,2024-01-06,ライン1,63,66,197212.0,194459.0,77245.0,70519.0,12757.0,14517.0
P012,PartB,2024-01-06,ライン1,133,108,105338.0,115432.0,37496.0,33635.0,41380.0,39200.0
P013,PartC,2024-01-06,ライン1,176,185,159870.0,137524.0,52794.0,61925.0,41839.0,33871.0
P014,SubAsmX,2024-01-06,ライン1,188,200,181580.0,193005.0,77059.0,87817.0,10058.0,10973.0
P015,SubAsmY,2024-01-06,ライン1,76,83,112972.0,96812.0,77671.0,70831.0,48902.0,39981.0
P016,FinGoodA,2024-01-06,ライン1,109,109,155127.0,129370.0,42350.0,35499.0,48982.0,41802.0
P017,FinGoodB,2024-01-06,ライン1,150,126,115247.0,104229.0,77853.0,72092.0,19471.0,21814.0
P018,FinGoodC,2024-01-06,ライン1,133,126,61203.0,63277.0,32163.0,27730.0,41197.0,35667.0
P019,FinGoodD,2024-01-06,ライン1,169,156,103743.0,102222.0,66220.0,75557.0,28077.0,23477.0
P020,FinGoodE,2024-01-06,ライン1,127,132,56049.0,46885.0,70155.0,63090.0,23112.0,21778.0
