product_id,product_name,production_date,line_id,planned_qty,actual_qty,planned_material,actual_material,planned_labor,actual_labor,planned_overhead,actual_overhead,source_file,material_variance,labor_variance,overhead_variance,planned_total_cost,actual_total_cost,total_variance,variance_ratio,qty_variance,variance_flag
P001,部品A,2024-01-01,ライン1,78,59,83482.0,96578.0,64188.0,53583.0,37068.0,35910.0,production_cost_styleA_202401.csv,13096.0,-10605.0,-1158.0,184738.0,186071.0,1333.0,0.007215624289534367,-19,正常
P002,部品B,2024-01-01,ライン1,57,43,140303.0,151601.0,53675.0,51947.0,38641.0,37856.0,production_cost_styleA_202401.csv,11298.0,-1728.0,-785.0,232619.0,241404.0,8785.0,0.03776561673809964,-14,正常
P003,部品C,2024-01-01,ライン1,121,109,170873.0,147325.0,61888.0,73207.0,23610.0,22067.0,production_cost_styleA_202401.csv,-23548.0,11319.0,-1543.0,256371.0,242599.0,-13772.0,-0.05371902438263298,-12,正常
P004,部品D,2024-01-01,ライン1,73,70,101593.0,99944.0,35871.0,30488.0,11738.0,13721.0,production_cost_styleA_202401.csv,-1649.0,-5383.0,1983.0,149202.0,144153.0,-5049.0,-0.03384002895403547,-3,正常
P005,部品E,2024-01-01,ライン1,70,74,142778.0,154461.0,71702.0,58676.0,33094.0,29492.0,production_cost_styleA_202401.csv,11683.0,-13026.0,-3602.0,247574.0,242629.0,-4945.0,-0.019973826007577532,4,正常
P006,ユニットX,2024-01-01,ライン1,124,132,179973.0,204025.0,42808.0,37031.0,28136.0,26508.0,production_cost_styleA_202401.csv,24052.0,-5777.0,-1628.0,250917.0,267564.0,16647.0,0.06634464783175313,8,正常
P007,ユニットY,2024-01-01,ライン1,118,122,60710.0,54513.0,58099.0,57222.0,31366.0,28479.0,production_cost_styleA_202401.csv,-6197.0,-877.0,-2887.0,150175.0,140214.0,-9961.0,-0.06632928250374563,4,正常
P008,ユニットZ,2024-01-01,ライン1,192,185,165247.0,185410.0,23356.0,22433.0,42872.0,35433.0,production_cost_styleA_202401.csv,20163.0,-923.0,-7439.0,231475.0,243276.0,11801.0,0.05098174748892969,-7,正常
P009,製品P,2024-01-01,ライン1,195,187,148316.0,145875.0,43738.0,39624.0,46582.0,41861.0,production_cost_styleA_202401.csv,-2441.0,-4114.0,-4721.0,238636.0,227360.0,-11276.0,-0.047251881526676615,-8,正常
P010,製品Q,2024-01-01,ライン1,193,202,114265.0,136996.0,55012.0,47054.0,24480.0,24416.0,production_cost_styleA_202401.csv,22731.0,-7958.0,-64.0,193757.0,208466.0,14709.0,0.07591467663103785,9,正常
P011,PartA,2024-01-01,ライン1,62,57,73997.0,70587.0,60829.0,63162.0,33856.0,33424.0,production_cost_styleA_202401.csv,-3410.0,2333.0,-432.0,168682.0,167173.0,-1509.0,-0.008945827059200152,-5,正常
P012,PartB,2024-01-01,ライン1,114,122,51722.0,52487.0,63243.0,57345.0,37268.0,39370.0,production_cost_styleA_202401.csv,765.0,-5898.0,2102.0,152233.0,149202.0,-3031.0,-0.01991026912693043,8,正常
P013,PartC,2024-01-01,ライン1,78,72,50487.0,60016.0,63326.0,69961.0,38787.0,38906.0,production_cost_styleA_202401.csv,9529.0,6635.0,119.0,152600.0,168883.0,16283.0,0.1067038007863696,-6,超過
P014,SubAsmX,2024-01-01,ライン1,77,73,145842.0,161157.0,56538.0,57429.0,16114.0,17909.0,production_cost_styleA_202401.csv,15315.0,891.0,1795.0,218494.0,236495.0,18001.0,0.0823867016943257,-4,正常
P015,SubAsmY,2024-01-01,ライン1,185,188,123291.0,147225.0,26712.0,29990.0,24519.0,21964.0,production_cost_styleA_202401.csv,23934.0,3278.0,-2555.0,174522.0,199179.0,24657.0,0.14128304740949565,3,超過
P016,FinGoodA,2024-01-01,ライン1,111,120,62848.0,69399.0,49159.0,54387.0,12769.0,10871.0,production_cost_styleA_202401.csv,6551.0,5228.0,-1898.0,124776.0,134657.0,9881.0,0.07918990831570173,9,正常
P017,FinGoodB,2024-01-01,ライン1,171,159,129151.0,151309.0,56396.0,62154.0,48575.0,52264.0,production_cost_styleA_202401.csv,22158.0,5758.0,3689.0,234122.0,265727.0,31605.0,0.13499372122226874,-12,超過
P018,FinGoodC,2024-01-01,ライン1,129,133,106013.0,95323.0,73977.0,61076.0,28059.0,22684.0,production_cost_styleA_202401.csv,-10690.0,-12901.0,-5375.0,208049.0,179083.0,-28966.0,-0.13922681675951337,4,節約
P019,FinGoodD,2024-01-01,ライン1,191,180,60649.0,70484.0,57866.0,66190.0,19158.0,15869.0,production_cost_styleA_202401.csv,9835.0,8324.0,-3289.0,137673.0,152543.0,14870.0,0.10800955888227902,-11,超過
P020,FinGoodE,2024-01-01,ライン1,110,109,130885.0,134875.0,63401.0,56883.0,45295.0,44806.0,production_cost_styleA_202401.csv,3990.0,-6518.0,-489.0,239581.0,236564.0,-3017.0,-0.012592818295273832,-1,正常
P001,部品A,2024-01-01,ライン2,154,141,114658.0,125164.0,45415.0,48564.0,28681.0,34236.0,production_cost_styleA_202401.csv,10506.0,3149.0,5555.0,188754.0,207964.0,19210.0,0.10177267766510908,-13,超過
P002,部品B,2024-01-01,ライン2,75,66,170089.0,172558.0,26556.0,22734.0,17664.0,15427.0,production_cost_styleA_202401.csv,2469.0,-3822.0,-2237.0,214309.0,210719.0,-3590.0,-0.016751513002253755,-9,正常
P003,部品C,2024-01-01,ライン2,168,182,116470.0,95532.0,71681.0,85997.0,32013.0,36316.0,production_cost_styleA_202401.csv,-20938.0,14316.0,4303.0,220164.0,217845.0,-2319.0,-0.010533057175560037,14,正常
