Date,LineName,Category,PlannedQty,ActualQty,DefectQty,WorkHours
2024-01-01,LINE-A,電子部品,765,459,10,9.6
2024-01-01,LINE-A,機械部品,498,326,4,11.2
2024-01-01,LINE-A,樹脂成型,272,292,11,9.8
2024-01-01,LINE-A,金属加工,402,387,12,11.5
2024-01-01,LINE-B,電子部品,345,217,3,10.5
2024-01-01,LINE-B,機械部品,782,728,17,7.8
2024-01-01,LINE-B,樹脂成型,612,581,14,6.5
2024-01-01,LINE-B,金属加工,240,244,7,6.2
2024-01-01,LINE-C,電子部品,434,456,13,11.7
2024-01-01,LINE-C,機械部品,475,488,4,9.1
2024-01-01,LINE-C,樹脂成型,652,557,16,9.8
2024-01-01,LINE-C,金属加工,703,661,13,7.9
2024-01-01,LINE-D,電子部品,307,275,9,7.7
2024-01-01,LINE-D,機械部品,610,588,13,7.9
2024-01-01,LINE-D,樹脂成型,531,547,23,10.9
2024-01-01,LINE-D,金属加工,201,193,3,7.1
2024-01-01,LINE-E,電子部品,570,541,11,6.3
2024-01-01,LINE-E,機械部品,473,510,11,10.2
2024-01-01,LINE-E,樹脂成型,324,233,9,10.3
2024-01-01,LINE-E,金属加工,518,500,2,12.0
2024-01-02,LINE-A,電子部品,316,263,10,9.0
2024-01-02,LINE-A,機械部品,498,439,18,11.9
2024-01-02,LINE-A,樹脂成型,449,378,3,9.6
2024-01-02,LINE-A,金属加工,339,299,11,8.5
2024-01-02,LINE-B,電子部品,719,575,20,11.0
2024-01-02,LINE-B,機械部品,793,750,5,9.2
2024-01-02,LINE-B,樹脂成型,553,568,10,11.6
2024-01-02,LINE-B,金属加工,393,342,6,11.1
2024-01-02,LINE-C,電子部品,620,459,16,10.9
2024-01-02,LINE-C,機械部品,595,617,20,6.9
2024-01-02,LINE-C,樹脂成型,237,258,4,6.6
2024-01-02,LINE-C,金属加工,650,502,0,6.9
2024-01-02,LINE-D,電子部品,358,267,3,9.7
2024-01-02,LINE-D,機械部品,607,640,27,11.2
2024-01-02,LINE-D,樹脂成型,589,581,25,8.9
2024-01-02,LINE-D,金属加工,754,462,14,11.5
2024-01-02,LINE-E,電子部品,432,401,1,9.8
2024-01-02,LINE-E,機械部品,302,304,13,6.3
2024-01-02,LINE-E,樹脂成型,257,234,1,9.2
2024-01-02,LINE-E,金属加工,779,665,5,9.7
2024-01-03,LINE-A,電子部品,591,515,23,6.9
2024-01-03,LINE-A,機械部品,672,630,21,11.4
2024-01-03,LINE-A,樹脂成型,676,678,5,8.7
2024-01-03,LINE-A,金属加工,553,492,23,10.1
2024-01-03,LINE-B,電子部品,667,573,11,8.9
2024-01-03,LINE-B,機械部品,442,401,5,10.2
2024-01-03,LINE-B,樹脂成型,222,221,3,9.4
2024-01-03,LINE-B,金属加工,250,255,10,11.4
2024-01-03,LINE-C,電子部品,435,393,12,9.7
2024-01-03,LINE-C,機械部品,340,364,11,7.9
2024-01-03,LINE-C,樹脂成型,651,435,2,11.5
2024-01-03,LINE-C,金属加工,534,455,3,9.2
2024-01-03,LINE-D,電子部品,574,616,25,7.5
2024-01-03,LINE-D,機械部品,693,615,26,10.8
2024-01-03,LINE-D,樹脂成型,679,571,27,11.2
2024-01-03,LINE-D,金属加工,606,631,11,10.7
2024-01-03,LINE-E,電子部品,214,179,3,10.5
2024-01-03,LINE-E,機械部品,468,489,22,6.7
2024-01-03,LINE-E,樹脂成型,439,432,20,8.0
2024-01-03,LINE-E,金属加工,426,422,9,10.2
2024-01-04,LINE-A,電子部品,618,502,0,12.0
2024-01-04,LINE-A,機械部品,318,244,1,8.7
2024-01-04,LINE-A,樹脂成型,753,770,5,8.5
2024-01-04,LINE-A,金属加工,301,296,13,7.7
2024-01-04,LINE-B,電子部品,579,540,6,8.2
2024-01-04,LINE-B,機械部品,576,629,11,8.4
2024-01-04,LINE-B,樹脂成型,394,427,17,6.6
2024-01-04,LINE-B,金属加工,417,408,0,10.7
2024-01-04,LINE-C,電子部品,449,465,4,11.0
