集計日,製造ライン,品種,目標生産数,生産実績数,不良品数,稼働時間
2024/01/01,LINE-A,電子部品,350,289,13,10.9
2024/01/01,LINE-A,機械部品,557,514,10,8.2
2024/01/01,LINE-A,樹脂成型,595,542,0,11.6
2024/01/01,LINE-A,金属加工,543,456,6,11.0
2024/01/01,LINE-B,電子部品,342,321,9,11.4
2024/01/01,LINE-B,機械部品,219,230,6,10.4
2024/01/01,LINE-B,樹脂成型,740,764,9,6.7
2024/01/01,LINE-B,金属加工,444,460,10,6.7
2024/01/01,LINE-C,電子部品,711,572,14,7.5
2024/01/01,LINE-C,機械部品,347,277,4,9.4
2024/01/01,LINE-C,樹脂成型,391,322,15,6.4
2024/01/01,LINE-C,金属加工,738,764,19,6.1
2024/01/01,LINE-D,電子部品,681,458,8,10.5
2024/01/01,LINE-D,機械部品,565,510,18,9.8
2024/01/01,LINE-D,樹脂成型,795,715,1,9.3
2024/01/01,LINE-D,金属加工,379,381,18,8.9
2024/01/01,LINE-E,電子部品,386,316,12,8.7
2024/01/01,LINE-E,機械部品,500,518,22,7.9
2024/01/01,LINE-E,樹脂成型,517,567,15,7.5
2024/01/01,LINE-E,金属加工,395,418,0,9.9
2024/01/02,LINE-A,電子部品,479,436,19,10.5
2024/01/02,LINE-A,機械部品,595,509,17,8.2
2024/01/02,LINE-A,樹脂成型,731,602,12,8.6
2024/01/02,LINE-A,金属加工,384,344,1,10.0
2024/01/02,LINE-B,電子部品,513,520,4,8.7
2024/01/02,LINE-B,機械部品,657,502,8,12.0
2024/01/02,LINE-B,樹脂成型,481,499,1,10.0
2024/01/02,LINE-B,金属加工,615,639,21,11.7
2024/01/02,LINE-C,電子部品,346,347,7,6.8
2024/01/02,LINE-C,機械部品,441,401,7,9.4
2024/01/02,LINE-C,樹脂成型,357,387,7,10.6
2024/01/02,LINE-C,金属加工,787,716,11,7.7
2024/01/02,LINE-D,電子部品,316,200,5,11.5
2024/01/02,LINE-D,機械部品,320,280,6,12.0
2024/01/02,LINE-D,樹脂成型,492,540,5,6.8
2024/01/02,LINE-D,金属加工,275,294,6,6.5
2024/01/02,LINE-E,電子部品,527,533,14,7.7
2024/01/02,LINE-E,機械部品,507,513,23,9.8
2024/01/02,LINE-E,樹脂成型,570,476,4,6.8
2024/01/02,LINE-E,金属加工,705,497,9,10.8
2024/01/03,LINE-A,電子部品,764,813,2,8.4
2024/01/03,LINE-A,機械部品,690,711,29,6.4
2024/01/03,LINE-A,樹脂成型,524,489,16,8.1
2024/01/03,LINE-A,金属加工,764,652,31,8.6
2024/01/03,LINE-B,電子部品,256,244,3,7.0
2024/01/03,LINE-B,機械部品,430,465,20,11.1
2024/01/03,LINE-B,樹脂成型,456,495,6,9.8
2024/01/03,LINE-B,金属加工,746,538,15,9.5
2024/01/03,LINE-C,電子部品,375,381,11,11.1
2024/01/03,LINE-C,機械部品,777,593,2,11.7
2024/01/03,LINE-C,樹脂成型,790,681,19,9.7
2024/01/03,LINE-C,金属加工,231,228,3,11.7
2024/01/03,LINE-D,電子部品,694,723,14,8.7
2024/01/03,LINE-D,機械部品,261,241,5,8.0
2024/01/03,LINE-D,樹脂成型,347,352,12,11.2
2024/01/03,LINE-D,金属加工,608,553,15,7.9
2024/01/03,LINE-E,電子部品,677,632,4,6.3
2024/01/03,LINE-E,機械部品,593,548,26,11.4
2024/01/03,LINE-E,樹脂成型,535,543,5,7.0
2024/01/03,LINE-E,金属加工,727,773,19,6.5
2024/01/04,LINE-A,電子部品,602,656,7,8.1
2024/01/04,LINE-A,機械部品,251,245,10,10.0
2024/01/04,LINE-A,樹脂成型,492,518,11,11.3
2024/01/04,LINE-A,金属加工,574,522,10,9.4
2024/01/04,LINE-B,電子部品,399,353,6,8.7
2024/01/04,LINE-B,機械部品,763,836,28,6.7
2024/01/04,LINE-B,樹脂成型,299,310,5,11.6
2024/01/04,LINE-B,金属加工,347,330,8,6.3
2024/01/04,LINE-C,電子部品,340,354,9,6.9
2024/01/04,LINE-C,機械部品,727,784,12,8.4
2024/01/04,LINE-C,樹脂成型,506,481,12,8.9
2024/01/04,LINE-C,金属加工,776,810,14,10.0
2024/01/04,LINE-D,電子部品,626,650,23,10.1
2024/01/04,LINE-D,機械部品,227,199,6,11.8
2024/01/04,LINE-D,樹脂成型,792,805,23,7.0
2024/01/04,LINE-D,金属加工,589,591,0,11.7
2024/01/04,LINE-E,電子部品,312,290,6,8.5
2024/01/04,LINE-E,機械部品,408,421,19,11.2
2024/01/04,LINE-E,樹脂成型,263,251,7,12.0
2024/01/04,LINE-E,金属加工,689,616,5,11.5
2024/01/05,LINE-A,電子部品,550,551,23,10.1
2024/01/05,LINE-A,機械部品,470,403,4,9.3
2024/01/05,LINE-A,樹脂成型,430,470,18,10.2
2024/01/05,LINE-A,金属加工,700,633,29,10.8
2024/01/05,LINE-B,電子部品,480,466,12,11.4
2024/01/05,LINE-B,機械部品,604,656,26,7.7
2024/01/05,LINE-B,樹脂成型,494,406,18,9.9
2024/01/05,LINE-B,金属加工,690,723,9,9.4
2024/01/05,LINE-C,電子部品,478,470,13,7.5
2024/01/05,LINE-C,機械部品,743,646,3,8.0
2024/01/05,LINE-C,樹脂成型,683,704,0,9.3
2024/01/05,LINE-C,金属加工,361,390,17,8.9
2024/01/05,LINE-D,電子部品,404,358,5,6.4
2024/01/05,LINE-D,機械部品,291,253,9,11.1
2024/01/05,LINE-D,樹脂成型,238,202,8,7.1
2024/01/05,LINE-D,金属加工,237,217,5,11.6
2024/01/05,LINE-E,電子部品,496,398,11,6.6
2024/01/05,LINE-E,機械部品,543,595,16,9.0
2024/01/05,LINE-E,樹脂成型,337,316,3,6.7
2024/01/05,LINE-E,金属加工,366,363,13,6.1
2024/01/06,LINE-A,電子部品,545,528,19,7.1
2024/01/06,LINE-A,機械部品,615,587,2,10.0
2024/01/06,LINE-A,樹脂成型,389,366,17,6.0
2024/01/06,LINE-A,金属加工,592,607,28,7.8
2024/01/06,LINE-B,電子部品,786,569,19,6.4
2024/01/06,LINE-B,機械部品,321,272,9,11.5
2024/01/06,LINE-B,樹脂成型,518,513,24,8.2
2024/01/06,LINE-B,金属加工,426,357,2,10.5
2024/01/06,LINE-C,電子部品,582,561,13,9.2
2024/01/06,LINE-C,機械部品,423,424,12,10.7
2024/01/06,LINE-C,樹脂成型,738,746,2,9.4
2024/01/06,LINE-C,金属加工,263,281,2,9.2
2024/01/06,LINE-D,電子部品,368,351,2,7.2
2024/01/06,LINE-D,機械部品,797,852,18,6.3
2024/01/06,LINE-D,樹脂成型,335,313,0,8.8
2024/01/06,LINE-D,金属加工,515,473,19,10.5
2024/01/06,LINE-E,電子部品,792,538,18,9.2
2024/01/06,LINE-E,機械部品,261,214,9,6.2
2024/01/06,LINE-E,樹脂成型,618,519,16,10.4
2024/01/06,LINE-E,金属加工,630,672,15,11.5
2024/01/07,LINE-A,電子部品,586,588,19,9.2
2024/01/07,LINE-A,機械部品,556,610,11,6.8
2024/01/07,LINE-A,樹脂成型,428,439,21,8.8
2024/01/07,LINE-A,金属加工,757,691,7,8.8
2024/01/07,LINE-B,電子部品,358,387,14,6.7
2024/01/07,LINE-B,機械部品,629,679,30,7.4
2024/01/07,LINE-B,樹脂成型,268,217,6,10.2
2024/01/07,LINE-B,金属加工,249,202,4,9.2
2024/01/07,LINE-C,電子部品,257,282,3,11.5
2024/01/07,LINE-C,機械部品,789,772,25,7.9
2024/01/07,LINE-C,樹脂成型,509,557,14,8.5
2024/01/07,LINE-C,金属加工,481,375,16,11.5
2024/01/07,LINE-D,電子部品,637,518,8,9.9
2024/01/07,LINE-D,機械部品,590,528,10,6.9
2024/01/07,LINE-D,樹脂成型,585,562,6,7.4
2024/01/07,LINE-D,金属加工,347,372,10,11.8
2024/01/07,LINE-E,電子部品,770,705,8,8.0
2024/01/07,LINE-E,機械部品,280,295,1,10.3
2024/01/07,LINE-E,樹脂成型,395,265,8,6.2
2024/01/07,LINE-E,金属加工,274,281,10,9.4
