date,line_name,category,planned_qty,actual_qty,defect_qty,work_hours,source_file,achievement_rate,defect_rate,variance_qty,achievement_flag
2024-01-01,LINE-A,電子部品,314,204,2,10.4,production_styleA_202401.csv,0.6496815286624203,0.00980392156862745,-110,未達
2024-01-01,LINE-A,機械部品,758,515,0,7.3,production_styleA_202401.csv,0.679419525065963,0.0,-243,未達
2024-01-01,LINE-A,樹脂成型,717,694,24,10.2,production_styleA_202401.csv,0.9679218967921897,0.0345821325648415,-23,未達
2024-01-01,LINE-A,金属加工,629,614,24,6.0,production_styleA_202401.csv,0.9761526232114467,0.03908794788273615,-15,未達
2024-01-01,LINE-B,電子部品,363,327,2,11.7,production_styleA_202401.csv,0.9008264462809917,0.0061162079510703364,-36,未達
2024-01-01,LINE-B,機械部品,544,497,8,8.1,production_styleA_202401.csv,0.9136029411764706,0.01609657947686117,-47,未達
2024-01-01,LINE-B,樹脂成型,470,478,12,11.8,production_styleA_202401.csv,1.0170212765957447,0.02510460251046025,8,達成
2024-01-01,LINE-B,金属加工,587,384,12,11.3,production_styleA_202401.csv,0.6541737649063032,0.03125,-203,未達
2024-01-01,LINE-C,電子部品,570,576,1,7.4,production_styleA_202401.csv,1.0105263157894737,0.001736111111111111,6,達成
2024-01-01,LINE-C,機械部品,496,524,22,8.3,production_styleA_202401.csv,1.0564516129032258,0.04198473282442748,28,達成
2024-01-01,LINE-C,樹脂成型,664,603,11,7.3,production_styleA_202401.csv,0.9081325301204819,0.01824212271973466,-61,未達
2024-01-01,LINE-C,金属加工,473,475,1,9.8,production_styleA_202401.csv,1.0042283298097252,0.002105263157894737,2,達成
2024-01-01,LINE-D,電子部品,746,633,12,11.9,production_styleA_202401.csv,0.8485254691689008,0.018957345971563982,-113,未達
2024-01-01,LINE-D,機械部品,770,690,26,6.3,production_styleA_202401.csv,0.8961038961038961,0.03768115942028986,-80,未達
2024-01-01,LINE-D,樹脂成型,232,213,0,11.5,production_styleA_202401.csv,0.9181034482758621,0.0,-19,未達
2024-01-01,LINE-D,金属加工,780,697,22,8.4,production_styleA_202401.csv,0.8935897435897436,0.03156384505021521,-83,未達
2024-01-01,LINE-E,電子部品,669,563,20,9.2,production_styleA_202401.csv,0.8415545590433483,0.035523978685612786,-106,未達
2024-01-01,LINE-E,機械部品,798,778,14,12.0,production_styleA_202401.csv,0.974937343358396,0.017994858611825194,-20,未達
2024-01-01,LINE-E,樹脂成型,341,282,0,6.7,production_styleA_202401.csv,0.8269794721407625,0.0,-59,未達
2024-01-01,LINE-E,金属加工,363,336,1,8.3,production_styleA_202401.csv,0.9256198347107438,0.002976190476190476,-27,未達
2024-01-02,LINE-A,電子部品,679,741,31,6.1,production_styleA_202401.csv,1.0913107511045654,0.04183535762483131,62,達成
2024-01-02,LINE-A,機械部品,317,304,4,9.8,production_styleA_202401.csv,0.9589905362776026,0.013157894736842105,-13,未達
2024-01-02,LINE-A,樹脂成型,314,266,0,10.3,production_styleA_202401.csv,0.8471337579617835,0.0,-48,未達
2024-01-02,LINE-A,金属加工,469,482,12,6.6,production_styleA_202401.csv,1.0277185501066097,0.024896265560165973,13,達成
2024-01-02,LINE-B,電子部品,505,480,4,8.2,production_styleA_202401.csv,0.9504950495049505,0.008333333333333333,-25,未達
2024-01-02,LINE-B,機械部品,365,377,9,6.0,production_styleA_202401.csv,1.0328767123287672,0.023872679045092837,12,達成
2024-01-02,LINE-B,樹脂成型,531,442,8,11.9,production_styleA_202401.csv,0.832391713747646,0.01809954751131222,-89,未達
2024-01-02,LINE-B,金属加工,514,448,12,6.5,production_styleA_202401.csv,0.8715953307392996,0.026785714285714284,-66,未達
2024-01-02,LINE-C,電子部品,697,762,20,6.8,production_styleA_202401.csv,1.0932568149210904,0.026246719160104987,65,達成
2024-01-02,LINE-C,機械部品,686,582,15,9.6,production_styleA_202401.csv,0.8483965014577259,0.02577319587628866,-104,未達
2024-01-02,LINE-C,樹脂成型,416,427,14,10.3,production_styleA_202401.csv,1.0264423076923077,0.03278688524590164,11,達成
2024-01-02,LINE-C,金属加工,608,604,13,9.1,production_styleA_202401.csv,0.993421052631579,0.02152317880794702,-4,未達
2024-01-02,LINE-D,電子部品,323,264,0,9.3,production_styleA_202401.csv,0.8173374613003096,0.0,-59,未達
2024-01-02,LINE-D,機械部品,425,312,0,6.4,production_styleA_202401.csv,0.7341176470588235,0.0,-113,未達
2024-01-02,LINE-D,樹脂成型,232,190,2,10.0,production_styleA_202401.csv,0.8189655172413793,0.010526315789473684,-42,未達
2024-01-02,LINE-D,金属加工,419,426,18,9.5,production_styleA_202401.csv,1.0167064439140812,0.04225352112676056,7,達成
2024-01-02,LINE-E,電子部品,448,466,4,6.6,production_styleA_202401.csv,1.0401785714285714,0.008583690987124463,18,達成
2024-01-02,LINE-E,機械部品,641,591,25,6.3,production_styleA_202401.csv,0.921996879875195,0.04230118443316413,-50,未達
2024-01-02,LINE-E,樹脂成型,300,221,8,6.7,production_styleA_202401.csv,0.7366666666666667,0.03619909502262444,-79,未達
2024-01-02,LINE-E,金属加工,396,370,7,7.7,production_styleA_202401.csv,0.9343434343434344,0.01891891891891892,-26,未達
2024-01-03,LINE-A,電子部品,455,374,15,11.1,production_styleA_202401.csv,0.8219780219780219,0.040106951871657755,-81,未達
2024-01-03,LINE-A,機械部品,300,236,9,11.8,production_styleA_202401.csv,0.7866666666666666,0.038135593220338986,-64,未達
2024-01-03,LINE-A,樹脂成型,442,417,4,8.4,production_styleA_202401.csv,0.9434389140271493,0.009592326139088728,-25,未達
2024-01-03,LINE-A,金属加工,260,208,4,11.6,production_styleA_202401.csv,0.8,0.019230769230769232,-52,未達
2024-01-03,LINE-B,電子部品,665,670,24,10.7,production_styleA_202401.csv,1.0075187969924813,0.03582089552238806,5,達成
2024-01-03,LINE-B,機械部品,698,620,30,9.5,production_styleA_202401.csv,0.8882521489971347,0.04838709677419355,-78,未達
2024-01-03,LINE-B,樹脂成型,755,497,1,8.9,production_styleA_202401.csv,0.6582781456953642,0.002012072434607646,-258,未達
2024-01-03,LINE-B,金属加工,743,808,3,7.1,production_styleA_202401.csv,1.0874831763122477,0.0037128712871287127,65,達成
2024-01-03,LINE-C,電子部品,269,234,1,11.3,production_styleA_202401.csv,0.8698884758364313,0.004273504273504274,-35,未達
2024-01-03,LINE-C,機械部品,452,366,1,9.9,production_styleA_202401.csv,0.8097345132743363,0.00273224043715847,-86,未達
2024-01-03,LINE-C,樹脂成型,778,840,8,10.3,production_styleA_202401.csv,1.0796915167095116,0.009523809523809525,62,達成
2024-01-03,LINE-C,金属加工,444,372,12,8.7,production_styleA_202401.csv,0.8378378378378378,0.03225806451612903,-72,未達
2024-01-03,LINE-D,電子部品,274,196,5,6.6,production_styleA_202401.csv,0.7153284671532847,0.025510204081632654,-78,未達
2024-01-03,LINE-D,機械部品,750,659,30,11.3,production_styleA_202401.csv,0.8786666666666667,0.04552352048558422,-91,未達
2024-01-03,LINE-D,樹脂成型,450,381,15,10.2,production_styleA_202401.csv,0.8466666666666667,0.03937007874015748,-69,未達
2024-01-03,LINE-D,金属加工,741,559,8,10.0,production_styleA_202401.csv,0.7543859649122807,0.014311270125223614,-182,未達
2024-01-03,LINE-E,電子部品,337,359,13,6.9,production_styleA_202401.csv,1.0652818991097923,0.036211699164345405,22,達成
2024-01-03,LINE-E,機械部品,488,495,5,9.8,production_styleA_202401.csv,1.014344262295082,0.010101010101010102,7,達成
2024-01-03,LINE-E,樹脂成型,470,411,18,6.3,production_styleA_202401.csv,0.874468085106383,0.043795620437956206,-59,未達
2024-01-03,LINE-E,金属加工,633,514,8,6.8,production_styleA_202401.csv,0.8120063191153238,0.01556420233463035,-119,未達
2024-01-04,LINE-A,電子部品,468,436,15,9.4,production_styleA_202401.csv,0.9316239316239316,0.034403669724770644,-32,未達
2024-01-04,LINE-A,機械部品,314,241,10,9.3,production_styleA_202401.csv,0.767515923566879,0.04149377593360996,-73,未達
2024-01-04,LINE-A,樹脂成型,578,488,3,7.8,production_styleA_202401.csv,0.8442906574394463,0.006147540983606557,-90,未達
2024-01-04,LINE-A,金属加工,240,207,2,6.6,production_styleA_202401.csv,0.8625,0.00966183574879227,-33,未達
2024-01-04,LINE-B,電子部品,773,712,22,6.9,production_styleA_202401.csv,0.9210866752910737,0.03089887640449438,-61,未達
2024-01-04,LINE-B,機械部品,442,483,19,11.3,production_styleA_202401.csv,1.092760180995475,0.039337474120082816,41,達成
2024-01-04,LINE-B,樹脂成型,225,242,9,8.5,production_styleA_202401.csv,1.0755555555555556,0.0371900826446281,17,達成
2024-01-04,LINE-B,金属加工,454,470,2,11.2,production_styleA_202401.csv,1.0352422907488987,0.00425531914893617,16,達成
2024-01-04,LINE-C,電子部品,681,711,16,7.8,production_styleA_202401.csv,1.0440528634361232,0.02250351617440225,30,達成
2024-01-04,LINE-C,機械部品,433,432,8,7.7,production_styleA_202401.csv,0.9976905311778291,0.018518518518518517,-1,未達
2024-01-04,LINE-C,樹脂成型,271,239,7,8.4,production_styleA_202401.csv,0.8819188191881919,0.029288702928870293,-32,未達
2024-01-04,LINE-C,金属加工,749,605,26,7.6,production_styleA_202401.csv,0.807743658210948,0.04297520661157025,-144,未達
2024-01-04,LINE-D,電子部品,794,698,3,8.6,production_styleA_202401.csv,0.8790931989924433,0.004297994269340974,-96,未達
2024-01-04,LINE-D,機械部品,521,570,3,11.4,production_styleA_202401.csv,1.0940499040307101,0.005263157894736842,49,達成
2024-01-04,LINE-D,樹脂成型,394,398,0,11.6,production_styleA_202401.csv,1.0101522842639594,0.0,4,達成
2024-01-04,LINE-D,金属加工,751,812,29,7.2,production_styleA_202401.csv,1.0812250332889481,0.03571428571428571,61,達成
2024-01-04,LINE-E,電子部品,641,465,7,7.9,production_styleA_202401.csv,0.7254290171606864,0.015053763440860216,-176,未達
2024-01-04,LINE-E,機械部品,327,291,4,8.5,production_styleA_202401.csv,0.8899082568807339,0.013745704467353952,-36,未達
2024-01-04,LINE-E,樹脂成型,612,591,5,10.0,production_styleA_202401.csv,0.9656862745098039,0.008460236886632826,-21,未達
2024-01-04,LINE-E,金属加工,588,629,19,7.8,production_styleA_202401.csv,1.0697278911564625,0.030206677265500796,41,達成
