仕入日,原材料コード,原材料名,カテゴリ,仕入先,数量,単価,前月単価
2024/01/11,MAT-004,形鋼(H鋼),鉄鋼,SUP-A,38.92,94469.0,82618.0
2024/01/05,MAT-008,亜鉛地金,非鉄金属,SUP-B,5.61,503680.0,456044.0
2024/01/03,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,7.28,83439.0,87986.0
2024/01/02,MAT-019,アセトン,化学品,SUP-D,32.55,85252.0,87226.0
2024/01/09,MAT-001,熱延鋼板,鉄鋼,SUP-A,28.17,64588.0,91581.0
2024/01/26,MAT-008,亜鉛地金,非鉄金属,SUP-E,18.37,526636.0,455076.0
2024/01/09,MAT-001,熱延鋼板,鉄鋼,SUP-E,10.54,62282.0,76184.0
2024/01/10,MAT-018,エタノール,化学品,SUP-D,34.47,140622.0,118468.0
2024/01/11,MAT-015,ポリカーボネート,樹脂,SUP-E,19.15,397063.0,453378.0
2024/01/31,MAT-001,熱延鋼板,鉄鋼,SUP-B,24.31,89062.0,83397.0
2024/01/11,MAT-014,PET樹脂,樹脂,SUP-C,41.8,218686.0,236431.0
2024/01/15,MAT-005,鋼管,鉄鋼,SUP-B,40.43,92683.0,101256.0
2024/01/17,MAT-004,形鋼(H鋼),鉄鋼,SUP-A,7.85,68021.0,84714.0
2024/01/16,MAT-004,形鋼(H鋼),鉄鋼,SUP-C,33.58,85690.0,77039.0
2024/01/02,MAT-020,塩酸,化学品,SUP-C,28.87,24880.0,29415.0
2024/01/04,MAT-015,ポリカーボネート,樹脂,SUP-E,24.08,586857.0,530612.0
2024/01/24,MAT-013,ナイロン66,樹脂,SUP-A,28.13,340502.0,369476.0
2024/01/16,MAT-010,チタン棒,非鉄金属,SUP-E,22.4,2450772.0,2543848.0
2024/01/31,MAT-019,アセトン,化学品,SUP-B,12.46,123925.0,99615.0
2024/01/30,MAT-003,ステンレス板,鉄鋼,SUP-A,28.29,217517.0,204102.0
2024/01/03,MAT-008,亜鉛地金,非鉄金属,SUP-C,40.89,298023.0,368346.0
2024/01/17,MAT-008,亜鉛地金,非鉄金属,SUP-A,36.4,363208.0,420132.0
2024/01/29,MAT-009,ニッケル板,非鉄金属,SUP-D,8.46,1745545.0,1783967.0
2024/01/16,MAT-012,ポリプロピレン,樹脂,SUP-B,15.77,163915.0,173506.0
2024/01/30,MAT-012,ポリプロピレン,樹脂,SUP-B,6.78,244161.0,209863.0
2024/01/26,MAT-009,ニッケル板,非鉄金属,SUP-A,14.03,2190071.0,1970374.0
2024/01/10,MAT-006,アルミ板,非鉄金属,SUP-E,23.02,300748.0,358650.0
2024/01/17,MAT-006,アルミ板,非鉄金属,SUP-D,23.33,302177.0,327605.0
2024/01/10,MAT-009,ニッケル板,非鉄金属,SUP-E,9.66,2175702.0,1971802.0
2024/01/10,MAT-011,ABS樹脂,樹脂,SUP-A,22.17,264626.0,256014.0
2024/01/17,MAT-002,冷延鋼板,鉄鋼,SUP-C,5.14,74996.0,91834.0
2024/01/09,MAT-009,ニッケル板,非鉄金属,SUP-A,17.16,1597445.0,1898643.0
2024/01/09,MAT-019,アセトン,化学品,SUP-C,9.36,93575.0,90636.0
2024/01/29,MAT-016,硫酸,化学品,SUP-D,29.95,27628.0,37969.0
2024/01/11,MAT-015,ポリカーボネート,樹脂,SUP-B,5.05,574842.0,576987.0
2024/01/24,MAT-005,鋼管,鉄鋼,SUP-B,29.01,82653.0,91149.0
2024/01/25,MAT-018,エタノール,化学品,SUP-C,26.51,110975.0,137236.0
2024/01/17,MAT-014,PET樹脂,樹脂,SUP-E,44.91,193854.0,189753.0
2024/01/05,MAT-012,ポリプロピレン,樹脂,SUP-B,33.94,224969.0,211483.0
2024/01/03,MAT-017,水酸化ナトリウム,化学品,SUP-D,38.66,51456.0,44115.0
2024/01/05,MAT-002,冷延鋼板,鉄鋼,SUP-A,2.83,95882.0,101102.0
2024/01/26,MAT-006,アルミ板,非鉄金属,SUP-D,40.6,354263.0,299928.0
2024/01/17,MAT-003,ステンレス板,鉄鋼,SUP-D,26.24,221812.0,188870.0
2024/01/23,MAT-020,塩酸,化学品,SUP-D,3.2,37453.0,31290.0
2024/01/01,MAT-009,ニッケル板,非鉄金属,SUP-E,37.68,2153264.0,1860466.0
2024/01/11,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,16.48,79897.0,75044.0
2024/01/12,MAT-011,ABS樹脂,樹脂,SUP-A,5.63,250777.0,277106.0
2024/01/19,MAT-014,PET樹脂,樹脂,SUP-B,12.81,218151.0,192637.0
2024/01/23,MAT-001,熱延鋼板,鉄鋼,SUP-C,9.78,88834.0,77259.0
2024/01/04,MAT-006,アルミ板,非鉄金属,SUP-E,16.21,380478.0,320071.0
2024/01/26,MAT-010,チタン棒,非鉄金属,SUP-E,8.05,2955003.0,2422584.0
2024/01/16,MAT-007,銅線,非鉄金属,SUP-B,6.97,1081852.0,1003848.0
2024/01/23,MAT-006,アルミ板,非鉄金属,SUP-E,10.79,372491.0,342942.0
2024/01/15,MAT-001,熱延鋼板,鉄鋼,SUP-E,7.42,96478.0,82388.0
2024/01/04,MAT-016,硫酸,化学品,SUP-A,15.75,42376.0,39784.0
2024/01/10,MAT-012,ポリプロピレン,樹脂,SUP-C,15.04,163025.0,201279.0
2024/01/25,MAT-002,冷延鋼板,鉄鋼,SUP-B,32.06,76854.0,89768.0
2024/01/22,MAT-003,ステンレス板,鉄鋼,SUP-A,48.35,268870.0,229175.0
2024/01/05,MAT-003,ステンレス板,鉄鋼,SUP-E,23.9,149623.0,185376.0
2024/01/24,MAT-005,鋼管,鉄鋼,SUP-D,41.64,86525.0,96886.0
2024/01/23,MAT-006,アルミ板,非鉄金属,SUP-C,30.69,324459.0,311607.0
2024/01/09,MAT-020,塩酸,化学品,SUP-D,19.34,32976.0,31087.0
2024/01/31,MAT-018,エタノール,化学品,SUP-B,23.24,120087.0,134226.0
2024/01/30,MAT-010,チタン棒,非鉄金属,SUP-D,41.01,1955096.0,2365159.0
2024/01/23,MAT-012,ポリプロピレン,樹脂,SUP-D,8.16,163429.0,176846.0
2024/01/10,MAT-015,ポリカーボネート,樹脂,SUP-A,46.13,417650.0,457003.0
2024/01/15,MAT-008,亜鉛地金,非鉄金属,SUP-A,6.66,445999.0,363726.0
2024/01/24,MAT-001,熱延鋼板,鉄鋼,SUP-E,29.97,76940.0,80359.0
2024/01/10,MAT-008,亜鉛地金,非鉄金属,SUP-E,25.72,413389.0,362478.0
2024/01/31,MAT-001,熱延鋼板,鉄鋼,SUP-A,9.89,78113.0,86816.0
2024/01/03,MAT-002,冷延鋼板,鉄鋼,SUP-B,21.4,103571.0,81006.0
2024/01/03,MAT-002,冷延鋼板,鉄鋼,SUP-C,41.84,79678.0,101483.0
2024/01/11,MAT-017,水酸化ナトリウム,化学品,SUP-B,45.23,58309.0,52024.0
2024/01/24,MAT-016,硫酸,化学品,SUP-B,32.48,30207.0,35379.0
2024/01/25,MAT-005,鋼管,鉄鋼,SUP-E,26.2,91312.0,92691.0
2024/01/22,MAT-016,硫酸,化学品,SUP-B,32.34,29758.0,34768.0
2024/01/04,MAT-014,PET樹脂,樹脂,SUP-B,21.43,195445.0,206382.0
2024/01/16,MAT-004,形鋼(H鋼),鉄鋼,SUP-D,17.05,78689.0,73247.0
2024/01/19,MAT-014,PET樹脂,樹脂,SUP-D,47.49,202372.0,203929.0
2024/01/02,MAT-002,冷延鋼板,鉄鋼,SUP-A,27.24,106529.0,100401.0
2024/01/04,MAT-013,ナイロン66,樹脂,SUP-C,27.1,421296.0,460301.0
2024/01/09,MAT-008,亜鉛地金,非鉄金属,SUP-B,10.92,427557.0,373645.0
2024/01/05,MAT-018,エタノール,化学品,SUP-D,31.1,111287.0,141348.0
2024/01/11,MAT-014,PET樹脂,樹脂,SUP-B,7.73,247645.0,221042.0
2024/01/03,MAT-015,ポリカーボネート,樹脂,SUP-B,39.35,556526.0,472268.0
2024/01/04,MAT-015,ポリカーボネート,樹脂,SUP-E,29.91,402590.0,519937.0
2024/01/01,MAT-002,冷延鋼板,鉄鋼,SUP-E,29.05,100183.0,99284.0
2024/01/08,MAT-003,ステンレス板,鉄鋼,SUP-B,40.16,246616.0,237168.0
2024/01/22,MAT-014,PET樹脂,樹脂,SUP-D,6.87,188046.0,225182.0
2024/01/02,MAT-007,銅線,非鉄金属,SUP-D,21.51,994863.0,931090.0
2024/01/01,MAT-006,アルミ板,非鉄金属,SUP-D,45.02,278787.0,306962.0
2024/01/19,MAT-013,ナイロン66,樹脂,SUP-C,16.41,417752.0,486260.0
2024/01/31,MAT-010,チタン棒,非鉄金属,SUP-D,22.46,2551235.0,2336565.0
2024/01/05,MAT-018,エタノール,化学品,SUP-D,46.87,119370.0,120363.0
2024/01/09,MAT-007,銅線,非鉄金属,SUP-C,49.34,1024458.0,867833.0
2024/01/24,MAT-002,冷延鋼板,鉄鋼,SUP-E,42.68,80154.0,94436.0
2024/01/02,MAT-002,冷延鋼板,鉄鋼,SUP-C,34.62,114314.0,86352.0
2024/01/22,MAT-002,冷延鋼板,鉄鋼,SUP-E,23.47,95345.0,103549.0
2024/01/08,MAT-017,水酸化ナトリウム,化学品,SUP-E,39.28,64089.0,53460.0
2024/01/03,MAT-002,冷延鋼板,鉄鋼,SUP-E,14.91,89123.0,105775.0
2024/01/26,MAT-006,アルミ板,非鉄金属,SUP-A,33.62,299447.0,358115.0
2024/01/17,MAT-003,ステンレス板,鉄鋼,SUP-B,2.42,194960.0,227436.0
2024/01/10,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,10.71,71343.0,67146.0
2024/01/02,MAT-019,アセトン,化学品,SUP-E,1.27,59514.0,87549.0
2024/01/18,MAT-020,塩酸,化学品,SUP-A,42.62,20014.0,30286.0
2024/01/23,MAT-019,アセトン,化学品,SUP-E,35.21,70590.0,86501.0
2024/01/09,MAT-011,ABS樹脂,樹脂,SUP-C,7.12,279522.0,254556.0
2024/01/11,MAT-011,ABS樹脂,樹脂,SUP-B,42.71,243315.0,222439.0
2024/01/30,MAT-013,ナイロン66,樹脂,SUP-B,14.27,529748.0,444389.0
2024/01/15,MAT-010,チタン棒,非鉄金属,SUP-D,3.67,2095501.0,2565061.0
2024/01/19,MAT-003,ステンレス板,鉄鋼,SUP-A,35.77,159024.0,190063.0
2024/01/04,MAT-020,塩酸,化学品,SUP-E,49.02,32458.0,29146.0
2024/01/09,MAT-003,ステンレス板,鉄鋼,SUP-E,29.05,232718.0,197485.0
2024/01/05,MAT-017,水酸化ナトリウム,化学品,SUP-C,29.32,57589.0,54345.0
2024/01/10,MAT-012,ポリプロピレン,樹脂,SUP-A,8.27,188924.0,196466.0
2024/01/08,MAT-012,ポリプロピレン,樹脂,SUP-C,6.84,169852.0,186399.0
2024/01/31,MAT-015,ポリカーボネート,樹脂,SUP-E,21.97,523245.0,496507.0
2024/01/29,MAT-010,チタン棒,非鉄金属,SUP-E,21.03,2250541.0,2173758.0
2024/01/30,MAT-017,水酸化ナトリウム,化学品,SUP-A,2.77,43593.0,44049.0
2024/01/30,MAT-018,エタノール,化学品,SUP-C,29.05,141096.0,130548.0
2024/01/11,MAT-004,形鋼(H鋼),鉄鋼,SUP-B,32.97,88250.0,79150.0
2024/01/24,MAT-004,形鋼(H鋼),鉄鋼,SUP-A,22.14,73934.0,78298.0
2024/01/12,MAT-005,鋼管,鉄鋼,SUP-C,37.1,112291.0,96105.0
2024/01/31,MAT-020,塩酸,化学品,SUP-B,26.49,28546.0,30834.0
2024/01/30,MAT-011,ABS樹脂,樹脂,SUP-B,25.21,223896.0,270137.0
2024/01/22,MAT-009,ニッケル板,非鉄金属,SUP-E,3.72,1557810.0,1668512.0
2024/01/03,MAT-009,ニッケル板,非鉄金属,SUP-A,16.38,1637197.0,2031581.0
2024/01/02,MAT-014,PET樹脂,樹脂,SUP-C,42.97,190814.0,221504.0
2024/01/05,MAT-001,熱延鋼板,鉄鋼,SUP-C,6.86,115537.0,97634.0
2024/01/19,MAT-009,ニッケル板,非鉄金属,SUP-B,38.83,2111431.0,1964001.0
2024/01/24,MAT-018,エタノール,化学品,SUP-D,20.0,91762.0,114090.0
2024/01/03,MAT-001,熱延鋼板,鉄鋼,SUP-A,26.73,81071.0,93576.0
2024/01/02,MAT-005,鋼管,鉄鋼,SUP-E,49.47,125056.0,110121.0
2024/01/24,MAT-012,ポリプロピレン,樹脂,SUP-E,7.94,165619.0,173055.0
2024/01/05,MAT-005,鋼管,鉄鋼,SUP-D,38.01,84885.0,85939.0
2024/01/16,MAT-002,冷延鋼板,鉄鋼,SUP-C,9.87,69213.0,84627.0
2024/01/09,MAT-002,冷延鋼板,鉄鋼,SUP-C,15.31,94990.0,91815.0
2024/01/16,MAT-008,亜鉛地金,非鉄金属,SUP-A,5.12,497441.0,437336.0
2024/01/26,MAT-018,エタノール,化学品,SUP-D,32.81,119832.0,108429.0
2024/01/08,MAT-005,鋼管,鉄鋼,SUP-B,18.96,99077.0,105921.0
2024/01/01,MAT-006,アルミ板,非鉄金属,SUP-D,24.65,365583.0,320460.0
2024/01/18,MAT-006,アルミ板,非鉄金属,SUP-C,45.57,347388.0,304697.0
2024/01/08,MAT-008,亜鉛地金,非鉄金属,SUP-C,25.44,342874.0,407218.0
2024/01/02,MAT-004,形鋼(H鋼),鉄鋼,SUP-D,45.95,64654.0,74229.0
2024/01/09,MAT-016,硫酸,化学品,SUP-B,10.39,24166.0,32979.0
2024/01/12,MAT-015,ポリカーボネート,樹脂,SUP-C,30.33,692501.0,530467.0
2024/01/01,MAT-008,亜鉛地金,非鉄金属,SUP-B,49.11,448866.0,452941.0
2024/01/15,MAT-007,銅線,非鉄金属,SUP-D,45.26,1259851.0,1062910.0
2024/01/11,MAT-009,ニッケル板,非鉄金属,SUP-A,43.47,1985644.0,1816749.0
2024/01/17,MAT-012,ポリプロピレン,樹脂,SUP-E,28.1,269403.0,226784.0
2024/01/01,MAT-018,エタノール,化学品,SUP-C,15.12,131167.0,119243.0
2024/01/08,MAT-004,形鋼(H鋼),鉄鋼,SUP-C,7.07,64926.0,89362.0
2024/01/02,MAT-019,アセトン,化学品,SUP-C,23.78,99714.0,103370.0
2024/01/18,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,5.16,98563.0,87938.0
2024/01/18,MAT-012,ポリプロピレン,樹脂,SUP-C,41.31,211026.0,174791.0
2024/01/04,MAT-020,塩酸,化学品,SUP-E,34.09,34472.0,31070.0
2024/01/09,MAT-013,ナイロン66,樹脂,SUP-E,37.23,324355.0,395755.0
2024/01/31,MAT-009,ニッケル板,非鉄金属,SUP-A,31.47,1489840.0,1858119.0
2024/01/23,MAT-014,PET樹脂,樹脂,SUP-A,34.19,301654.0,226069.0
2024/01/16,MAT-018,エタノール,化学品,SUP-B,12.65,129846.0,138250.0
