PurchaseDate,MaterialCode,MaterialName,Category,Supplier,Quantity,UnitPrice,PrevMonthPrice
2024-01-30,MAT-014,PET樹脂,樹脂,SUP-A,15.65,192212.0,200476.0
2024-01-15,MAT-011,ABS樹脂,樹脂,SUP-E,44.44,194623.0,233382.0
2024-01-23,MAT-004,形鋼(H鋼),鉄鋼,SUP-C,36.16,87845.0,73235.0
2024-01-15,MAT-010,チタン棒,非鉄金属,SUP-D,20.99,2722494.0,2643330.0
2024-01-24,MAT-013,ナイロン66,樹脂,SUP-C,35.34,462755.0,483574.0
2024-01-18,MAT-005,鋼管,鉄鋼,SUP-B,25.35,79036.0,83534.0
2024-01-26,MAT-013,ナイロン66,樹脂,SUP-B,10.9,530746.0,409785.0
2024-01-17,MAT-019,アセトン,化学品,SUP-C,21.6,105856.0,96164.0
2024-01-12,MAT-018,エタノール,化学品,SUP-A,14.94,105899.0,118450.0
2024-01-18,MAT-010,チタン棒,非鉄金属,SUP-B,45.54,2591616.0,2362614.0
2024-01-29,MAT-019,アセトン,化学品,SUP-E,33.02,80636.0,89941.0
2024-01-19,MAT-011,ABS樹脂,樹脂,SUP-D,8.62,227885.0,249519.0
2024-01-23,MAT-015,ポリカーボネート,樹脂,SUP-B,39.81,493887.0,506367.0
2024-01-30,MAT-016,硫酸,化学品,SUP-B,49.74,44164.0,39227.0
2024-01-23,MAT-003,ステンレス板,鉄鋼,SUP-C,39.59,189518.0,184919.0
2024-01-03,MAT-020,塩酸,化学品,SUP-C,32.99,27577.0,27437.0
2024-01-10,MAT-008,亜鉛地金,非鉄金属,SUP-C,2.76,304663.0,362176.0
2024-01-01,MAT-007,銅線,非鉄金属,SUP-B,13.06,1181474.0,924896.0
2024-01-22,MAT-002,冷延鋼板,鉄鋼,SUP-B,3.5,76181.0,79871.0
2024-01-19,MAT-020,塩酸,化学品,SUP-A,35.21,24965.0,27111.0
2024-01-09,MAT-014,PET樹脂,樹脂,SUP-E,21.41,243057.0,182830.0
2024-01-17,MAT-013,ナイロン66,樹脂,SUP-D,25.9,393025.0,421141.0
2024-01-29,MAT-008,亜鉛地金,非鉄金属,SUP-B,39.25,359517.0,397634.0
2024-01-18,MAT-001,熱延鋼板,鉄鋼,SUP-A,12.88,83793.0,78070.0
2024-01-31,MAT-008,亜鉛地金,非鉄金属,SUP-B,17.21,340109.0,415057.0
2024-01-02,MAT-017,水酸化ナトリウム,化学品,SUP-D,35.87,35043.0,42790.0
2024-01-04,MAT-018,エタノール,化学品,SUP-B,46.02,132997.0,110399.0
2024-01-19,MAT-015,ポリカーボネート,樹脂,SUP-B,31.39,538301.0,523800.0
2024-01-26,MAT-017,水酸化ナトリウム,化学品,SUP-E,42.62,30509.0,43144.0
2024-01-26,MAT-011,ABS樹脂,樹脂,SUP-D,38.87,248673.0,275781.0
2024-01-24,MAT-017,水酸化ナトリウム,化学品,SUP-D,23.27,54925.0,46006.0
2024-01-22,MAT-015,ポリカーボネート,樹脂,SUP-B,40.84,588296.0,525412.0
2024-01-10,MAT-015,ポリカーボネート,樹脂,SUP-C,11.6,412957.0,445451.0
2024-01-22,MAT-009,ニッケル板,非鉄金属,SUP-E,2.46,1344149.0,1664346.0
