購入日,品目コード,品目名,品種,取引先,購入数量,仕入単価,先月単価
2024/01/31,MAT-010,チタン棒,非鉄金属,SUP-C,29.7,2253722.0,2102724.0
2024/01/30,MAT-015,ポリカーボネート,樹脂,SUP-A,5.86,446218.0,460449.0
2024/01/29,MAT-008,亜鉛地金,非鉄金属,SUP-C,7.6,373543.0,402456.0
2024/01/18,MAT-019,アセトン,化学品,SUP-B,3.71,88915.0,98149.0
2024/01/10,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,11.06,80432.0,68636.0
2024/01/05,MAT-005,鋼管,鉄鋼,SUP-C,6.26,89184.0,85113.0
2024/01/08,MAT-003,ステンレス板,鉄鋼,SUP-A,42.77,238716.0,211642.0
2024/01/25,MAT-010,チタン棒,非鉄金属,SUP-E,49.84,3258278.0,2609565.0
2024/01/04,MAT-010,チタン棒,非鉄金属,SUP-D,29.27,2283423.0,2630258.0
2024/01/31,MAT-015,ポリカーボネート,樹脂,SUP-C,25.43,584375.0,491752.0
2024/01/23,MAT-013,ナイロン66,樹脂,SUP-C,20.48,346379.0,406920.0
2024/01/19,MAT-018,エタノール,化学品,SUP-D,10.47,147148.0,128350.0
2024/01/02,MAT-003,ステンレス板,鉄鋼,SUP-E,18.57,212406.0,218388.0
2024/01/26,MAT-014,PET樹脂,樹脂,SUP-C,46.41,195133.0,203987.0
2024/01/03,MAT-009,ニッケル板,非鉄金属,SUP-A,23.1,1908508.0,1938108.0
2024/01/25,MAT-008,亜鉛地金,非鉄金属,SUP-E,28.17,379730.0,404703.0
2024/01/25,MAT-001,熱延鋼板,鉄鋼,SUP-C,5.64,89505.0,82172.0
2024/01/22,MAT-002,冷延鋼板,鉄鋼,SUP-B,11.51,94025.0,85305.0
2024/01/11,MAT-017,水酸化ナトリウム,化学品,SUP-D,41.51,52398.0,50433.0
2024/01/18,MAT-006,アルミ板,非鉄金属,SUP-E,3.58,345182.0,360694.0
2024/01/22,MAT-016,硫酸,化学品,SUP-A,29.37,46429.0,35658.0
2024/01/15,MAT-012,ポリプロピレン,樹脂,SUP-D,2.3,225647.0,197787.0
2024/01/08,MAT-011,ABS樹脂,樹脂,SUP-A,23.82,204736.0,272839.0
2024/01/31,MAT-011,ABS樹脂,樹脂,SUP-D,19.28,199838.0,220053.0
2024/01/30,MAT-016,硫酸,化学品,SUP-C,38.97,40469.0,39887.0
2024/01/02,MAT-013,ナイロン66,樹脂,SUP-E,48.22,386910.0,442161.0
2024/01/15,MAT-015,ポリカーボネート,樹脂,SUP-A,44.03,468611.0,557577.0
2024/01/04,MAT-009,ニッケル板,非鉄金属,SUP-C,24.61,2277764.0,1909502.0
2024/01/01,MAT-013,ナイロン66,樹脂,SUP-E,21.82,368226.0,380773.0
2024/01/18,MAT-018,エタノール,化学品,SUP-D,39.94,107496.0,117642.0
2024/01/23,MAT-002,冷延鋼板,鉄鋼,SUP-B,43.84,71034.0,97247.0
2024/01/22,MAT-012,ポリプロピレン,樹脂,SUP-E,9.01,194942.0,205052.0
2024/01/09,MAT-015,ポリカーボネート,樹脂,SUP-A,2.96,470442.0,466292.0
2024/01/05,MAT-009,ニッケル板,非鉄金属,SUP-E,7.84,1524845.0,1626230.0
2024/01/31,MAT-010,チタン棒,非鉄金属,SUP-D,47.42,2952056.0,2627348.0
2024/01/01,MAT-016,硫酸,化学品,SUP-A,4.96,41818.0,36409.0
2024/01/31,MAT-020,塩酸,化学品,SUP-B,22.02,23039.0,28291.0
2024/01/24,MAT-006,アルミ板,非鉄金属,SUP-C,49.68,277296.0,339757.0
2024/01/18,MAT-001,熱延鋼板,鉄鋼,SUP-E,15.79,78626.0,96115.0
2024/01/04,MAT-003,ステンレス板,鉄鋼,SUP-B,42.04,190399.0,231087.0
2024/01/29,MAT-015,ポリカーボネート,樹脂,SUP-A,8.63,606848.0,520320.0
2024/01/31,MAT-005,鋼管,鉄鋼,SUP-D,20.46,90365.0,109500.0
2024/01/31,MAT-010,チタン棒,非鉄金属,SUP-E,16.22,2396160.0,2620418.0
2024/01/22,MAT-009,ニッケル板,非鉄金属,SUP-D,5.62,2202193.0,2033161.0
2024/01/19,MAT-016,硫酸,化学品,SUP-B,48.82,36596.0,31083.0
2024/01/17,MAT-018,エタノール,化学品,SUP-B,39.99,142395.0,139960.0
2024/01/23,MAT-007,銅線,非鉄金属,SUP-E,48.62,960582.0,967183.0
2024/01/11,MAT-005,鋼管,鉄鋼,SUP-A,19.93,80532.0,84185.0
2024/01/23,MAT-014,PET樹脂,樹脂,SUP-C,4.79,237542.0,242779.0
2024/01/12,MAT-009,ニッケル板,非鉄金属,SUP-A,31.0,2602106.0,2114033.0
2024/01/25,MAT-010,チタン棒,非鉄金属,SUP-E,11.72,3087993.0,2629263.0
2024/01/19,MAT-016,硫酸,化学品,SUP-B,12.58,38461.0,31799.0
2024/01/16,MAT-018,エタノール,化学品,SUP-D,28.86,131656.0,129725.0
2024/01/24,MAT-011,ABS樹脂,樹脂,SUP-E,10.89,284568.0,271764.0
2024/01/15,MAT-013,ナイロン66,樹脂,SUP-D,47.49,330015.0,394645.0
2024/01/25,MAT-007,銅線,非鉄金属,SUP-B,22.45,1008029.0,1059607.0
2024/01/18,MAT-013,ナイロン66,樹脂,SUP-B,27.48,417511.0,449762.0
2024/01/22,MAT-002,冷延鋼板,鉄鋼,SUP-C,33.97,87474.0,98125.0
2024/01/30,MAT-013,ナイロン66,樹脂,SUP-D,9.27,331986.0,379343.0
2024/01/02,MAT-005,鋼管,鉄鋼,SUP-D,25.38,94485.0,94176.0
2024/01/25,MAT-005,鋼管,鉄鋼,SUP-E,49.75,92920.0,93747.0
2024/01/19,MAT-011,ABS樹脂,樹脂,SUP-A,4.27,227354.0,255114.0
2024/01/19,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,3.49,86202.0,87284.0
2024/01/18,MAT-001,熱延鋼板,鉄鋼,SUP-B,24.3,64785.0,92185.0
2024/01/22,MAT-005,鋼管,鉄鋼,SUP-A,21.98,113992.0,99775.0
2024/01/26,MAT-009,ニッケル板,非鉄金属,SUP-C,18.04,2250370.0,2105626.0
2024/01/15,MAT-013,ナイロン66,樹脂,SUP-A,19.17,484521.0,430743.0
2024/01/15,MAT-018,エタノール,化学品,SUP-D,37.09,118923.0,134195.0
2024/01/02,MAT-016,硫酸,化学品,SUP-E,7.43,39503.0,37596.0
2024/01/10,MAT-020,塩酸,化学品,SUP-A,44.84,26875.0,31831.0
2024/01/03,MAT-010,チタン棒,非鉄金属,SUP-B,8.57,2126610.0,2320280.0
2024/01/29,MAT-014,PET樹脂,樹脂,SUP-A,44.26,210206.0,194049.0
2024/01/08,MAT-004,形鋼(H鋼),鉄鋼,SUP-D,18.53,62445.0,72698.0
2024/01/02,MAT-010,チタン棒,非鉄金属,SUP-A,16.11,2490532.0,2441469.0
2024/01/12,MAT-011,ABS樹脂,樹脂,SUP-A,4.43,292941.0,263227.0
2024/01/18,MAT-012,ポリプロピレン,樹脂,SUP-C,40.94,206015.0,182601.0
2024/01/23,MAT-005,鋼管,鉄鋼,SUP-B,18.68,91683.0,92891.0
2024/01/30,MAT-014,PET樹脂,樹脂,SUP-E,12.81,185428.0,200346.0
2024/01/08,MAT-006,アルミ板,非鉄金属,SUP-B,7.41,283219.0,307450.0
2024/01/17,MAT-003,ステンレス板,鉄鋼,SUP-E,12.56,245968.0,209870.0
2024/01/22,MAT-020,塩酸,化学品,SUP-B,32.51,34731.0,28954.0
2024/01/10,MAT-019,アセトン,化学品,SUP-B,44.6,104832.0,93887.0
2024/01/19,MAT-015,ポリカーボネート,樹脂,SUP-C,4.98,631755.0,495826.0
2024/01/19,MAT-009,ニッケル板,非鉄金属,SUP-A,28.84,1852654.0,1632805.0
2024/01/08,MAT-010,チタン棒,非鉄金属,SUP-E,12.03,3008944.0,2641429.0
2024/01/16,MAT-003,ステンレス板,鉄鋼,SUP-D,43.77,188670.0,203805.0
2024/01/29,MAT-019,アセトン,化学品,SUP-C,14.14,106469.0,90572.0
2024/01/19,MAT-014,PET樹脂,樹脂,SUP-C,28.29,169539.0,195339.0
2024/01/17,MAT-010,チタン棒,非鉄金属,SUP-B,3.84,2432236.0,2530543.0
2024/01/10,MAT-016,硫酸,化学品,SUP-A,34.39,33307.0,38276.0
2024/01/16,MAT-013,ナイロン66,樹脂,SUP-E,13.97,387713.0,452924.0
2024/01/31,MAT-019,アセトン,化学品,SUP-C,40.91,98550.0,108239.0
2024/01/30,MAT-010,チタン棒,非鉄金属,SUP-A,13.97,2072108.0,2129594.0
2024/01/01,MAT-013,ナイロン66,樹脂,SUP-C,39.01,450198.0,473231.0
2024/01/26,MAT-019,アセトン,化学品,SUP-A,11.44,53276.0,81851.0
2024/01/10,MAT-016,硫酸,化学品,SUP-C,11.19,34489.0,30685.0
2024/01/10,MAT-020,塩酸,化学品,SUP-C,20.37,24082.0,25386.0
2024/01/11,MAT-007,銅線,非鉄金属,SUP-E,10.58,1077429.0,1086373.0
2024/01/29,MAT-005,鋼管,鉄鋼,SUP-A,32.47,111517.0,93461.0
2024/01/19,MAT-002,冷延鋼板,鉄鋼,SUP-C,20.76,88346.0,98343.0
2024/01/16,MAT-002,冷延鋼板,鉄鋼,SUP-E,37.97,102486.0,83316.0
2024/01/12,MAT-005,鋼管,鉄鋼,SUP-A,23.73,120498.0,107739.0
2024/01/08,MAT-011,ABS樹脂,樹脂,SUP-D,40.33,206467.0,226973.0
2024/01/24,MAT-007,銅線,非鉄金属,SUP-B,7.62,863833.0,899059.0
2024/01/23,MAT-012,ポリプロピレン,樹脂,SUP-E,42.49,144834.0,177919.0
2024/01/11,MAT-009,ニッケル板,非鉄金属,SUP-B,32.32,1840961.0,2081655.0
2024/01/15,MAT-016,硫酸,化学品,SUP-C,42.7,26982.0,30281.0
2024/01/03,MAT-004,形鋼(H鋼),鉄鋼,SUP-D,43.5,88083.0,84083.0
2024/01/30,MAT-005,鋼管,鉄鋼,SUP-B,7.29,120569.0,102577.0
2024/01/16,MAT-013,ナイロン66,樹脂,SUP-E,22.62,466645.0,461575.0
2024/01/01,MAT-003,ステンレス板,鉄鋼,SUP-D,41.2,170147.0,185924.0
2024/01/04,MAT-009,ニッケル板,非鉄金属,SUP-E,12.68,1899870.0,1895868.0
2024/01/30,MAT-015,ポリカーボネート,樹脂,SUP-C,20.36,549128.0,471249.0
2024/01/17,MAT-009,ニッケル板,非鉄金属,SUP-E,37.09,1692624.0,1677134.0
2024/01/30,MAT-012,ポリプロピレン,樹脂,SUP-A,39.97,242593.0,222821.0
2024/01/01,MAT-008,亜鉛地金,非鉄金属,SUP-D,49.23,439756.0,416716.0
2024/01/15,MAT-020,塩酸,化学品,SUP-E,49.34,34862.0,26186.0
2024/01/29,MAT-020,塩酸,化学品,SUP-B,39.6,37216.0,31222.0
2024/01/31,MAT-003,ステンレス板,鉄鋼,SUP-D,15.76,202560.0,216701.0
2024/01/04,MAT-010,チタン棒,非鉄金属,SUP-D,33.27,1706133.0,2106909.0
2024/01/02,MAT-005,鋼管,鉄鋼,SUP-A,35.88,83044.0,83190.0
2024/01/04,MAT-010,チタン棒,非鉄金属,SUP-D,18.07,1810371.0,2228541.0
2024/01/24,MAT-004,形鋼(H鋼),鉄鋼,SUP-B,47.31,65918.0,86579.0
2024/01/19,MAT-005,鋼管,鉄鋼,SUP-D,37.56,85890.0,96901.0
2024/01/18,MAT-012,ポリプロピレン,樹脂,SUP-E,39.18,151615.0,169915.0
2024/01/18,MAT-019,アセトン,化学品,SUP-B,47.97,107482.0,101954.0
2024/01/26,MAT-004,形鋼(H鋼),鉄鋼,SUP-D,27.05,79645.0,81286.0
2024/01/02,MAT-014,PET樹脂,樹脂,SUP-C,10.88,230898.0,205297.0
2024/01/19,MAT-012,ポリプロピレン,樹脂,SUP-B,29.35,263863.0,221932.0
2024/01/16,MAT-015,ポリカーボネート,樹脂,SUP-B,46.17,404241.0,465901.0
2024/01/24,MAT-004,形鋼(H鋼),鉄鋼,SUP-C,5.41,74121.0,89462.0
2024/01/17,MAT-012,ポリプロピレン,樹脂,SUP-A,4.63,229308.0,202766.0
2024/01/04,MAT-009,ニッケル板,非鉄金属,SUP-B,38.95,2221406.0,1926849.0
2024/01/30,MAT-015,ポリカーボネート,樹脂,SUP-A,26.58,476212.0,486448.0
2024/01/01,MAT-007,銅線,非鉄金属,SUP-E,23.91,1017557.0,909647.0
2024/01/10,MAT-002,冷延鋼板,鉄鋼,SUP-C,8.52,99261.0,87314.0
2024/01/09,MAT-005,鋼管,鉄鋼,SUP-E,34.62,86129.0,103633.0
2024/01/09,MAT-003,ステンレス板,鉄鋼,SUP-E,16.08,253635.0,235817.0
2024/01/10,MAT-019,アセトン,化学品,SUP-B,15.46,88431.0,96547.0
2024/01/26,MAT-011,ABS樹脂,樹脂,SUP-B,31.47,228960.0,218178.0
