purchase_date,material_code,material_name,category,supplier,quantity,unit_price,prev_month_price,price_change_rate,total_cost,price_change_flag,source_file
2024-01-11,MAT-004,形鋼(H鋼),鉄鋼,SUP-A,38.92,94469.0,82618.0,0.143443,3676733.0,安定,style_a_material_202401.csv
2024-01-05,MAT-008,亜鉛地金,非鉄金属,SUP-B,5.61,503680.0,456044.0,0.104455,2825645.0,安定,style_a_material_202401.csv
2024-01-03,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,7.28,83439.0,87986.0,-0.051679,607436.0,安定,style_a_material_202401.csv
2024-01-02,MAT-019,アセトン,化学品,SUP-D,32.55,85252.0,87226.0,-0.022631,2774953.0,安定,style_a_material_202401.csv
2024-01-09,MAT-001,熱延鋼板,鉄鋼,SUP-A,28.17,64588.0,91581.0,-0.294745,1819444.0,急落,style_a_material_202401.csv
2024-01-26,MAT-008,亜鉛地金,非鉄金属,SUP-E,18.37,526636.0,455076.0,0.157248,9674303.0,安定,style_a_material_202401.csv
2024-01-09,MAT-001,熱延鋼板,鉄鋼,SUP-E,10.54,62282.0,76184.0,-0.182479,656452.0,安定,style_a_material_202401.csv
2024-01-10,MAT-018,エタノール,化学品,SUP-D,34.47,140622.0,118468.0,0.187004,4847240.0,安定,style_a_material_202401.csv
2024-01-11,MAT-015,ポリカーボネート,樹脂,SUP-E,19.15,397063.0,453378.0,-0.124212,7603756.0,安定,style_a_material_202401.csv
2024-01-31,MAT-001,熱延鋼板,鉄鋼,SUP-B,24.31,89062.0,83397.0,0.067928,2165097.0,安定,style_a_material_202401.csv
2024-01-11,MAT-014,PET樹脂,樹脂,SUP-C,41.8,218686.0,236431.0,-0.075054,9141075.0,安定,style_a_material_202401.csv
2024-01-15,MAT-005,鋼管,鉄鋼,SUP-B,40.43,92683.0,101256.0,-0.084667,3747174.0,安定,style_a_material_202401.csv
2024-01-17,MAT-004,形鋼(H鋼),鉄鋼,SUP-A,7.85,68021.0,84714.0,-0.197051,533965.0,安定,style_a_material_202401.csv
2024-01-16,MAT-004,形鋼(H鋼),鉄鋼,SUP-C,33.58,85690.0,77039.0,0.112294,2877470.0,安定,style_a_material_202401.csv
2024-01-02,MAT-020,塩酸,化学品,SUP-C,28.87,24880.0,29415.0,-0.154173,718286.0,安定,style_a_material_202401.csv
2024-01-04,MAT-015,ポリカーボネート,樹脂,SUP-E,24.08,586857.0,530612.0,0.106,14131517.0,安定,style_a_material_202401.csv
2024-01-24,MAT-013,ナイロン66,樹脂,SUP-A,28.13,340502.0,369476.0,-0.078419,9578321.0,安定,style_a_material_202401.csv
2024-01-16,MAT-010,チタン棒,非鉄金属,SUP-E,22.4,2450772.0,2543848.0,-0.036589,54897293.0,安定,style_a_material_202401.csv
2024-01-31,MAT-019,アセトン,化学品,SUP-B,12.46,123925.0,99615.0,0.24404,1544106.0,急騰,style_a_material_202401.csv
2024-01-30,MAT-003,ステンレス板,鉄鋼,SUP-A,28.29,217517.0,204102.0,0.065727,6153556.0,安定,style_a_material_202401.csv
2024-01-03,MAT-008,亜鉛地金,非鉄金属,SUP-C,40.89,298023.0,368346.0,-0.190916,12186160.0,安定,style_a_material_202401.csv
2024-01-17,MAT-008,亜鉛地金,非鉄金属,SUP-A,36.4,363208.0,420132.0,-0.135491,13220771.0,安定,style_a_material_202401.csv
2024-01-29,MAT-009,ニッケル板,非鉄金属,SUP-D,8.46,1745545.0,1783967.0,-0.021537,14767311.0,安定,style_a_material_202401.csv
2024-01-16,MAT-012,ポリプロピレン,樹脂,SUP-B,15.77,163915.0,173506.0,-0.055278,2584940.0,安定,style_a_material_202401.csv
2024-01-30,MAT-012,ポリプロピレン,樹脂,SUP-B,6.78,244161.0,209863.0,0.16343,1655412.0,安定,style_a_material_202401.csv
2024-01-26,MAT-009,ニッケル板,非鉄金属,SUP-A,14.03,2190071.0,1970374.0,0.1115,30726696.0,安定,style_a_material_202401.csv
2024-01-10,MAT-006,アルミ板,非鉄金属,SUP-E,23.02,300748.0,358650.0,-0.161444,6923219.0,安定,style_a_material_202401.csv
2024-01-17,MAT-006,アルミ板,非鉄金属,SUP-D,23.33,302177.0,327605.0,-0.077618,7049789.0,安定,style_a_material_202401.csv
2024-01-10,MAT-009,ニッケル板,非鉄金属,SUP-E,9.66,2175702.0,1971802.0,0.103408,21017281.0,安定,style_a_material_202401.csv
2024-01-10,MAT-011,ABS樹脂,樹脂,SUP-A,22.17,264626.0,256014.0,0.033639,5866758.0,安定,style_a_material_202401.csv
2024-01-17,MAT-002,冷延鋼板,鉄鋼,SUP-C,5.14,74996.0,91834.0,-0.183353,385479.0,安定,style_a_material_202401.csv
2024-01-09,MAT-009,ニッケル板,非鉄金属,SUP-A,17.16,1597445.0,1898643.0,-0.158639,27412156.0,安定,style_a_material_202401.csv
2024-01-09,MAT-019,アセトン,化学品,SUP-C,9.36,93575.0,90636.0,0.032426,875862.0,安定,style_a_material_202401.csv
2024-01-29,MAT-016,硫酸,化学品,SUP-D,29.95,27628.0,37969.0,-0.272354,827459.0,急落,style_a_material_202401.csv
2024-01-11,MAT-015,ポリカーボネート,樹脂,SUP-B,5.05,574842.0,576987.0,-0.003718,2902952.0,安定,style_a_material_202401.csv
2024-01-24,MAT-005,鋼管,鉄鋼,SUP-B,29.01,82653.0,91149.0,-0.09321,2397764.0,安定,style_a_material_202401.csv
2024-01-25,MAT-018,エタノール,化学品,SUP-C,26.51,110975.0,137236.0,-0.191356,2941947.0,安定,style_a_material_202401.csv
2024-01-17,MAT-014,PET樹脂,樹脂,SUP-E,44.91,193854.0,189753.0,0.021612,8705983.0,安定,style_a_material_202401.csv
2024-01-05,MAT-012,ポリプロピレン,樹脂,SUP-B,33.94,224969.0,211483.0,0.063769,7635448.0,安定,style_a_material_202401.csv
2024-01-03,MAT-017,水酸化ナトリウム,化学品,SUP-D,38.66,51456.0,44115.0,0.166406,1989289.0,安定,style_a_material_202401.csv
2024-01-05,MAT-002,冷延鋼板,鉄鋼,SUP-A,2.83,95882.0,101102.0,-0.051631,271346.0,安定,style_a_material_202401.csv
