material_code,material_name,category,仕入コスト合計,平均単価,平均前月単価,取引件数,急騰件数,急落件数,平均変動率(%)
MAT-010,チタン棒,非鉄金属,1624632680.0,2415512.464285714,2402024.1785714286,28,3,0,0.43
MAT-009,ニッケル板,非鉄金属,1245213401.0,1923215.148148148,1878776.9259259258,27,1,0,2.15
MAT-015,ポリカーボネート,樹脂,348304112.0,525916.5384615385,503842.3076923077,26,2,1,4.28
MAT-007,銅線,非鉄金属,298515626.0,1040445.1666666666,970270.6666666666,12,1,0,7.42
MAT-013,ナイロン66,樹脂,259342059.0,418208.56,428683.8,25,2,0,-2.45
MAT-008,亜鉛地金,非鉄金属,236327522.0,411489.73913043475,405473.5652173913,23,1,0,1.38
MAT-006,アルミ板,非鉄金属,150983294.0,324064.5263157895,322201.15789473685,19,1,0,0.83
MAT-003,ステンレス板,鉄鋼,136375010.0,207966.63636363635,209487.63636363635,22,0,0,-0.76
MAT-014,PET樹脂,樹脂,130143509.0,209400.22727272726,210526.77272727274,22,2,1,-0.26
MAT-012,ポリプロピレン,樹脂,98396568.0,198040.72727272726,195919.81818181818,22,1,0,0.73
MAT-018,エタノール,化学品,84235867.0,126251.56,126700.64,25,1,2,-0.23
MAT-011,ABS樹脂,樹脂,82937052.0,238767.23529411765,250729.35294117648,17,0,1,-4.64
MAT-005,鋼管,鉄鋼,72758477.0,96451.75,95791.60714285714,28,1,1,0.83
MAT-019,アセトン,化学品,47822157.0,92950.5,94621.3,20,1,2,-2.22
MAT-004,形鋼(H鋼),鉄鋼,46509263.0,78385.25925925926,78670.11111111111,27,0,2,0.1
MAT-002,冷延鋼板,鉄鋼,45638539.0,91136.18181818182,93048.68181818182,22,3,2,-1.35
MAT-001,熱延鋼板,鉄鋼,34019032.0,83701.94736842105,84868.26315789473,19,0,2,-1.03
MAT-016,硫酸,化学品,25086520.0,35481.88,35410.16,25,3,2,0.55
MAT-017,水酸化ナトリウム,化学品,19104772.0,49477.916666666664,47314.666666666664,12,0,1,4.25
MAT-020,塩酸,化学品,15193014.0,29928.842105263157,29421.0,19,2,1,1.76
