作業日,作業員ID,ライン,工程,生産数量,不良数,作業時間,残業時間
2024/01/01,WRK-001,LINE-A,組立,110,3,6.9,2.2
2024/01/01,WRK-002,LINE-A,梱包,48,0,6.4,0.7
2024/01/01,WRK-003,LINE-A,溶接,179,13,6.9,1.8
2024/01/01,WRK-004,LINE-A,溶接,148,5,7.1,0.6
2024/01/01,WRK-005,LINE-C,組立,63,3,6.4,2.5
2024/01/01,WRK-006,LINE-C,組立,157,3,9.9,1.1
2024/01/01,WRK-007,LINE-C,検査,187,6,8.8,0.1
2024/01/01,WRK-008,LINE-B,検査,60,6,6.9,0.3
2024/01/01,WRK-009,LINE-C,梱包,133,2,7.5,0.6
2024/01/01,WRK-010,LINE-C,組立,195,5,8.1,0.7
2024/01/01,WRK-011,LINE-D,梱包,109,10,8.8,0.7
2024/01/01,WRK-012,LINE-C,組立,98,0,9.2,1.2
2024/01/01,WRK-013,LINE-A,溶接,185,10,6.9,1.5
2024/01/01,WRK-014,LINE-D,溶接,107,2,7.0,1.7
2024/01/01,WRK-015,LINE-C,梱包,189,12,7.4,3.0
2024/01/01,WRK-016,LINE-B,梱包,63,6,6.2,0.3
2024/01/01,WRK-017,LINE-B,梱包,192,2,7.5,1.8
2024/01/01,WRK-018,LINE-D,検査,181,0,8.7,0.3
2024/01/01,WRK-019,LINE-C,検査,68,2,7.7,1.4
2024/01/01,WRK-020,LINE-C,溶接,169,3,9.5,0.9
2024/01/01,WRK-021,LINE-B,溶接,135,12,6.6,2.9
2024/01/01,WRK-022,LINE-A,検査,165,0,6.4,1.1
2024/01/01,WRK-023,LINE-C,溶接,54,1,9.5,2.8
2024/01/01,WRK-024,LINE-A,梱包,57,4,9.1,0.4
2024/01/01,WRK-025,LINE-D,溶接,107,8,9.5,1.3
2024/01/01,WRK-026,LINE-B,溶接,119,6,10.0,1.9
2024/01/01,WRK-027,LINE-D,梱包,70,3,6.9,1.0
2024/01/01,WRK-028,LINE-B,溶接,41,0,8.8,0.2
2024/01/01,WRK-029,LINE-A,組立,124,1,8.1,0.8
2024/01/01,WRK-030,LINE-D,溶接,178,4,8.9,2.6
2024/01/02,WRK-001,LINE-D,溶接,161,13,6.8,0.3
2024/01/02,WRK-002,LINE-D,検査,148,6,7.9,2.2
2024/01/02,WRK-003,LINE-A,組立,143,11,7.4,2.6
2024/01/02,WRK-004,LINE-B,溶接,88,8,7.8,1.3
2024/01/02,WRK-005,LINE-C,梱包,103,1,7.8,2.6
2024/01/02,WRK-006,LINE-A,組立,178,0,9.9,2.8
2024/01/02,WRK-007,LINE-B,溶接,144,7,7.9,2.6
2024/01/02,WRK-008,LINE-A,溶接,137,0,9.9,0.8
2024/01/02,WRK-009,LINE-D,検査,148,11,9.8,3.0
2024/01/02,WRK-010,LINE-D,溶接,88,4,6.9,0.2
2024/01/02,WRK-011,LINE-A,検査,54,0,8.3,1.5
2024/01/02,WRK-012,LINE-B,組立,170,2,9.4,0.2
2024/01/02,WRK-013,LINE-A,溶接,143,1,9.8,1.7
2024/01/02,WRK-014,LINE-A,組立,147,10,8.3,1.6
2024/01/02,WRK-015,LINE-C,溶接,120,3,7.1,0.4
2024/01/02,WRK-016,LINE-C,梱包,120,12,9.7,0.0
2024/01/02,WRK-017,LINE-A,組立,177,6,8.0,0.4
2024/01/02,WRK-018,LINE-C,組立,102,5,7.1,1.3
2024/01/02,WRK-019,LINE-C,組立,181,9,9.7,0.3
2024/01/02,WRK-020,LINE-B,検査,69,0,9.0,0.5
2024/01/02,WRK-021,LINE-C,溶接,127,3,8.7,2.6
2024/01/02,WRK-022,LINE-D,検査,53,0,8.5,2.5
2024/01/02,WRK-023,LINE-A,組立,125,12,6.5,2.9
2024/01/02,WRK-024,LINE-B,梱包,181,13,8.2,0.3
2024/01/02,WRK-025,LINE-B,組立,134,9,8.2,1.3
2024/01/02,WRK-026,LINE-A,検査,133,12,9.9,0.1
2024/01/02,WRK-027,LINE-C,溶接,103,10,6.4,2.3
2024/01/02,WRK-028,LINE-D,溶接,100,2,9.9,2.4
2024/01/02,WRK-029,LINE-D,組立,85,5,9.1,1.2
2024/01/02,WRK-030,LINE-B,検査,80,1,7.5,0.1
2024/01/03,WRK-001,LINE-D,溶接,91,7,7.4,2.5
2024/01/03,WRK-002,LINE-B,溶接,46,1,7.6,0.8
2024/01/03,WRK-003,LINE-A,検査,129,10,8.0,2.0
2024/01/03,WRK-004,LINE-C,組立,69,2,6.7,2.9
2024/01/03,WRK-005,LINE-C,組立,67,4,7.7,2.2
2024/01/03,WRK-006,LINE-C,梱包,195,16,6.5,2.7
2024/01/03,WRK-007,LINE-B,検査,51,5,7.7,1.6
2024/01/03,WRK-008,LINE-B,検査,150,2,9.8,2.8
2024/01/03,WRK-009,LINE-C,組立,116,8,7.2,1.2
2024/01/03,WRK-010,LINE-D,検査,181,4,6.8,2.0
2024/01/03,WRK-011,LINE-D,溶接,197,18,7.2,1.6
2024/01/03,WRK-012,LINE-A,検査,113,3,7.7,1.7
2024/01/03,WRK-013,LINE-C,梱包,153,14,8.7,1.5
2024/01/03,WRK-014,LINE-B,組立,112,8,8.7,1.9
2024/01/03,WRK-015,LINE-A,溶接,119,3,9.2,0.4
2024/01/03,WRK-016,LINE-A,溶接,161,2,7.8,2.7
2024/01/03,WRK-017,LINE-B,梱包,166,12,7.0,2.0
2024/01/03,WRK-018,LINE-A,組立,148,3,6.7,2.9
2024/01/03,WRK-019,LINE-D,組立,182,7,9.7,0.4
2024/01/03,WRK-020,LINE-B,梱包,175,17,8.4,2.9
2024/01/03,WRK-021,LINE-D,梱包,180,14,9.6,2.2
2024/01/03,WRK-022,LINE-D,梱包,106,3,9.4,0.8
2024/01/03,WRK-023,LINE-D,溶接,110,7,6.3,0.9
2024/01/03,WRK-024,LINE-C,検査,121,8,6.3,0.5
2024/01/03,WRK-025,LINE-D,溶接,94,1,7.7,1.0
2024/01/03,WRK-026,LINE-D,梱包,55,1,9.3,1.2
2024/01/03,WRK-027,LINE-A,梱包,162,0,9.8,0.9
2024/01/03,WRK-028,LINE-D,梱包,177,17,9.2,2.7
2024/01/03,WRK-029,LINE-D,溶接,109,6,7.9,1.2
2024/01/03,WRK-030,LINE-D,溶接,159,4,9.9,1.6
2024/01/04,WRK-001,LINE-D,組立,61,5,7.7,2.6
2024/01/04,WRK-002,LINE-B,組立,106,6,7.3,1.4
2024/01/04,WRK-003,LINE-C,梱包,111,6,7.0,0.2
2024/01/04,WRK-004,LINE-A,組立,129,3,8.6,2.3
2024/01/04,WRK-005,LINE-A,組立,103,3,9.4,1.9
2024/01/04,WRK-006,LINE-B,溶接,161,3,8.3,0.7
2024/01/04,WRK-007,LINE-C,検査,82,1,9.1,0.5
2024/01/04,WRK-008,LINE-C,組立,188,0,9.7,1.7
2024/01/04,WRK-009,LINE-D,梱包,90,1,8.4,2.5
2024/01/04,WRK-010,LINE-B,組立,117,10,8.4,0.4
2024/01/04,WRK-011,LINE-A,検査,176,13,8.6,0.2
2024/01/04,WRK-012,LINE-C,組立,147,13,8.0,1.3
2024/01/04,WRK-013,LINE-C,梱包,79,6,6.7,1.6
2024/01/04,WRK-014,LINE-C,梱包,159,13,9.3,1.8
2024/01/04,WRK-015,LINE-C,溶接,62,2,9.5,0.7
2024/01/04,WRK-016,LINE-D,梱包,126,0,8.0,1.0
2024/01/04,WRK-017,LINE-D,溶接,130,12,7.0,0.8
2024/01/04,WRK-018,LINE-C,組立,172,6,6.3,2.2
2024/01/04,WRK-019,LINE-D,溶接,161,15,7.8,0.1
2024/01/04,WRK-020,LINE-C,溶接,143,11,7.0,2.0
2024/01/04,WRK-021,LINE-C,梱包,181,16,7.4,3.0
2024/01/04,WRK-022,LINE-C,検査,156,8,7.2,0.7
2024/01/04,WRK-023,LINE-B,検査,70,2,6.8,2.2
2024/01/04,WRK-024,LINE-C,検査,65,6,6.8,0.7
2024/01/04,WRK-025,LINE-B,検査,43,4,6.5,0.1
2024/01/04,WRK-026,LINE-A,検査,72,7,6.4,0.0
2024/01/04,WRK-027,LINE-C,梱包,162,14,7.4,2.9
2024/01/04,WRK-028,LINE-C,梱包,69,6,6.3,1.5
2024/01/04,WRK-029,LINE-A,溶接,78,4,6.3,0.7
2024/01/04,WRK-030,LINE-D,溶接,173,12,7.8,1.3
2024/01/05,WRK-001,LINE-D,検査,185,1,8.4,2.2
2024/01/05,WRK-002,LINE-B,溶接,107,10,6.3,0.7
2024/01/05,WRK-003,LINE-A,溶接,40,3,7.8,1.8
2024/01/05,WRK-004,LINE-C,組立,99,4,8.8,2.1
2024/01/05,WRK-005,LINE-D,組立,99,4,9.2,1.9
2024/01/05,WRK-006,LINE-B,梱包,69,4,6.9,0.4
2024/01/05,WRK-007,LINE-C,溶接,58,0,6.7,0.9
2024/01/05,WRK-008,LINE-C,梱包,71,7,8.8,2.1
2024/01/05,WRK-009,LINE-C,梱包,152,2,8.4,2.7
2024/01/05,WRK-010,LINE-C,検査,46,0,6.9,2.0
2024/01/05,WRK-011,LINE-A,検査,187,1,9.1,0.5
2024/01/05,WRK-012,LINE-D,検査,86,6,8.5,1.5
2024/01/05,WRK-013,LINE-A,梱包,129,6,7.3,2.0
2024/01/05,WRK-014,LINE-B,検査,145,11,8.0,2.0
2024/01/05,WRK-015,LINE-D,組立,156,2,7.3,1.0
2024/01/05,WRK-016,LINE-D,組立,178,14,7.7,0.6
2024/01/05,WRK-017,LINE-C,梱包,200,14,9.0,0.6
2024/01/05,WRK-018,LINE-B,検査,152,15,6.5,2.9
2024/01/05,WRK-019,LINE-B,溶接,119,8,6.1,1.2
2024/01/05,WRK-020,LINE-B,組立,158,3,8.6,0.5
2024/01/05,WRK-021,LINE-C,検査,146,13,7.9,1.4
2024/01/05,WRK-022,LINE-D,溶接,138,3,9.7,1.5
2024/01/05,WRK-023,LINE-B,組立,110,6,7.4,2.4
2024/01/05,WRK-024,LINE-C,組立,112,11,7.2,1.8
2024/01/05,WRK-025,LINE-D,溶接,154,15,7.4,1.7
2024/01/05,WRK-026,LINE-D,梱包,122,3,9.9,0.7
2024/01/05,WRK-027,LINE-D,溶接,145,0,7.3,1.4
2024/01/05,WRK-028,LINE-D,梱包,78,7,9.9,0.4
2024/01/05,WRK-029,LINE-C,組立,152,3,8.1,1.4
2024/01/05,WRK-030,LINE-B,梱包,79,1,7.9,2.9
