WorkDate,WorkerID,Line,Process,ProductionQty,DefectQty,WorkHours,OvertimeHours
2024-01-06,WRK-001,LINE-C,梱包,60,6,7.3,2.0
2024-01-06,WRK-002,LINE-D,検査,200,15,9.5,0.1
2024-01-06,WRK-003,LINE-A,溶接,113,3,9.0,1.3
2024-01-06,WRK-004,LINE-A,組立,153,5,8.8,2.7
2024-01-06,WRK-005,LINE-A,検査,54,2,7.4,1.3
2024-01-06,WRK-006,LINE-B,梱包,184,5,6.7,0.2
2024-01-06,WRK-007,LINE-D,溶接,167,4,6.9,1.9
2024-01-06,WRK-008,LINE-D,検査,42,3,9.6,2.0
2024-01-06,WRK-009,LINE-B,組立,153,11,10.0,0.9
2024-01-06,WRK-010,LINE-D,検査,156,9,6.8,1.2
2024-01-06,WRK-011,LINE-D,組立,100,6,8.3,1.7
2024-01-06,WRK-012,LINE-C,組立,141,4,6.0,2.6
2024-01-06,WRK-013,LINE-A,梱包,113,3,8.4,1.1
2024-01-06,WRK-014,LINE-B,検査,75,1,9.6,1.9
2024-01-06,WRK-015,LINE-C,梱包,48,4,7.5,0.4
2024-01-06,WRK-016,LINE-C,検査,146,2,6.8,2.4
2024-01-06,WRK-017,LINE-C,検査,82,4,9.7,2.8
2024-01-06,WRK-018,LINE-C,検査,69,3,9.9,0.4
2024-01-06,WRK-019,LINE-B,梱包,182,11,6.4,1.2
2024-01-06,WRK-020,LINE-C,組立,156,11,8.7,2.0
2024-01-06,WRK-021,LINE-D,検査,67,5,6.9,0.1
2024-01-06,WRK-022,LINE-C,溶接,56,5,9.3,2.7
2024-01-06,WRK-023,LINE-C,梱包,69,1,6.2,0.1
2024-01-06,WRK-024,LINE-D,組立,64,1,9.5,0.4
2024-01-06,WRK-025,LINE-D,検査,178,13,8.3,2.2
2024-01-06,WRK-026,LINE-D,組立,165,13,9.8,0.8
2024-01-06,WRK-027,LINE-C,溶接,153,14,9.8,2.6
2024-01-06,WRK-028,LINE-A,検査,179,11,6.2,0.8
2024-01-06,WRK-029,LINE-A,梱包,63,5,6.8,1.9
2024-01-06,WRK-030,LINE-A,組立,125,3,10.0,2.4
2024-01-07,WRK-001,LINE-B,組立,181,6,8.3,2.4
2024-01-07,WRK-002,LINE-B,検査,77,0,7.1,3.0
2024-01-07,WRK-003,LINE-B,検査,84,1,8.6,0.1
2024-01-07,WRK-004,LINE-A,検査,100,9,7.3,0.5
2024-01-07,WRK-005,LINE-A,溶接,147,8,6.5,0.2
2024-01-07,WRK-006,LINE-D,検査,171,3,7.8,0.7
2024-01-07,WRK-007,LINE-A,検査,157,0,6.2,1.4
2024-01-07,WRK-008,LINE-D,梱包,67,3,8.8,1.3
2024-01-07,WRK-009,LINE-A,検査,195,4,6.3,0.8
2024-01-07,WRK-010,LINE-C,梱包,192,16,7.2,1.5
2024-01-07,WRK-011,LINE-D,組立,69,6,8.6,2.6
2024-01-07,WRK-012,LINE-B,梱包,155,7,7.7,2.5
2024-01-07,WRK-013,LINE-D,梱包,64,2,7.7,2.0
2024-01-07,WRK-014,LINE-C,溶接,161,2,6.4,0.3
2024-01-07,WRK-015,LINE-D,組立,135,12,6.5,0.2
2024-01-07,WRK-016,LINE-C,組立,145,5,9.5,2.8
2024-01-07,WRK-017,LINE-D,組立,113,9,7.2,0.3
2024-01-07,WRK-018,LINE-B,溶接,163,7,9.4,1.1
2024-01-07,WRK-019,LINE-C,組立,111,9,6.9,1.3
2024-01-07,WRK-020,LINE-A,検査,47,1,7.1,2.3
2024-01-07,WRK-021,LINE-C,検査,41,1,9.5,1.7
2024-01-07,WRK-022,LINE-D,組立,76,0,6.4,1.6
2024-01-07,WRK-023,LINE-D,梱包,156,10,6.6,0.9
2024-01-07,WRK-024,LINE-C,組立,53,1,6.6,1.9
2024-01-07,WRK-025,LINE-A,検査,153,13,7.9,1.3
2024-01-07,WRK-026,LINE-C,溶接,171,3,7.4,0.3
2024-01-07,WRK-027,LINE-D,検査,51,1,7.6,1.8
2024-01-07,WRK-028,LINE-A,溶接,117,3,9.1,2.3
2024-01-07,WRK-029,LINE-C,検査,70,0,8.0,1.3
2024-01-07,WRK-030,LINE-B,梱包,176,7,8.0,2.5
2024-01-08,WRK-001,LINE-C,組立,141,13,9.0,1.3
2024-01-08,WRK-002,LINE-D,組立,120,9,7.7,1.2
2024-01-08,WRK-003,LINE-D,検査,69,3,6.1,1.0
2024-01-08,WRK-004,LINE-D,検査,62,3,9.4,0.7
2024-01-08,WRK-005,LINE-D,組立,141,13,7.2,1.0
2024-01-08,WRK-006,LINE-C,溶接,59,4,8.5,1.6
2024-01-08,WRK-007,LINE-B,検査,129,11,9.8,1.9
2024-01-08,WRK-008,LINE-B,溶接,66,1,7.0,0.5
2024-01-08,WRK-009,LINE-B,組立,85,7,7.9,1.7
2024-01-08,WRK-010,LINE-D,検査,200,10,6.6,0.2
2024-01-08,WRK-011,LINE-D,検査,110,9,6.2,1.5
2024-01-08,WRK-012,LINE-C,梱包,155,1,6.2,2.5
2024-01-08,WRK-013,LINE-A,組立,197,19,8.0,1.4
2024-01-08,WRK-014,LINE-A,梱包,186,6,7.3,1.4
2024-01-08,WRK-015,LINE-B,組立,155,3,9.2,2.5
2024-01-08,WRK-016,LINE-A,溶接,50,1,8.8,3.0
2024-01-08,WRK-017,LINE-B,検査,135,4,7.5,2.3
2024-01-08,WRK-018,LINE-A,検査,56,2,6.4,2.0
2024-01-08,WRK-019,LINE-C,検査,194,4,7.3,1.7
2024-01-08,WRK-020,LINE-B,検査,119,10,8.8,1.2
2024-01-08,WRK-021,LINE-A,検査,183,12,8.6,1.0
2024-01-08,WRK-022,LINE-B,組立,148,8,7.4,1.1
2024-01-08,WRK-023,LINE-B,溶接,127,12,7.9,0.7
2024-01-08,WRK-024,LINE-B,溶接,59,2,9.4,0.3
2024-01-08,WRK-025,LINE-A,検査,198,4,8.4,0.5
2024-01-08,WRK-026,LINE-B,溶接,152,1,7.6,2.0
2024-01-08,WRK-027,LINE-B,梱包,196,9,9.0,2.4
2024-01-08,WRK-028,LINE-B,溶接,119,7,9.6,0.6
2024-01-08,WRK-029,LINE-D,梱包,112,6,8.0,1.3
2024-01-08,WRK-030,LINE-B,溶接,194,4,9.5,0.2
2024-01-09,WRK-001,LINE-D,検査,181,3,8.8,1.5
2024-01-09,WRK-002,LINE-A,検査,61,6,6.6,1.3
2024-01-09,WRK-003,LINE-B,梱包,63,1,9.3,2.7
2024-01-09,WRK-004,LINE-A,梱包,53,3,8.0,0.7
2024-01-09,WRK-005,LINE-A,検査,97,0,7.3,0.3
2024-01-09,WRK-006,LINE-C,溶接,75,0,7.1,2.5
2024-01-09,WRK-007,LINE-B,梱包,154,0,9.6,0.1
2024-01-09,WRK-008,LINE-B,溶接,180,16,7.7,2.3
2024-01-09,WRK-009,LINE-B,検査,71,0,7.0,1.9
2024-01-09,WRK-010,LINE-D,組立,68,6,9.6,1.8
2024-01-09,WRK-011,LINE-A,溶接,76,4,7.7,1.8
2024-01-09,WRK-012,LINE-B,梱包,87,1,8.1,1.1
2024-01-09,WRK-013,LINE-A,梱包,160,1,8.5,2.9
