日付,従業員番号,製造ライン,作業区分,生産実績,不良品数,稼働時間,残業
2024/01/11,WRK-001,LINE-C,組立,72,1,7.6,2.4
2024/01/11,WRK-002,LINE-C,検査,76,3,8.4,1.2
2024/01/11,WRK-003,LINE-A,組立,49,1,8.9,2.4
2024/01/11,WRK-004,LINE-D,溶接,195,16,6.6,2.8
2024/01/11,WRK-005,LINE-C,溶接,140,9,9.0,0.9
2024/01/11,WRK-006,LINE-C,梱包,184,9,7.9,0.0
2024/01/11,WRK-007,LINE-C,組立,146,9,7.2,2.7
2024/01/11,WRK-008,LINE-A,梱包,107,10,9.1,2.3
2024/01/11,WRK-009,LINE-B,組立,189,15,6.7,1.9
2024/01/11,WRK-010,LINE-D,溶接,102,0,8.3,2.1
2024/01/11,WRK-011,LINE-B,組立,152,10,7.7,1.2
2024/01/11,WRK-012,LINE-B,梱包,168,15,9.5,2.2
2024/01/11,WRK-013,LINE-A,溶接,172,6,8.2,3.0
2024/01/11,WRK-014,LINE-D,梱包,120,2,7.8,1.6
2024/01/11,WRK-015,LINE-C,検査,196,15,6.8,0.7
2024/01/11,WRK-016,LINE-C,溶接,116,4,8.8,2.1
2024/01/11,WRK-017,LINE-D,検査,162,11,8.2,2.8
2024/01/11,WRK-018,LINE-C,検査,71,6,9.6,1.2
2024/01/11,WRK-019,LINE-C,溶接,114,0,7.2,2.1
2024/01/11,WRK-020,LINE-C,梱包,105,7,6.9,2.5
2024/01/11,WRK-021,LINE-C,検査,75,1,8.5,1.8
2024/01/11,WRK-022,LINE-B,組立,175,7,8.6,0.2
2024/01/11,WRK-023,LINE-D,検査,160,3,8.7,0.4
2024/01/11,WRK-024,LINE-B,梱包,161,15,8.6,2.3
2024/01/11,WRK-025,LINE-C,検査,113,10,6.2,2.3
2024/01/11,WRK-026,LINE-B,組立,84,6,9.5,0.5
2024/01/11,WRK-027,LINE-A,梱包,166,5,9.7,2.9
2024/01/11,WRK-028,LINE-C,組立,42,2,8.3,0.3
2024/01/11,WRK-029,LINE-C,検査,156,15,9.6,0.4
2024/01/11,WRK-030,LINE-D,検査,89,1,7.3,2.2
2024/01/12,WRK-001,LINE-C,溶接,43,2,9.2,1.7
2024/01/12,WRK-002,LINE-B,溶接,196,12,9.3,1.5
2024/01/12,WRK-003,LINE-A,梱包,64,1,9.9,1.4
2024/01/12,WRK-004,LINE-B,組立,106,6,6.9,2.3
2024/01/12,WRK-005,LINE-C,検査,189,18,6.0,2.0
2024/01/12,WRK-006,LINE-B,組立,70,7,7.2,1.2
2024/01/12,WRK-007,LINE-C,組立,115,5,8.5,0.7
2024/01/12,WRK-008,LINE-B,梱包,79,7,9.0,1.8
2024/01/12,WRK-009,LINE-D,梱包,177,6,9.0,2.0
