work_date,worker_id,line,process,production_qty,defect_qty,work_hours,overtime_hours,defect_rate,productivity,performance_flag,source_file
2024-01-01,WRK-001,LINE-A,組立,110,3,6.9,2.2,0.02727272727272727,15.942028985507246,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-002,LINE-A,梱包,48,0,6.4,0.7,0.0,7.5,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-003,LINE-A,溶接,179,13,6.9,1.8,0.07262569832402235,25.942028985507246,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-004,LINE-A,溶接,148,5,7.1,0.6,0.033783783783783786,20.845070422535212,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-005,LINE-C,組立,63,3,6.4,2.5,0.047619047619047616,9.84375,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-006,LINE-C,組立,157,3,9.9,1.1,0.01910828025477707,15.858585858585858,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-007,LINE-C,検査,187,6,8.8,0.1,0.03208556149732621,21.25,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-008,LINE-B,検査,60,6,6.9,0.3,0.1,8.695652173913043,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-009,LINE-C,梱包,133,2,7.5,0.6,0.015037593984962405,17.733333333333334,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-010,LINE-C,組立,195,5,8.1,0.7,0.02564102564102564,24.074074074074076,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-011,LINE-D,梱包,109,10,8.8,0.7,0.09174311926605505,12.386363636363635,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-012,LINE-C,組立,98,0,9.2,1.2,0.0,10.652173913043478,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-013,LINE-A,溶接,185,10,6.9,1.5,0.05405405405405406,26.81159420289855,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-014,LINE-D,溶接,107,2,7.0,1.7,0.018691588785046728,15.285714285714286,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-015,LINE-C,梱包,189,12,7.4,3.0,0.06349206349206349,25.54054054054054,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-016,LINE-B,梱包,63,6,6.2,0.3,0.09523809523809523,10.161290322580644,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-017,LINE-B,梱包,192,2,7.5,1.8,0.010416666666666666,25.6,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-018,LINE-D,検査,181,0,8.7,0.3,0.0,20.804597701149426,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-019,LINE-C,検査,68,2,7.7,1.4,0.029411764705882353,8.831168831168831,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-020,LINE-C,溶接,169,3,9.5,0.9,0.01775147928994083,17.789473684210527,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-021,LINE-B,溶接,135,12,6.6,2.9,0.08888888888888889,20.454545454545457,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-022,LINE-A,検査,165,0,6.4,1.1,0.0,25.78125,高生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-023,LINE-C,溶接,54,1,9.5,2.8,0.018518518518518517,5.684210526315789,低生産性,worker_prod_styleA_202401.csv
2024-01-01,WRK-024,LINE-A,梱包,57,4,9.1,0.4,0.07017543859649122,6.263736263736264,低生産性,worker_prod_styleA_202401.csv
