worker_id,avg_productivity,avg_defect_rate,total_production,total_defect,total_work_hours,total_overtime,record_count
WRK-001,15.63,0.0538,1868,93,119.9,28.1,15
WRK-002,14.43,0.0576,1658,104,113.60000000000001,22.0,15
WRK-003,11.77,0.0464,1416,69,124.8,22.5,15
WRK-004,14.78,0.0517,1629,91,114.8,22.8,15
WRK-005,15.65,0.0524,1726,97,113.1,20.7,15
WRK-006,16.65,0.0497,1972,92,121.9,18.7,15
WRK-007,16.21,0.036,1894,62,119.5,19.0,15
WRK-008,15.14,0.0565,1829,97,125.1,22.3,15
WRK-009,17.52,0.045,2066,98,120.2,23.8,15
WRK-010,19.5,0.046,2164,100,113.4,16.7,15
WRK-011,17.82,0.0627,2058,135,117.5,19.3,15
WRK-012,16.59,0.0376,1978,74,121.8,26.4,15
WRK-013,16.89,0.0495,2047,102,122.0,27.1,15
WRK-014,18.12,0.0519,2126,110,120.0,20.4,15
WRK-015,16.74,0.0404,1891,71,116.4,17.7,15
WRK-016,13.75,0.0484,1637,74,120.0,22.9,15
WRK-017,19.22,0.0416,2219,92,116.7,23.5,15
WRK-018,16.14,0.0512,1878,89,122.6,26.6,15
WRK-019,15.42,0.0441,1771,80,115.8,18.8,15
WRK-020,14.01,0.0415,1696,79,122.4,25.3,15
WRK-021,14.85,0.0465,1871,94,127.39999999999999,26.2,15
WRK-022,15.28,0.0432,1816,76,121.7,20.9,15
WRK-023,14.78,0.0478,1690,85,117.2,20.4,15
WRK-024,14.1,0.0608,1609,104,118.3,20.2,15
WRK-025,16.72,0.0585,1927,117,116.5,24.900000000000002,15
WRK-026,12.1,0.0501,1588,76,131.9,20.3,15
WRK-027,15.11,0.0431,1844,83,120.9,30.0,15
WRK-028,16.49,0.0562,1907,113,122.7,20.900000000000002,15
WRK-029,14.84,0.0465,1617,80,111.0,18.2,15
WRK-030,15.66,0.0353,1950,69,126.4,27.1,15
