日付,仕入先名,不良カテゴリ,対応状況
2024-01-01,佐藤工業,梱包不良,対応中
2024-01-01,高橋商事,外観不良,対応中
2024-01-01,鈴木金属,寸法不良,完了
2024-01-02,田中部品,寸法不良,完了
2024-01-03,山田製作所,梱包不良,対応中
2024-01-03,高橋商事,機能不良,完了
2024-01-03,山田製作所,梱包不良,完了
2024-01-04,高橋商事,外観不良,未対応
2024-01-04,佐藤工業,寸法不良,未対応
2024-01-04,山田製作所,機能不良,完了
2024-01-05,佐藤工業,機能不良,対応中
2024-01-05,鈴木金属,寸法不良,完了
2024-01-05,佐藤工業,寸法不良,未対応
2024-01-06,田中部品,機能不良,対応中
2024-01-07,田中部品,機能不良,対応中
2024-01-08,鈴木金属,数量不足,対応中
2024-01-09,佐藤工業,寸法不良,完了
2024-01-10,田中部品,数量不足,対応中
2024-01-10,田中部品,外観不良,未対応
2024-01-11,田中部品,寸法不良,完了
2024-01-11,鈴木金属,寸法不良,完了
2024-01-12,山田製作所,寸法不良,対応中
2024-01-12,田中部品,機能不良,完了
2024-01-13,山田製作所,外観不良,対応中
2024-01-13,山田製作所,外観不良,対応中
2024-01-13,高橋商事,梱包不良,対応中
2024-01-13,佐藤工業,外観不良,完了
2024-01-14,鈴木金属,機能不良,完了
2024-01-14,山田製作所,寸法不良,未対応
2024-01-15,田中部品,寸法不良,完了
2024-01-16,鈴木金属,数量不足,未対応
2024-01-17,鈴木金属,寸法不良,完了
2024-01-18,田中部品,寸法不良,完了
2024-01-18,山田製作所,梱包不良,未対応
2024-01-19,田中部品,数量不足,完了
2024-01-19,山田製作所,寸法不良,完了
2024-01-19,高橋商事,数量不足,対応中
2024-01-19,田中部品,数量不足,対応中
2024-01-20,佐藤工業,数量不足,完了
2024-01-20,高橋商事,梱包不良,完了
2024-01-20,高橋商事,機能不良,完了
2024-01-20,佐藤工業,外観不良,完了
2024-01-21,佐藤工業,外観不良,未対応
2024-01-22,鈴木金属,梱包不良,未対応
2024-01-22,田中部品,梱包不良,完了
2024-01-22,鈴木金属,数量不足,完了
2024-01-22,佐藤工業,数量不足,完了
2024-01-23,鈴木金属,機能不良,対応中
2024-01-23,佐藤工業,寸法不良,完了
2024-01-24,鈴木金属,梱包不良,完了
2024-01-25,田中部品,寸法不良,未対応
2024-01-25,山田製作所,数量不足,完了
2024-01-25,田中部品,寸法不良,完了
2024-01-26,高橋商事,機能不良,完了
2024-01-27,鈴木金属,外観不良,未対応
2024-01-27,山田製作所,機能不良,対応中
2024-01-27,田中部品,梱包不良,完了
2024-01-28,鈴木金属,寸法不良,対応中
2024-01-29,高橋商事,数量不足,対応中
2024-01-29,佐藤工業,梱包不良,完了
2024-01-29,山田製作所,外観不良,完了
2024-01-30,佐藤工業,梱包不良,完了
2024-01-30,山田製作所,梱包不良,完了
2024-01-30,高橋商事,数量不足,未対応
2024-01-31,鈴木金属,梱包不良,完了
2024-01-31,山田製作所,機能不良,未対応
2024-01-31,佐藤工業,数量不足,完了
