日付,ライン,製品名,検査数,不良数
2024-01-01,L1,製品A,97,4
2024-01-01,L1,製品D,83,0
2024-01-01,L2,製品C,109,4
2024-01-01,L2,製品D,110,1
2024-01-01,L3,製品C,94,7
2024-01-01,L3,製品B,111,7
2024-01-01,L4,製品C,98,2
2024-01-01,L4,製品B,89,0
2024-01-01,L5,製品D,105,4
2024-01-01,L5,製品C,108,5
2024-01-02,L1,製品B,107,1
2024-01-02,L1,製品D,111,2
2024-01-02,L2,製品B,86,3
2024-01-02,L2,製品A,116,5
2024-01-02,L3,製品B,116,6
2024-01-02,L3,製品C,94,3
2024-01-02,L4,製品B,99,1
2024-01-02,L4,製品A,102,2
2024-01-02,L5,製品C,105,2
2024-01-02,L5,製品A,108,4
2024-01-03,L1,製品B,95,1
2024-01-03,L1,製品D,89,1
2024-01-03,L2,製品D,112,4
2024-01-03,L2,製品C,80,2
2024-01-03,L3,製品C,111,5
2024-01-03,L3,製品B,100,3
2024-01-03,L4,製品A,97,2
2024-01-03,L4,製品B,106,3
2024-01-03,L5,製品A,105,3
2024-01-03,L5,製品D,83,1
2024-01-04,L1,製品C,93,1
2024-01-04,L1,製品B,97,2
2024-01-04,L2,製品D,89,0
2024-01-04,L2,製品C,114,2
2024-01-04,L3,製品A,85,5
2024-01-04,L3,製品B,102,6
2024-01-04,L4,製品D,112,1
2024-01-04,L4,製品B,93,0
2024-01-04,L5,製品A,107,1
2024-01-04,L5,製品D,98,2
2024-01-05,L1,製品A,107,2
2024-01-05,L1,製品C,86,1
2024-01-05,L2,製品B,104,0
2024-01-05,L2,製品C,94,0
2024-01-05,L3,製品D,116,7
2024-01-05,L3,製品B,98,7
2024-01-05,L4,製品A,90,2
2024-01-05,L4,製品B,108,1
2024-01-05,L5,製品D,116,2
2024-01-05,L5,製品A,108,2
2024-01-06,L1,製品A,101,4
2024-01-06,L1,製品D,87,3
2024-01-06,L2,製品B,97,3
2024-01-06,L2,製品C,85,2
2024-01-06,L3,製品C,110,3
2024-01-06,L3,製品B,96,5
2024-01-06,L4,製品A,85,0
2024-01-06,L4,製品B,87,1
2024-01-06,L5,製品B,119,2
2024-01-06,L5,製品D,103,3
2024-01-07,L1,製品D,118,3
2024-01-07,L1,製品A,98,0
2024-01-07,L2,製品B,106,5
2024-01-07,L2,製品C,99,3
2024-01-07,L3,製品B,90,4
2024-01-07,L3,製品D,101,5
2024-01-07,L4,製品D,94,4
2024-01-07,L4,製品B,113,1
2024-01-07,L5,製品C,84,2
2024-01-07,L5,製品A,84,2
2024-01-08,L1,製品A,117,1
2024-01-08,L1,製品C,110,5
2024-01-08,L2,製品A,81,2
2024-01-08,L2,製品C,101,4
2024-01-08,L3,製品B,118,9
2024-01-08,L3,製品D,92,4
2024-01-08,L4,製品B,90,4
2024-01-08,L4,製品C,87,0
2024-01-08,L5,製品B,118,5
2024-01-08,L5,製品A,119,4
2024-01-09,L1,製品D,115,3
2024-01-09,L1,製品C,98,3
2024-01-09,L2,製品A,96,0
2024-01-09,L2,製品B,94,3
2024-01-09,L3,製品D,117,4
2024-01-09,L3,製品B,81,5
2024-01-09,L4,製品D,109,3
2024-01-09,L4,製品A,87,3
2024-01-09,L5,製品D,92,3
2024-01-09,L5,製品A,92,2
2024-01-10,L1,製品B,117,1
2024-01-10,L1,製品C,80,0
2024-01-10,L2,製品A,84,2
2024-01-10,L2,製品C,117,3
2024-01-10,L3,製品B,114,7
2024-01-10,L3,製品C,112,7
2024-01-10,L4,製品A,84,3
2024-01-10,L4,製品C,83,1
2024-01-10,L5,製品A,100,4
2024-01-10,L5,製品B,106,1
2024-01-11,L1,製品D,80,2
2024-01-11,L1,製品C,85,0
2024-01-11,L2,製品C,109,5
2024-01-11,L2,製品B,96,3
2024-01-11,L3,製品A,112,5
2024-01-11,L3,製品D,105,3
2024-01-11,L4,製品D,91,3
2024-01-11,L4,製品C,113,1
2024-01-11,L5,製品B,104,4
2024-01-11,L5,製品C,110,2
2024-01-12,L1,製品A,117,4
2024-01-12,L1,製品B,97,4
2024-01-12,L2,製品A,89,1
2024-01-12,L2,製品B,119,4
2024-01-12,L3,製品D,115,6
2024-01-12,L3,製品C,82,3
2024-01-12,L4,製品D,92,1
2024-01-12,L4,製品A,116,1
2024-01-12,L5,製品A,103,1
2024-01-12,L5,製品C,86,0
2024-01-13,L1,製品A,86,0
2024-01-13,L1,製品C,97,3
2024-01-13,L2,製品D,113,3
2024-01-13,L2,製品B,92,4
2024-01-13,L3,製品C,81,3
2024-01-13,L3,製品D,115,4
2024-01-13,L4,製品A,117,0
2024-01-13,L4,製品C,96,2
2024-01-13,L5,製品C,84,3
2024-01-13,L5,製品D,84,3
2024-01-14,L1,製品C,113,5
2024-01-14,L1,製品A,113,5
2024-01-14,L2,製品A,111,3
2024-01-14,L2,製品D,104,1
2024-01-14,L3,製品C,92,6
2024-01-14,L3,製品D,100,5
2024-01-14,L4,製品C,105,1
2024-01-14,L4,製品B,82,2
2024-01-14,L5,製品D,104,2
2024-01-14,L5,製品A,89,1
2024-01-15,L1,製品B,95,3
2024-01-15,L1,製品C,89,4
2024-01-15,L2,製品A,114,2
2024-01-15,L2,製品C,99,2
2024-01-15,L3,製品D,106,7
2024-01-15,L3,製品C,102,6
2024-01-15,L4,製品A,87,1
2024-01-15,L4,製品B,109,3
2024-01-15,L5,製品B,85,2
2024-01-15,L5,製品D,105,3
2024-01-16,L1,製品C,100,1
2024-01-16,L1,製品A,117,5
2024-01-16,L2,製品D,103,4
2024-01-16,L2,製品A,119,5
2024-01-16,L3,製品A,108,3
2024-01-16,L3,製品C,103,6
2024-01-16,L4,製品D,102,3
2024-01-16,L4,製品A,99,2
2024-01-16,L5,製品B,116,3
2024-01-16,L5,製品C,111,3
2024-01-17,L1,製品A,84,0
2024-01-17,L1,製品D,108,3
2024-01-17,L2,製品C,116,4
2024-01-17,L2,製品A,110,2
2024-01-17,L3,製品C,110,4
2024-01-17,L3,製品D,111,5
2024-01-17,L4,製品D,118,5
2024-01-17,L4,製品B,85,2
2024-01-17,L5,製品B,109,3
2024-01-17,L5,製品C,117,4
2024-01-18,L1,製品D,85,4
2024-01-18,L1,製品C,95,3
2024-01-18,L2,製品D,84,3
2024-01-18,L2,製品C,115,1
2024-01-18,L3,製品B,81,2
2024-01-18,L3,製品D,107,5
2024-01-18,L4,製品D,91,2
2024-01-18,L4,製品C,92,1
2024-01-18,L5,製品B,109,1
2024-01-18,L5,製品C,111,5
2024-01-19,L1,製品A,91,3
2024-01-19,L1,製品D,81,4
2024-01-19,L2,製品A,85,0
2024-01-19,L2,製品D,106,4
2024-01-19,L3,製品A,89,3
2024-01-19,L3,製品C,114,4
2024-01-19,L4,製品C,91,0
2024-01-19,L4,製品A,106,0
2024-01-19,L5,製品A,104,4
2024-01-19,L5,製品D,118,5
2024-01-20,L1,製品D,106,4
2024-01-20,L1,製品A,112,4
2024-01-20,L2,製品C,113,0
2024-01-20,L2,製品D,98,1
2024-01-20,L3,製品A,101,6
2024-01-20,L3,製品C,109,7
2024-01-20,L4,製品B,109,1
2024-01-20,L4,製品A,80,2
2024-01-20,L5,製品A,109,0
2024-01-20,L5,製品C,104,3
2024-01-21,L1,製品D,115,4
2024-01-21,L1,製品A,96,0
2024-01-21,L2,製品D,95,2
2024-01-21,L2,製品A,119,4
2024-01-21,L3,製品A,102,3
2024-01-21,L3,製品C,89,4
2024-01-21,L4,製品C,101,3
2024-01-21,L4,製品B,107,5
2024-01-21,L5,製品D,100,2
2024-01-21,L5,製品A,116,1
2024-01-22,L1,製品D,117,2
2024-01-22,L1,製品B,91,2
2024-01-22,L2,製品D,105,2
2024-01-22,L2,製品C,86,1
2024-01-22,L3,製品B,104,3
2024-01-22,L3,製品D,92,4
2024-01-22,L4,製品D,89,2
2024-01-22,L4,製品B,94,3
2024-01-22,L5,製品B,103,1
2024-01-22,L5,製品C,106,4
2024-01-23,L1,製品C,97,3
2024-01-23,L1,製品B,101,2
2024-01-23,L2,製品B,102,4
2024-01-23,L2,製品D,115,3
2024-01-23,L3,製品D,111,5
2024-01-23,L3,製品C,100,5
2024-01-23,L4,製品A,82,3
2024-01-23,L4,製品C,82,0
