ロットID,製品名,検査日,検査項目,判定
LOT-001,製品E,2024-01-01,寸法,合格
LOT-001,製品E,2024-01-01,外観,合格
LOT-001,製品E,2024-01-01,機能,合格
LOT-001,製品E,2024-01-01,強度,合格
LOT-002,製品E,2024-01-01,寸法,合格
LOT-002,製品E,2024-01-01,外観,合格
LOT-002,製品E,2024-01-01,機能,合格
LOT-002,製品E,2024-01-01,強度,合格
LOT-003,製品A,2024-01-01,寸法,合格
LOT-003,製品A,2024-01-01,外観,合格
LOT-003,製品A,2024-01-01,機能,合格
LOT-003,製品A,2024-01-01,強度,合格
LOT-004,製品D,2024-01-02,寸法,合格
LOT-004,製品D,2024-01-02,外観,合格
LOT-004,製品D,2024-01-02,機能,合格
LOT-004,製品D,2024-01-02,強度,合格
LOT-005,製品B,2024-01-02,寸法,合格
LOT-005,製品B,2024-01-02,外観,合格
LOT-005,製品B,2024-01-02,機能,合格
LOT-005,製品B,2024-01-02,強度,合格
LOT-006,製品D,2024-01-02,寸法,合格
LOT-006,製品D,2024-01-02,外観,合格
LOT-006,製品D,2024-01-02,機能,合格
LOT-006,製品D,2024-01-02,強度,合格
LOT-007,製品B,2024-01-02,寸法,合格
LOT-007,製品B,2024-01-02,外観,合格
LOT-007,製品B,2024-01-02,機能,合格
LOT-007,製品B,2024-01-02,強度,合格
LOT-008,製品A,2024-01-02,寸法,合格
LOT-008,製品A,2024-01-02,外観,合格
LOT-008,製品A,2024-01-02,機能,合格
LOT-008,製品A,2024-01-02,強度,合格
LOT-009,製品E,2024-01-02,寸法,合格
LOT-009,製品E,2024-01-02,外観,合格
LOT-009,製品E,2024-01-02,機能,合格
LOT-009,製品E,2024-01-02,強度,合格
LOT-010,製品D,2024-01-03,寸法,合格
LOT-010,製品D,2024-01-03,外観,合格
LOT-010,製品D,2024-01-03,機能,合格
LOT-010,製品D,2024-01-03,強度,合格
LOT-011,製品B,2024-01-03,寸法,合格
LOT-011,製品B,2024-01-03,外観,合格
LOT-011,製品B,2024-01-03,機能,合格
LOT-011,製品B,2024-01-03,強度,合格
LOT-012,製品D,2024-01-03,寸法,不合格
LOT-012,製品D,2024-01-03,外観,合格
LOT-012,製品D,2024-01-03,機能,合格
LOT-012,製品D,2024-01-03,強度,合格
LOT-013,製品D,2024-01-03,寸法,合格
LOT-013,製品D,2024-01-03,外観,合格
LOT-013,製品D,2024-01-03,機能,合格
LOT-013,製品D,2024-01-03,強度,不合格
LOT-014,製品C,2024-01-03,寸法,合格
LOT-014,製品C,2024-01-03,外観,合格
LOT-014,製品C,2024-01-03,機能,不合格
LOT-014,製品C,2024-01-03,強度,合格
LOT-015,製品B,2024-01-04,寸法,合格
LOT-015,製品B,2024-01-04,外観,合格
LOT-015,製品B,2024-01-04,機能,合格
LOT-015,製品B,2024-01-04,強度,合格
LOT-016,製品C,2024-01-04,寸法,合格
LOT-016,製品C,2024-01-04,外観,合格
LOT-016,製品C,2024-01-04,機能,合格
LOT-016,製品C,2024-01-04,強度,不合格
LOT-017,製品C,2024-01-04,寸法,合格
LOT-017,製品C,2024-01-04,外観,合格
LOT-017,製品C,2024-01-04,機能,合格
LOT-017,製品C,2024-01-04,強度,合格
LOT-018,製品E,2024-01-04,寸法,合格
LOT-018,製品E,2024-01-04,外観,合格
LOT-018,製品E,2024-01-04,機能,合格
LOT-018,製品E,2024-01-04,強度,合格
LOT-019,製品C,2024-01-04,寸法,合格
LOT-019,製品C,2024-01-04,外観,合格
LOT-019,製品C,2024-01-04,機能,合格
LOT-019,製品C,2024-01-04,強度,合格
LOT-020,製品A,2024-01-05,寸法,合格
LOT-020,製品A,2024-01-05,外観,合格
LOT-020,製品A,2024-01-05,機能,合格
LOT-020,製品A,2024-01-05,強度,合格
LOT-021,製品E,2024-01-05,寸法,合格
LOT-021,製品E,2024-01-05,外観,合格
LOT-021,製品E,2024-01-05,機能,合格
LOT-021,製品E,2024-01-05,強度,合格
LOT-022,製品A,2024-01-05,寸法,合格
LOT-022,製品A,2024-01-05,外観,合格
LOT-022,製品A,2024-01-05,機能,合格
LOT-022,製品A,2024-01-05,強度,合格
LOT-023,製品C,2024-01-06,寸法,合格
LOT-023,製品C,2024-01-06,外観,合格
LOT-023,製品C,2024-01-06,機能,合格
LOT-023,製品C,2024-01-06,強度,合格
LOT-024,製品C,2024-01-06,寸法,合格
LOT-024,製品C,2024-01-06,外観,合格
LOT-024,製品C,2024-01-06,機能,合格
LOT-024,製品C,2024-01-06,強度,合格
LOT-025,製品C,2024-01-06,寸法,合格
LOT-025,製品C,2024-01-06,外観,合格
LOT-025,製品C,2024-01-06,機能,合格
LOT-025,製品C,2024-01-06,強度,合格
LOT-026,製品D,2024-01-06,寸法,合格
LOT-026,製品D,2024-01-06,外観,合格
LOT-026,製品D,2024-01-06,機能,合格
LOT-026,製品D,2024-01-06,強度,合格
LOT-027,製品B,2024-01-06,寸法,合格
LOT-027,製品B,2024-01-06,外観,合格
LOT-027,製品B,2024-01-06,機能,合格
LOT-027,製品B,2024-01-06,強度,合格
LOT-028,製品D,2024-01-07,寸法,合格
LOT-028,製品D,2024-01-07,外観,合格
LOT-028,製品D,2024-01-07,機能,合格
LOT-028,製品D,2024-01-07,強度,合格
LOT-029,製品B,2024-01-07,寸法,合格
LOT-029,製品B,2024-01-07,外観,合格
LOT-029,製品B,2024-01-07,機能,合格
LOT-029,製品B,2024-01-07,強度,合格
