日付,工程名,投入数,合格数
2024-01-01,切断,166,148
2024-01-01,溶接,218,212
2024-01-01,プレス,176,158
2024-01-01,塗装,167,150
2024-01-01,組立,248,223
2024-01-02,切断,241,223
2024-01-02,溶接,237,229
2024-01-02,プレス,223,204
2024-01-02,塗装,191,169
2024-01-02,組立,201,191
2024-01-03,切断,203,190
2024-01-03,溶接,228,203
2024-01-03,プレス,227,219
2024-01-03,塗装,240,214
2024-01-03,組立,200,180
2024-01-04,切断,159,151
2024-01-04,溶接,195,190
2024-01-04,プレス,152,139
2024-01-04,塗装,230,208
2024-01-04,組立,221,203
2024-01-05,切断,212,199
2024-01-05,溶接,181,169
2024-01-05,プレス,188,176
2024-01-05,塗装,190,173
2024-01-05,組立,200,179
2024-01-06,切断,196,179
2024-01-06,溶接,186,166
2024-01-06,プレス,189,169
2024-01-06,塗装,180,151
2024-01-06,組立,218,212
2024-01-07,切断,222,197
2024-01-07,溶接,174,166
2024-01-07,プレス,208,188
2024-01-07,塗装,238,196
2024-01-07,組立,247,230
2024-01-08,切断,168,155
2024-01-08,溶接,195,172
2024-01-08,プレス,175,162
2024-01-08,塗装,158,138
2024-01-08,組立,245,227
2024-01-09,切断,238,215
2024-01-09,溶接,161,146
2024-01-09,プレス,181,175
2024-01-09,塗装,226,205
2024-01-09,組立,160,156
2024-01-10,切断,248,241
2024-01-10,溶接,208,185
2024-01-10,プレス,157,142
2024-01-10,塗装,172,139
2024-01-10,組立,205,197
2024-01-11,切断,224,209
2024-01-11,溶接,211,189
2024-01-11,プレス,158,141
2024-01-11,塗装,175,157
2024-01-11,組立,187,178
2024-01-12,切断,208,189
2024-01-12,溶接,234,215
2024-01-12,プレス,187,178
2024-01-12,塗装,153,126
2024-01-12,組立,227,221
2024-01-13,切断,190,184
2024-01-13,溶接,162,144
2024-01-13,プレス,188,181
2024-01-13,塗装,176,144
2024-01-13,組立,215,198
2024-01-14,切断,191,172
2024-01-14,溶接,237,228
2024-01-14,プレス,221,213
2024-01-14,塗装,224,193
2024-01-14,組立,183,165
2024-01-15,切断,183,163
2024-01-15,溶接,174,169
2024-01-15,プレス,157,150
2024-01-15,塗装,238,205
2024-01-15,組立,178,166
2024-01-16,切断,199,185
2024-01-16,溶接,232,207
2024-01-16,プレス,193,172
2024-01-16,塗装,168,144
2024-01-16,組立,245,238
2024-01-17,切断,164,153
2024-01-17,溶接,166,149
2024-01-17,プレス,166,146
2024-01-17,塗装,175,142
2024-01-17,組立,165,150
2024-01-18,切断,241,226
2024-01-18,溶接,157,144
2024-01-18,プレス,196,182
2024-01-18,塗装,216,198
2024-01-18,組立,168,161
2024-01-19,切断,231,214
2024-01-19,溶接,224,200
2024-01-19,プレス,232,212
2024-01-19,塗装,242,195
2024-01-19,組立,243,233
2024-01-20,切断,184,173
2024-01-20,溶接,155,148
2024-01-20,プレス,225,202
2024-01-20,塗装,171,145
2024-01-20,組立,242,228
2024-01-21,切断,225,220
2024-01-21,溶接,150,136
2024-01-21,プレス,237,219
2024-01-21,塗装,156,127
2024-01-21,組立,193,182
2024-01-22,切断,165,151
2024-01-22,溶接,165,150
2024-01-22,プレス,242,230
2024-01-22,塗装,221,194
2024-01-22,組立,196,184
2024-01-23,切断,157,153
2024-01-23,溶接,197,180
2024-01-23,プレス,205,194
2024-01-23,塗装,167,150
2024-01-23,組立,208,192
2024-01-24,切断,154,149
2024-01-24,溶接,224,219
2024-01-24,プレス,224,209
2024-01-24,塗装,225,188
2024-01-24,組立,215,209
2024-01-25,切断,221,210
2024-01-25,溶接,186,171
2024-01-25,プレス,239,227
2024-01-25,塗装,206,177
2024-01-25,組立,222,204
2024-01-26,切断,240,226
2024-01-26,溶接,190,174
2024-01-26,プレス,184,170
2024-01-26,塗装,175,141
2024-01-26,組立,162,153
2024-01-27,切断,163,154
2024-01-27,溶接,215,189
2024-01-27,プレス,238,214
2024-01-27,塗装,182,162
2024-01-27,組立,243,219
2024-01-28,切断,236,223
2024-01-28,溶接,167,151
2024-01-28,プレス,162,144
2024-01-28,塗装,178,156
2024-01-28,組立,178,172
2024-01-29,切断,224,209
2024-01-29,溶接,170,161
2024-01-29,プレス,226,212
2024-01-29,塗装,245,203
2024-01-29,組立,180,164
2024-01-30,切断,212,207
2024-01-30,溶接,201,190
2024-01-30,プレス,189,166
2024-01-30,塗装,203,183
2024-01-30,組立,190,178
2024-01-31,切断,186,181
2024-01-31,溶接,194,187
2024-01-31,プレス,182,170
2024-01-31,塗装,182,156
2024-01-31,組立,194,177
