日付,工程名,測定値
2024-01-01,溶接,10.0632
2024-01-01,溶接,10.008
2024-01-01,溶接,10.0763
2024-01-01,溶接,10.1525
2024-01-01,溶接,9.9996
2024-01-01,溶接,9.9996
2024-01-01,溶接,10.1574
2024-01-01,溶接,10.0868
2024-01-01,溶接,9.9792
2024-01-01,溶接,10.0672
2024-01-01,溶接,9.9797
2024-01-01,溶接,9.9795
2024-01-01,溶接,10.0411
2024-01-01,溶接,9.8535
2024-01-01,溶接,9.8699
2024-01-01,溶接,9.9711
2024-01-01,溶接,9.9319
2024-01-01,溶接,10.0473
2024-01-01,溶接,9.941
2024-01-01,溶接,9.8971
2024-01-01,溶接,10.1475
2024-01-01,溶接,10.0004
2024-01-01,溶接,10.0259
2024-01-01,溶接,9.896
2024-01-02,溶接,9.9726
2024-01-02,溶接,10.0297
2024-01-02,溶接,9.9199
2024-01-02,溶接,10.0527
2024-01-02,溶接,9.9677
2024-01-02,溶接,9.9946
2024-01-02,溶接,9.9677
2024-01-02,溶接,10.1811
2024-01-02,溶接,10.0188
2024-01-02,溶接,9.928
2024-01-02,溶接,10.0916
2024-01-02,溶接,9.9138
2024-01-02,溶接,10.0382
2024-01-02,溶接,9.8495
2024-01-02,溶接,9.9044
2024-01-02,溶接,10.0371
2024-01-02,溶接,10.0842
2024-01-02,溶接,10.0349
2024-01-02,溶接,10.0099
2024-01-02,溶接,9.9938
2024-01-02,溶接,9.8914
2024-01-02,溶接,9.9574
2024-01-02,溶接,9.9799
2024-01-02,溶接,10.112
2024-01-03,溶接,10.0499
2024-01-03,溶接,9.8666
2024-01-03,溶接,10.0482
2024-01-03,溶接,9.9865
2024-01-03,溶接,9.9611
2024-01-03,溶接,10.0732
2024-01-03,溶接,10.1097
2024-01-03,溶接,10.101
2024-01-03,溶接,9.947
2024-01-03,溶接,9.9931
2024-01-03,溶接,10.0488
2024-01-03,溶接,10.1049
2024-01-03,溶接,9.9783
2024-01-03,溶接,10.0038
2024-01-03,溶接,9.9237
2024-01-03,溶接,9.9159
2024-01-03,溶接,10.0907
2024-01-03,溶接,10.138
2024-01-03,溶接,10.0137
2024-01-03,溶接,10.1073
2024-01-03,溶接,10.0515
2024-01-03,溶接,9.9639
2024-01-03,溶接,10.0514
2024-01-03,溶接,10.1538
2024-01-04,溶接,10.0169
2024-01-04,溶接,10.1561
2024-01-04,溶接,9.7921
2024-01-04,溶接,10.0915
2024-01-04,溶接,10.0276
2024-01-04,溶接,9.994
2024-01-04,溶接,10.028
2024-01-04,溶接,9.8471
2024-01-04,溶接,10.0009
2024-01-04,溶接,10.0511
2024-01-04,溶接,10.1486
2024-01-04,溶接,9.9749
2024-01-04,溶接,9.9497
2024-01-04,溶接,9.9763
2024-01-04,溶接,10.0996
2024-01-04,溶接,10.0486
2024-01-04,溶接,9.9739
2024-01-04,溶接,10.0647
