lot_no,process,value
L001,溶接,10.0152
L001,溶接,9.948
L001,溶接,10.0375
L001,溶接,10.047
L001,溶接,9.9024
L002,溶接,9.9349
L002,溶接,10.0064
L002,溶接,9.9842
L002,溶接,9.9992
L002,溶接,9.9573
L003,溶接,10.044
L003,溶接,10.0389
L003,溶接,10.0033
L003,溶接,10.0564
L003,溶接,10.0234
L004,溶接,9.957
L004,溶接,10.0184
L004,溶接,9.9521
L004,溶接,10.0439
L004,溶接,9.9975
L005,溶接,9.9908
L005,溶接,9.966
L005,溶接,10.0611
L005,溶接,9.9923
L005,溶接,9.9786
L006,溶接,9.9824
L006,溶接,10.0266
L006,溶接,10.0183
L006,溶接,10.0206
L006,溶接,10.0215
L007,溶接,10.1071
L007,溶接,9.9797
L007,溶接,9.9744
L007,溶接,9.9593
L007,溶接,10.0308
L008,溶接,10.0564
L008,溶接,9.9943
L008,溶接,9.958
L008,溶接,9.9588
L008,溶接,10.0325
L009,溶接,10.0372
L009,溶接,10.0272
L009,溶接,9.9667
L009,溶接,10.0116
L009,溶接,10.0058
L010,溶接,10.0109
L010,溶接,10.0436
L010,溶接,10.0112
L010,溶接,10.0339
L010,溶接,10.0034
L011,溶接,10.0145
L011,溶接,10.0316
L011,溶接,9.9271
L011,溶接,9.984
L011,溶接,9.9765
L012,溶接,9.9681
L012,溶接,9.9862
L012,溶接,10.0747
L012,溶接,9.9567
L012,溶接,10.0484
L013,溶接,9.9159
L013,溶接,9.9833
L013,溶接,10.0081
L013,溶接,10.0293
L013,溶接,10.0356
L014,溶接,10.0397
L014,溶接,9.9826
L014,溶接,9.9769
L014,溶接,10.0429
L014,溶接,9.9904
L015,溶接,9.9362
L015,溶接,9.9433
L015,溶接,9.954
L015,溶接,10.0249
L015,溶接,10.0071
L016,溶接,10.0345
L016,溶接,9.9786
L016,溶接,10.0079
L016,溶接,10.0313
L016,溶接,9.9845
L017,溶接,10.0228
L017,溶接,9.9669
L017,溶接,9.9818
L017,溶接,9.9809
L017,溶接,9.9402
L018,溶接,10.0243
L018,溶接,9.9765
L018,溶接,10.0006
L018,溶接,10.024
L018,溶接,10.0223
L019,溶接,10.0333
L019,溶接,9.9951
L019,溶接,9.9788
L019,溶接,9.996
L019,溶接,9.9156
L020,溶接,9.9276
L020,溶接,9.9339
L020,溶接,9.9501
L020,溶接,10.02
L020,溶接,9.9547
L021,溶接,9.9811
L021,溶接,10.065
L021,溶接,9.9822
L021,溶接,10.0369
L021,溶接,9.9533
L022,溶接,10.1647
L022,溶接,10.1275
