group,measurement
before,10.0914
before,9.688
before,10.2251
before,10.2822
before,9.4147
before,9.6093
before,10.0384
before,9.9051
before,9.995
before,9.7441
before,10.2638
before,10.2333
before,10.0198
before,10.3382
before,10.1403
before,9.7422
before,10.1106
before,9.7123
before,10.2635
before,9.985
before,9.9445
before,9.7957
before,10.3668
before,9.9536
before,9.8715
before,9.8944
before,10.1597
before,10.1096
before,10.1238
before,10.1292
after,11.6708
after,10.3968
after,10.3439
after,10.1931
after,10.908
after,11.1645
after,10.543
after,10.1799
after,10.1878
after,10.9253
after,10.9716
after,10.8716
after,10.2672
after,10.7161
after,10.6583
after,10.7093
after,11.0357
after,10.7118
after,10.9395
after,10.6338
after,10.7446
after,10.9156
after,9.8714
after,10.4402
after,10.3648
after,10.2806
after,10.4624
after,11.3475
after,10.1671
after,11.0841
