year_month,defect_mode,count
2024-01,バリ,47
2024-01,寸法不良,27
2024-01,表面傷,16
2024-01,欠け,7
2024-01,異物混入,3
2024-02,バリ,53
2024-02,寸法不良,22
2024-02,表面傷,16
2024-02,欠け,5
2024-02,異物混入,1
2024-03,バリ,50
2024-03,寸法不良,28
2024-03,表面傷,17
2024-03,欠け,9
2024-03,異物混入,5
2024-04,バリ,52
2024-04,寸法不良,25
2024-04,表面傷,12
2024-04,欠け,9
2024-04,異物混入,3
2024-05,バリ,50
2024-05,寸法不良,24
2024-05,表面傷,13
2024-05,欠け,10
2024-05,異物混入,5
2024-06,バリ,51
2024-06,寸法不良,24
2024-06,表面傷,17
2024-06,欠け,7
2024-06,異物混入,3
2024-07,バリ,50
2024-07,寸法不良,23
2024-07,表面傷,12
2024-07,欠け,7
2024-07,異物混入,6
2024-08,バリ,47
2024-08,寸法不良,28
2024-08,表面傷,17
2024-08,欠け,5
2024-08,異物混入,4
2024-09,バリ,48
2024-09,寸法不良,27
2024-09,表面傷,16
2024-09,欠け,6
2024-09,異物混入,1
2024-10,バリ,53
2024-10,寸法不良,25
2024-10,表面傷,18
2024-10,欠け,8
2024-10,異物混入,5
2024-11,バリ,52
2024-11,寸法不良,23
2024-11,表面傷,14
2024-11,欠け,7
2024-11,異物混入,3
2024-12,バリ,59
2024-12,寸法不良,31
2024-12,表面傷,16
2024-12,欠け,10
2024-12,異物混入,4
