group,measurement
before,12.6094
before,9.92
before,13.5009
before,13.8811
before,8.0979
before,9.3956
before,12.2557
before,11.3675
before,11.9664
before,10.2939
before,13.7588
before,13.5556
before,12.1321
before,14.2545
before,12.935
before,10.2814
before,12.7375
before,10.0822
before,13.7569
before,11.9001
before,11.6303
before,10.6381
before,14.4451
before,11.6909
before,11.1433
before,11.2957
before,13.0646
before,12.7309
before,12.8255
before,12.8616
after,11.2125
after,7.3904
after,7.2316
after,6.7793
after,8.924
after,9.6935
after,7.8291
after,6.7398
after,6.7633
after,8.9759
after,9.1149
after,8.8147
after,7.0017
after,8.3482
after,8.175
after,8.328
after,9.3071
after,8.3354
after,9.0184
after,8.1014
after,8.4337
after,8.9469
after,5.8143
after,7.5205
after,7.2944
after,7.0417
after,7.5873
after,10.2424
after,6.7013
after,9.4524
