lot_id,process_A,process_B,process_C,process_D,process_E
L001,10.6094,9.7798,7.37,7.762,5.3376
L002,7.92,7.6331,7.6655,6.4465,6.4075
L003,11.5009,9.1851,6.9206,5.488,5.0906
L004,11.8811,10.4373,9.2348,7.2705,5.6439
L005,6.0979,5.1118,2.9691,7.9193,2.9498
L006,7.3956,6.145,4.6695,10.6519,4.9513
L007,10.2557,9.01,6.068,8.1954,4.1568
L008,9.3675,9.6267,7.2945,9.4741,3.7812
L009,9.9664,8.2771,7.63,7.2511,4.1218
L010,8.2939,8.2391,4.5185,6.2226,4.6659
L011,11.7588,9.2366,7.9106,6.5523,5.9159
L012,11.5556,10.1321,8.391,6.9122,3.6736
L013,10.1321,9.2491,6.6863,11.1927,5.0306
L014,12.2545,11.498,7.4631,6.7679,4.5158
L015,10.935,10.4105,8.415,9.2577,4.6723
L016,8.2814,8.088,5.835,6.6456,6.0028
L017,10.7375,9.3848,7.787,9.3974,5.5381
L018,8.0822,6.9041,5.5495,8.5774,6.3374
L019,11.7569,11.2676,10.9362,7.765,4.8455
L020,9.9001,8.7571,6.7184,7.9389,4.3041
L021,9.6303,7.6467,4.8892,7.0178,4.7761
L022,8.6381,6.8677,5.7093,8.6691,5.2425
L023,12.4451,10.465,8.636,7.3175,5.1766
L024,9.6909,9.1196,8.9267,6.1616,3.9156
L025,9.1433,8.343,7.6765,6.0831,5.0905
L026,9.2957,8.9185,7.5631,8.2589,5.2282
L027,11.0646,9.6164,9.449,10.3686,7.5175
L028,10.7309,9.7846,6.4012,8.24,6.8768
L029,10.8255,10.2434,7.427,7.822,4.1468
L030,10.8616,9.528,6.5105,8.4287,4.7126
L031,14.2833,13.2204,10.1085,9.959,3.5366
L032,9.1872,7.7389,4.5391,8.3291,4.4093
L033,8.9755,7.7875,6.9922,7.3836,5.3156
L034,8.3725,7.2298,5.5172,9.6594,6.2059
L035,11.232,9.1521,5.5567,8.6431,4.2709
L036,12.2579,11.4217,7.9187,10.3036,4.3459
L037,9.7721,8.4194,7.1117,8.2749,2.8527
L038,8.3197,7.4977,7.0039,6.1633,4.8373
L039,8.351,7.9005,8.7165,5.9478,3.9376
L040,11.3012,10.5283,11.9193,10.4764,4.4706
L041,11.4865,10.8702,9.1934,10.5855,4.1231
L042,11.0863,9.8989,6.7317,7.7307,4.9057
L043,8.669,7.4634,3.4123,7.4252,3.2423
L044,10.4643,9.3541,7.8045,10.1922,3.533
L045,10.2334,7.8602,5.3126,6.3394,7.1292
L046,10.4374,8.2359,6.0903,6.6579,3.7126
L047,11.7429,9.5104,6.8738,8.965,3.9032
L048,10.4472,8.6047,6.7148,7.4081,6.8369
L049,11.3578,10.5419,9.7127,7.9923,7.9051
L050,10.1352,8.3973,6.9063,7.7548,3.8284
