customer,month,category,count
A社,2024-01,寸法不良,2
A社,2024-02,寸法不良,1
A社,2024-03,寸法不良,2
A社,2024-04,寸法不良,1
A社,2024-05,寸法不良,2
A社,2024-06,寸法不良,1
A社,2024-01,外観不良,1
A社,2024-02,外観不良,1
A社,2024-03,外観不良,0
A社,2024-04,外観不良,1
A社,2024-05,外観不良,0
A社,2024-06,外観不良,1
A社,2024-01,機能不良,0
A社,2024-02,機能不良,1
A社,2024-03,機能不良,0
A社,2024-04,機能不良,0
A社,2024-05,機能不良,1
A社,2024-06,機能不良,0
B社,2024-01,寸法不良,3
B社,2024-02,寸法不良,4
B社,2024-03,寸法不良,3
B社,2024-04,寸法不良,4
B社,2024-05,寸法不良,3
B社,2024-06,寸法不良,3
B社,2024-01,外観不良,2
B社,2024-02,外観不良,1
B社,2024-03,外観不良,2
B社,2024-04,外観不良,1
B社,2024-05,外観不良,2
B社,2024-06,外観不良,2
B社,2024-01,機能不良,1
B社,2024-02,機能不良,1
B社,2024-03,機能不良,1
B社,2024-04,機能不良,1
B社,2024-05,機能不良,0
B社,2024-06,機能不良,1
C社,2024-01,寸法不良,6
C社,2024-02,寸法不良,7
C社,2024-03,寸法不良,6
C社,2024-04,寸法不良,7
C社,2024-05,寸法不良,6
C社,2024-06,寸法不良,6
C社,2024-01,外観不良,3
C社,2024-02,外観不良,2
C社,2024-03,外観不良,3
C社,2024-04,外観不良,2
C社,2024-05,外観不良,3
C社,2024-06,外観不良,3
C社,2024-01,機能不良,2
C社,2024-02,機能不良,2
C社,2024-03,機能不良,1
C社,2024-04,機能不良,2
C社,2024-05,機能不良,1
C社,2024-06,機能不良,2
D社,2024-01,寸法不良,1
D社,2024-02,寸法不良,1
D社,2024-03,寸法不良,1
D社,2024-04,寸法不良,1
D社,2024-05,寸法不良,1
D社,2024-06,寸法不良,1
D社,2024-01,外観不良,0
D社,2024-02,外観不良,1
D社,2024-03,外観不良,0
D社,2024-04,外観不良,1
D社,2024-05,外観不良,0
D社,2024-06,外観不良,0
D社,2024-01,機能不良,0
D社,2024-02,機能不良,0
D社,2024-03,機能不良,1
D社,2024-04,機能不良,0
D社,2024-05,機能不良,0
D社,2024-06,機能不良,0
E社,2024-01,寸法不良,2
E社,2024-02,寸法不良,3
E社,2024-03,寸法不良,2
E社,2024-04,寸法不良,3
E社,2024-05,寸法不良,2
E社,2024-06,寸法不良,3
E社,2024-01,外観不良,2
E社,2024-02,外観不良,1
E社,2024-03,外観不良,2
E社,2024-04,外観不良,1
E社,2024-05,外観不良,2
E社,2024-06,外観不良,1
E社,2024-01,機能不良,1
E社,2024-02,機能不良,0
E社,2024-03,機能不良,1
E社,2024-04,機能不良,0
E社,2024-05,機能不良,1
E社,2024-06,機能不良,0
