month,category,amount
2024-01,予防コスト,150000
2024-02,予防コスト,155000
2024-03,予防コスト,148000
2024-04,予防コスト,152000
2024-05,予防コスト,160000
2024-06,予防コスト,145000
2024-01,評価コスト,200000
2024-02,評価コスト,210000
2024-03,評価コスト,195000
2024-04,評価コスト,205000
2024-05,評価コスト,215000
2024-06,評価コスト,200000
2024-01,内部損失コスト,180000
2024-02,内部損失コスト,175000
2024-03,内部損失コスト,185000
2024-04,内部損失コスト,170000
2024-05,内部損失コスト,190000
2024-06,内部損失コスト,178000
2024-01,外部損失コスト,120000
2024-02,外部損失コスト,130000
2024-03,外部損失コスト,115000
2024-04,外部損失コスト,125000
2024-05,外部損失コスト,135000
2024-06,外部損失コスト,118000
