date,supplier,inspection_count,defect_count
2024-01-01,SupplierA,150,2
2024-01-01,SupplierB,200,4
2024-01-01,SupplierC,120,1
2024-01-01,SupplierD,180,8
2024-01-01,SupplierE,95,0
2024-01-15,SupplierA,175,3
2024-01-15,SupplierB,220,5
2024-01-15,SupplierC,140,2
2024-01-15,SupplierD,165,6
2024-01-15,SupplierE,110,1
2024-02-01,SupplierA,160,2
2024-02-01,SupplierB,195,3
2024-02-01,SupplierC,130,1
2024-02-01,SupplierD,200,15
2024-02-01,SupplierE,105,2
2024-02-15,SupplierA,185,4
2024-02-15,SupplierB,210,4
2024-02-15,SupplierC,145,2
2024-02-15,SupplierD,175,7
2024-02-15,SupplierE,115,1
