month,cost_category,amount
2024-01,予防コスト,200000
2024-01,評価コスト,180000
2024-01,内部失敗コスト,120000
2024-01,外部失敗コスト,80000
2024-02,予防コスト,210000
2024-02,評価コスト,185000
2024-02,内部失敗コスト,110000
2024-02,外部失敗コスト,75000
2024-03,予防コスト,220000
2024-03,評価コスト,190000
2024-03,内部失敗コスト,100000
2024-03,外部失敗コスト,70000
2024-04,予防コスト,215000
2024-04,評価コスト,188000
2024-04,内部失敗コスト,115000
2024-04,外部失敗コスト,85000
2024-05,予防コスト,225000
2024-05,評価コスト,195000
2024-05,内部失敗コスト,105000
2024-05,外部失敗コスト,65000
2024-06,予防コスト,230000
2024-06,評価コスト,200000
2024-06,内部失敗コスト,95000
2024-06,外部失敗コスト,60000
