date,change_type,process,description,risk_level
2024-01-01,Man,切断工程,作業者交代,低
2024-01-05,Machine,溶接工程,溶接機メンテナンス,中
2024-01-08,Material,塗装工程,塗料ロット変更,高
2024-01-12,Method,検査工程,検査基準更新,中
2024-01-15,Man,切断工程,新人作業者配置,中
2024-01-20,Machine,溶接工程,電極交換,低
2024-01-25,Material,塗装工程,塗料製造元変更,高
2024-02-02,Method,検査工程,自動化導入,低
2024-02-05,Man,切断工程,シフト変更,低
2024-02-08,Machine,塗装工程,スプレーガン交換,中
2024-02-12,Material,切断工程,材料仕入先変更,高
2024-02-15,Method,溶接工程,溶接パラメータ変更,中
2024-02-18,Man,検査工程,検査員増員,低
2024-02-22,Machine,切断工程,刃物交換,低
2024-02-25,Material,溶接工程,溶接材料規格変更,高
2024-02-28,Method,塗装工程,塗装方法変更,中
2024-02-20,Man,塗装工程,作業者研修実施,低
2024-02-23,Machine,検査工程,測定器校正,中
2024-01-30,Material,検査工程,基準サンプル更新,低
2024-02-10,Method,切断工程,工程順序変更,中
