date,product,lot_id,result,hold_flag
2024-01-01,製品A,LOT-001,合格,0
2024-01-02,製品B,LOT-002,合格,0
2024-01-03,製品C,LOT-003,合格,0
2024-01-04,製品D,LOT-004,不合格,1
2024-01-05,製品A,LOT-005,合格,0
2024-01-06,製品B,LOT-006,合格,0
2024-01-07,製品C,LOT-007,合格,0
2024-01-08,製品D,LOT-008,合格,0
2024-01-09,製品A,LOT-009,合格,0
2024-01-10,製品B,LOT-010,不合格,1
2024-01-11,製品C,LOT-011,合格,0
2024-01-12,製品D,LOT-012,合格,0
2024-01-13,製品A,LOT-013,合格,0
2024-01-14,製品B,LOT-014,合格,0
2024-01-15,製品C,LOT-015,合格,0
2024-01-16,製品D,LOT-016,不合格,1
2024-01-17,製品A,LOT-017,合格,0
2024-01-18,製品B,LOT-018,合格,0
2024-01-19,製品C,LOT-019,合格,0
2024-01-20,製品D,LOT-020,合格,0
2024-01-21,製品A,LOT-021,合格,0
2024-01-22,製品B,LOT-022,不合格,1
2024-01-23,製品C,LOT-023,合格,0
2024-01-24,製品D,LOT-024,合格,0
2024-01-25,製品A,LOT-025,合格,0
2024-01-26,製品B,LOT-026,合格,0
2024-01-27,製品C,LOT-027,合格,0
2024-01-28,製品D,LOT-028,不合格,1
2024-01-29,製品A,LOT-029,合格,0
2024-01-30,製品B,LOT-030,合格,0
