date,process,defect_code,count
2024-01-01,切断,D001,15
2024-01-01,溶接,D002,8
2024-01-01,塗装,D003,5
2024-01-01,組立,D004,3
2024-01-02,切断,D001,12
2024-01-02,溶接,D001,6
2024-01-02,塗装,D005,4
2024-01-03,切断,D002,10
2024-01-03,溶接,D003,9
2024-01-04,塗装,D001,18
2024-01-04,組立,D002,7
2024-01-05,切断,D004,5
2024-01-05,溶接,D001,14
2024-01-06,塗装,D003,6
2024-01-06,組立,D005,2
2024-01-10,切断,D001,16
2024-01-10,溶接,D002,11
2024-01-11,塗装,D001,20
2024-01-11,組立,D003,8
2024-01-15,切断,D001,13
2024-01-15,溶接,D004,9
2024-01-16,塗装,D002,7
2024-01-20,切断,D001,17
2024-01-20,溶接,D001,10
2024-02-01,塗装,D003,12
2024-02-01,組立,D001,9
2024-02-05,切断,D002,8
2024-02-05,溶接,D005,5
2024-02-10,塗装,D001,15
2024-02-15,組立,D004,6
