date,inspector,inspected,defects_found,true_defects
2024-01-01,検査員A,150,18,19
2024-01-02,検査員B,200,16,20
2024-01-03,検査員C,180,12,15
2024-01-04,検査員D,220,24,25
2024-01-05,検査員E,190,14,16
2024-01-06,検査員A,160,17,18
2024-01-07,検査員B,210,19,21
2024-01-08,検査員C,175,10,13
2024-01-09,検査員D,230,22,24
2024-01-10,検査員E,185,13,15
2024-01-11,検査員A,140,15,16
2024-01-12,検査員B,195,18,19
2024-01-13,検査員C,200,14,18
2024-01-14,検査員D,215,20,22
2024-01-15,検査員E,170,12,14
2024-01-16,検査員A,155,16,17
2024-01-17,検査員B,220,19,20
2024-01-18,検査員C,185,15,17
2024-01-19,検査員D,240,25,27
2024-01-20,検査員E,195,16,18
