date,product,claim_type,root_process,action_taken,before_rate,after_rate,action_date
2024-01-01,製品A,寸法不良,切断,治具交換,3.2,1.1,2024-01-20
2024-01-02,製品B,外観不良,溶接,作業手順改訂,2.8,1.5,2024-01-18
2024-01-03,製品C,機能不良,塗装,材料変更,4.5,2.0,2024-02-02
2024-01-04,製品D,寸法不良,組立,教育訓練,3.0,0.9,2024-01-22
2024-01-05,製品A,外観不良,切断,設備点検,2.5,1.2,2024-01-25
2024-01-06,製品B,機能不良,溶接,治具交換,3.8,1.6,2024-01-28
2024-01-07,製品C,寸法不良,塗装,作業手順改訂,2.2,0.8,2024-01-24
2024-01-08,製品D,外観不良,組立,材料変更,3.5,1.4,2024-02-05
2024-01-09,製品A,機能不良,切断,教育訓練,4.0,1.8,2024-02-03
2024-01-10,製品B,寸法不良,溶接,設備点検,2.9,1.0,2024-01-26
2024-01-15,製品C,外観不良,塗装,治具交換,3.1,1.3,2024-02-04
2024-01-16,製品D,機能不良,組立,作業手順改訂,5.0,2.1,2024-02-10
2024-01-17,製品A,寸法不良,切断,材料変更,2.7,0.9,2024-02-02
2024-01-18,製品B,外観不良,溶接,教育訓練,3.4,1.2,2024-02-08
2024-01-19,製品C,機能不良,塗装,設備点検,3.8,1.7,2024-02-14
2024-01-22,製品D,寸法不良,組立,治具交換,2.3,0.7,2024-02-06
2024-01-23,製品A,外観不良,切断,作業手順改訂,3.6,1.4,2024-02-12
2024-01-24,製品B,機能不良,溶接,材料変更,4.2,1.9,2024-02-18
2024-01-25,製品C,寸法不良,塗装,教育訓練,2.8,1.1,2024-02-09
2024-01-26,製品D,外観不良,組立,設備点検,3.3,1.5,2024-02-15
2024-02-01,製品A,機能不良,切断,治具交換,3.9,1.6,2024-02-25
2024-02-02,製品B,寸法不良,溶接,作業手順改訂,2.6,0.8,2024-02-20
2024-02-03,製品C,外観不良,塗装,材料変更,3.5,1.3,2024-03-01
2024-02-04,製品D,機能不良,組立,教育訓練,4.8,2.0,2024-03-04
2024-03-31,製品A,寸法不良,切断,設備点検,2.4,0.9,2024-04-15
