month,site,defect_rate,cpk,claim_count,yield_rate
2024-01,東京工場,0.15,1.72,1,99.85
2024-01,大阪工場,0.92,1.38,3,99.08
2024-01,名古屋工場,1.05,1.28,4,98.95
2024-01,福岡工場,2.15,0.95,9,97.85
2024-02,東京工場,0.18,1.68,1,99.82
2024-02,大阪工場,0.98,1.35,4,99.02
2024-02,名古屋工場,1.12,1.25,5,98.88
2024-02,福岡工場,2.08,0.98,8,97.92
2024-03,東京工場,0.12,1.75,0,99.88
2024-03,大阪工場,0.87,1.42,3,99.13
2024-03,名古屋工場,1.00,1.30,4,99.00
2024-03,福岡工場,2.22,0.92,10,97.78
2024-04,東京工場,0.16,1.70,1,99.84
2024-04,大阪工場,0.95,1.39,3,99.05
2024-04,名古屋工場,1.08,1.27,4,98.92
2024-04,福岡工場,2.05,0.99,8,97.95
2024-05,東京工場,0.19,1.65,2,99.81
2024-05,大阪工場,0.90,1.41,3,99.10
2024-05,名古屋工場,1.15,1.23,5,98.85
2024-05,福岡工場,1.98,1.02,7,98.02
2024-06,東京工場,0.14,1.73,0,99.86
2024-06,大阪工場,0.93,1.37,3,99.07
2024-06,名古屋工場,1.02,1.29,4,98.98
2024-06,福岡工場,2.12,0.96,9,97.88
2024-07,東京工場,0.17,1.69,1,99.83
2024-07,大阪工場,0.88,1.43,2,99.12
2024-07,名古屋工場,1.10,1.26,5,98.90
2024-07,福岡工場,1.95,1.03,7,98.05
2024-08,東京工場,0.13,1.74,0,99.87
2024-08,大阪工場,0.96,1.36,3,99.04
2024-08,名古屋工場,1.06,1.28,4,98.94
2024-08,福岡工場,2.18,0.94,10,97.82
2024-09,東京工場,0.15,1.71,1,99.85
2024-09,大阪工場,0.91,1.40,3,99.09
2024-09,名古屋工場,1.04,1.31,4,98.96
2024-09,福岡工場,2.03,1.00,8,97.97
2024-10,東京工場,0.18,1.67,1,99.82
2024-10,大阪工場,0.94,1.38,3,99.06
2024-10,名古屋工場,1.12,1.25,5,98.88
2024-10,福岡工場,1.92,1.05,6,98.08
2024-11,東京工場,0.11,1.76,0,99.89
2024-11,大阪工場,0.89,1.42,2,99.11
2024-11,名古屋工場,1.01,1.30,4,98.99
2024-11,福岡工場,2.10,0.97,9,97.90
2024-12,東京工場,0.16,1.70,1,99.84
2024-12,大阪工場,0.92,1.39,3,99.08
2024-12,名古屋工場,1.09,1.27,4,98.91
2024-12,福岡工場,2.00,1.01,7,98.00
