社員番号,スタッフ名,職種,勤務日,シフト希望,技能区分,雇用区分
S03001,スタッフS03001,介護士,2024-01-01,夜勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-02,夜勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-03,休み,初級,正社員
S03001,スタッフS03001,介護士,2024-01-04,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-05,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-06,早番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-07,早番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-08,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-09,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-10,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-11,早番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-12,休み,初級,正社員
S03001,スタッフS03001,介護士,2024-01-13,休み,初級,正社員
S03001,スタッフS03001,介護士,2024-01-14,遅番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-15,休み,初級,正社員
S03001,スタッフS03001,介護士,2024-01-16,休み,初級,正社員
S03001,スタッフS03001,介護士,2024-01-17,夜勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-18,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-19,早番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-20,夜勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-21,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-22,遅番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-23,休み,初級,正社員
S03001,スタッフS03001,介護士,2024-01-24,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-25,遅番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-26,遅番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-27,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-28,早番,初級,正社員
S03001,スタッフS03001,介護士,2024-01-29,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-30,日勤,初級,正社員
S03001,スタッフS03001,介護士,2024-01-31,夜勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-01,休み,初級,正社員
S03002,スタッフS03002,看護師,2024-01-02,日勤,初級,正社員
